date,open,high,low,close,volume
2020-01-01,0.04310000,0.04320000,0.04100000,0.04260000,2275971.33000000
2020-01-02,0.04260000,0.04260000,0.03750000,0.03850000,5174460.74000000
2020-01-03,0.03840000,0.04010000,0.03820000,0.03900000,5713995.24000000
2020-01-04,0.03910000,0.04120000,0.03870000,0.03910000,4262337.32000000
2020-01-05,0.03940000,0.04080000,0.03910000,0.03960000,1547504.84000000
2020-01-06,0.03990000,0.04040000,0.03860000,0.03900000,4018447.27000000
2020-01-07,0.03940000,0.04060000,0.03770000,0.03790000,5512294.32000000
2020-01-08,0.03800000,0.03830000,0.03640000,0.03640000,3978160.24000000
2020-01-09,0.03640000,0.03720000,0.03560000,0.03600000,1692375.08000000
2020-01-10,0.03590000,0.03640000,0.03460000,0.03550000,1636761.70000000
2020-01-11,0.03530000,0.03670000,0.03520000,0.03550000,1778492.83000000
2020-01-12,0.03560000,0.03770000,0.03520000,0.03610000,2042935.38000000
2020-01-13,0.03610000,0.04060000,0.03530000,0.04010000,7889146.82000000
2020-01-14,0.04030000,0.04030000,0.03670000,0.03870000,8829128.22000000
2020-01-15,0.03860000,0.03940000,0.03790000,0.03820000,3034317.71000000
2020-01-16,0.03830000,0.03880000,0.03560000,0.03810000,9076971.91000000
2020-01-17,0.03800000,0.04360000,0.03770000,0.04000000,9355486.78000000
2020-01-18,0.04000000,0.04040000,0.03880000,0.03950000,1876266.20000000
2020-01-19,0.03940000,0.03970000,0.03670000,0.03800000,1993995.34000000
2020-01-20,0.03820000,0.03820000,0.03640000,0.03710000,1935670.75000000
2020-01-21,0.03700000,0.03920000,0.03680000,0.03840000,2480116.90000000
2020-01-22,0.03820000,0.03960000,0.03780000,0.03830000,1441554.47000000
2020-01-23,0.03840000,0.03840000,0.03540000,0.03720000,3522838.36000000
2020-01-24,0.03720000,0.03730000,0.03490000,0.03590000,2374660.41000000
2020-01-25,0.03590000,0.03820000,0.03550000,0.03700000,2576359.54000000
2020-01-26,0.03680000,0.03770000,0.03600000,0.03680000,2761561.10000000
2020-01-27,0.03680000,0.03710000,0.03610000,0.03630000,1624799.67000000
2020-01-28,0.03630000,0.03670000,0.03510000,0.03640000,2005111.82000000
2020-01-29,0.03630000,0.03650000,0.03470000,0.03480000,1415136.89000000
2020-01-30,0.03470000,0.03700000,0.03290000,0.03620000,4427751.73000000
2020-01-31,0.03640000,0.03650000,0.03490000,0.03640000,1775736.18000000
2020-02-01,0.03640000,0.03730000,0.03550000,0.03630000,1660699.65000000
2020-02-02,0.03620000,0.03810000,0.03550000,0.03690000,3620784.06000000
2020-02-03,0.03680000,0.03960000,0.03680000,0.03860000,5024001.97000000
2020-02-04,0.03880000,0.04090000,0.03720000,0.04070000,7836909.42000000
2020-02-05,0.04060000,0.04200000,0.03940000,0.04010000,5751581.76000000
2020-02-06,0.04020000,0.04420000,0.03960000,0.04320000,10572178.55000000
2020-02-07,0.04320000,0.04640000,0.04240000,0.04550000,11892143.94000000
2020-02-08,0.04550000,0.04580000,0.04080000,0.04280000,7522077.69000000
2020-02-09,0.04250000,0.04500000,0.04090000,0.04430000,7060103.48000000
2020-02-10,0.04430000,0.04550000,0.04100000,0.04450000,6045667.75000000
2020-02-11,0.04480000,0.05280000,0.04340000,0.05140000,13317803.35000000
2020-02-12,0.05140000,0.06030000,0.04870000,0.05620000,23690653.31000000
2020-02-13,0.05590000,0.05810000,0.04700000,0.05010000,19326137.54000000
