date,open,high,low,close,volume
2021-03-16,19.000,25.490,15.557,17.099,8340720.6
2021-03-17,17.099,18.880,14.100,14.607,5653609.5
2021-03-18,14.613,19.950,14.324,17.045,10014211.5
2021-03-19,17.047,18.044,15.025,15.218,5494711.4
2021-03-20,15.236,15.589,14.100,14.400,3365511.7
2021-03-21,14.407,14.801,13.061,14.080,4339203.3
2021-03-22,14.098,14.147,12.003,12.069,4480613.2
2021-03-23,12.070,12.500,11.335,11.622,4268642.0
2021-03-24,11.622,14.650,11.468,11.901,7259551.5
2021-03-25,11.900,12.518,10.466,10.925,5556512.8
2021-03-26,10.916,13.850,10.905,13.428,4948316.4
2021-03-27,13.439,14.531,12.233,13.450,4756837.9
2021-03-28,13.459,18.255,13.350,16.684,12339090.2
2021-03-29,16.699,16.900,15.231,15.863,4095715.0
2021-03-30,15.844,17.339,15.345,16.089,4040390.5
2021-03-31,16.107,16.645,13.121,14.647,4800155.5
2021-04-01,14.659,15.400,13.736,14.378,2367103.9
2021-04-02,14.384,15.150,14.100,14.743,1841034.3
2021-04-03,14.743,15.576,13.172,13.512,2687309.8
2021-04-04,13.512,14.547,13.276,14.360,1164348.8
2021-04-05,14.375,15.250,13.561,14.254,2363505.6
2021-04-06,14.254,15.580,13.708,14.182,2753267.1
2021-04-07,14.187,14.321,11.580,12.206,3470092.4
2021-04-08,12.224,13.300,12.120,12.894,2255730.2
2021-04-09,12.887,13.403,12.454,12.730,1915322.4
2021-04-10,12.730,13.990,12.109,12.610,2487331.2
2021-04-11,12.610,12.972,12.182,12.873,1440862.0
2021-04-12,12.888,15.382,12.777,13.899,8531292.3
2021-04-13,13.904,14.648,12.659,12.752,3582358.8
2021-04-14,12.759,13.193,11.511,12.253,3717570.5
2021-04-15,12.253,13.012,12.085,12.551,3527876.7
2021-04-16,12.559,12.746,11.500,11.920,3717110.0
2021-04-17,11.921,12.549,11.680,11.832,2939211.1
2021-04-18,11.838,12.078,5.505,9.789,33686859.6
2021-04-19,9.789,10.540,8.636,8.675,8327589.8
2021-04-20,8.678,9.380,7.855,9.232,4250512.7
2021-04-21,9.227,9.360,8.448,8.560,3145694.4
2021-04-22,8.561,9.578,7.636,7.853,5138661.2
2021-04-23,7.852,8.004,5.826,7.554,6148895.3
2021-04-24,7.551,7.555,6.715,7.285,2847052.3
2021-04-25,7.285,12.808,7.280,8.185,29926410.8
2021-04-26,8.191,9.519,8.006,8.950,8317969.4
2021-04-27,8.954,11.025,8.632,10.440,11129943.6
2021-04-28,10.440,13.615,9.212,13.024,16370227.5
2021-04-29,13.024,16.552,12.852,13.473,37765292.6
2021-04-30,13.477,18.587,12.557,17.686,29494653.3
2021-05-01,17.675,19.757,15.821,18.273,32397938.8
2021-05-02,18.269,19.250,16.668,17.496,17656752.1
2021-05-03,17.493,18.513,15.896,16.542,13026146.2
2021-05-04,16.548,17.225,13.531,13.886,17319591.8
2021-05-05,13.870,15.688,13.632,14.604,10845884.9
2021-05-06,14.607,16.112,13.600,14.241,12832736.9
2021-05-07,14.235,14.800,13.000,13.588,7403496.7
2021-05-08,13.589,15.780,13.420,14.310,11162420.7
2021-05-09,14.317,14.454,12.984,13.826,6904157.3
2021-05-10,13.831,15.210,10.055,11.665,11233490.5
2021-05-11,11.665,13.155,11.215,12.978,7049524.3
2021-05-12,12.974,14.042,9.642,9.958,8749535.8
2021-05-13,9.957,11.884,9.089,10.372,8125368.7
2021-05-14,10.377,11.893,10.225,11.225,5222578.8
2021-05-15,11.233,11.514,9.881,10.068,4330541.1
2021-05-16,10.068,11.997,9.990,11.002,6098275.8
2021-05-17,11.004,13.572,9.500,13.107,21377703.4
2021-05-18,13.108,13.780,11.300,11.621,13773136.9
2021-05-19,11.618,12.058,4.117,6.745,18907303.9
2021-05-20,6.744,8.304,6.048,7.465,9977362.2
2021-05-21,7.465,8.052,5.188,6.324,8702881.3
2021-05-22,6.321,6.470,5.254,6.102,7201381.7
2021-05-23,6.104,6.256,3.735,5.106,12576221.2
2021-05-24,5.108,6.212,4.908,6.151,10152505.0
2021-05-25,6.153,7.095,5.289,6.834,10788720.0
2021-05-26,6.838,7.751,6.498,7.566,10452169.0
2021-05-27,7.564,8.895,6.704,7.775,13284332.3
2021-05-28,7.779,8.380,6.319,6.881,11886407.2
2021-05-29,6.882,7.362,5.539,5.944,8335814.6
2021-05-30,5.947,7.559,5.513,6.997,12988172.1
2021-05-31,6.995,7.500,6.473,7.433,10985631.5
2021-06-01,7.432,7.728,6.640,6.922,8243730.8
2021-06-02,6.923,7.224,6.600,6.800,6685021.4
2021-06-03,6.801,7.441,6.700,7.231,7939300.4
2021-06-04,7.232,7.253,5.876,6.260,9016972.1
2021-06-05,6.260,6.779,5.697,6.055,9125304.3
2021-06-06,6.054,6.242,5.925,6.108,4408752.2
2021-06-07,6.108,6.547,5.353,5.613,7911252.1
2021-06-08,5.612,5.669,4.835,5.340,7141517.8
2021-06-09,5.339,5.781,4.947,5.715,6895412.7
2021-06-10,5.716,5.914,5.271,5.541,5748284.1
2021-06-11,5.542,6.695,5.304,6.066,18740784.8
2021-06-12,6.066,6.100,5.111,5.314,12766953.5
2021-06-13,5.314,6.196,5.160,6.044,9439389.0
2021-06-14,6.043,6.100,5.580,5.834,8078813.2
2021-06-15,5.835,6.198,5.515,5.639,9883286.6
2021-06-16,5.642,6.039,5.195,5.294,12772367.8
2021-06-17,5.295,5.897,5.271,5.672,17779160.1
2021-06-18,5.672,5.853,5.102,5.259,12687392.3
2021-06-19,5.257,5.329,4.919,4.968,7323282.9
2021-06-20,4.968,5.180,4.480,4.986,9912414.8
2021-06-21,4.988,5.030,3.673,3.748,14387772.5
2021-06-22,3.745,4.067,3.156,3.586,14957473.4
2021-06-23,3.588,4.824,3.470,4.739,24746401.2
2021-06-24,4.735,4.750,4.311,4.445,17743102.1
2021-06-25,4.442,4.512,3.736,3.776,12463454.7
2021-06-26,3.775,3.902,3.393,3.674,10912374.5
2021-06-27,3.670,3.811,3.451,3.800,8698322.6
2021-06-28,3.798,4.051,3.736,3.904,9076764.4
2021-06-29,3.905,4.252,3.832,3.994,9854799.8
2021-06-30,3.992,4.046,3.630,3.916,10787394.7
2021-07-01,3.917,4.360,3.800,4.112,25407920.4
2021-07-02,4.111,4.266,3.777,3.943,10941071.8
2021-07-03,3.943,4.185,3.828,4.056,8066603.0
2021-07-04,4.055,5.242,3.970,4.796,43920564.0
2021-07-05,4.796,4.885,4.316,4.658,25135146.0
2021-07-06,4.661,6.000,4.652,5.858,34832241.7
2021-07-07,5.859,6.488,5.562,5.693,26616749.2
2021-07-08,5.688,7.065,5.370,5.495,53535331.4
2021-07-09,5.493,6.785,5.028,6.482,41795244.6
2021-07-10,6.482,7.353,6.027,6.302,39985149.1
2021-07-11,6.302,7.420,6.190,7.042,36253292.0
2021-07-12,7.048,7.300,6.250,6.546,26990379.1
2021-07-13,6.544,7.577,6.430,6.886,50233560.6
2021-07-14,6.886,7.520,5.913,7.259,45249059.4
2021-07-15,7.259,8.579,6.844,6.955,70818068.1
2021-07-16,6.957,7.284,5.713,5.757,47790678.5
2021-07-17,5.758,5.909,5.290,5.626,37827770.4
2021-07-18,5.625,6.240,5.330,5.600,30328798.0
2021-07-19,5.599,5.631,4.710,4.804,26181329.1
2021-07-20,4.806,4.822,4.013,4.421,39736585.6
2021-07-21,4.422,5.382,4.241,5.229,42504048.9
2021-07-22,5.230,6.217,5.113,5.905,42953549.1
2021-07-23,5.906,8.068,5.737,7.668,57470200.9
2021-07-24,7.668,11.291,7.200,10.477,100229608.9
2021-07-25,10.477,12.800,9.102,11.588,137766663.0
2021-07-26,11.582,11.586,8.804,9.341,73232038.5
2021-07-27,9.343,14.590,8.590,13.598,165709069.7
2021-07-28,13.592,15.233,12.569,13.608,107189194.9
2021-07-29,13.610,16.500,13.104,14.868,92542211.5
2021-07-30,14.864,15.200,13.201,14.920,55975151.4
2021-07-31,14.917,14.940,13.401,13.639,35010613.8
2021-08-01,13.637,13.679,11.597,11.958,41494436.2
2021-08-02,11.961,14.348,11.906,12.926,65426629.8
2021-08-03,12.924,13.311,11.841,12.214,35430372.0
2021-08-04,12.215,13.650,11.920,12.857,40776186.8
2021-08-05,12.854,13.090,12.120,12.536,28858486.7
2021-08-06,12.538,13.424,12.282,12.643,28721859.5
2021-08-07,12.643,13.389,12.069,12.320,28233265.8
2021-08-08,12.319,13.173,10.988,11.647,30677810.8
2021-08-09,11.649,12.260,11.100,11.836,22551733.9
2021-08-10,11.834,14.455,11.644,14.267,50245848.4
2021-08-11,14.266,15.143,12.977,13.253,33358980.0
2021-08-12,13.251,13.973,12.293,12.647,23393030.3
2021-08-13,12.649,13.725,12.427,13.332,21708890.4
2021-08-14,13.332,13.880,12.729,13.000,17516930.6
2021-08-15,13.000,13.875,12.000,13.370,21439313.0
2021-08-16,13.370,14.422,12.800,12.883,23056911.9
2021-08-17,12.884,13.980,12.407,12.540,28325544.2
2021-08-18,12.542,12.701,11.203,11.842,21491947.7
2021-08-19,11.841,12.796,11.535,12.423,19837653.8
2021-08-20,12.423,13.318,12.407,13.066,18893667.5
2021-08-21,13.068,18.178,12.950,17.081,82500730.7
2021-08-22,17.082,17.455,15.220,16.224,36099898.8
2021-08-23,16.227,18.740,15.965,17.255,34920671.3
2021-08-24,17.252,17.729,15.078,16.023,27221304.6
2021-08-25,16.020,23.000,15.974,21.019,81212652.5
2021-08-26,21.016,21.937,18.230,19.248,42347563.2
2021-08-27,19.248,20.700,17.169,20.116,34544886.4
2021-08-28,20.116,23.888,20.035,21.240,40906181.4
2021-08-29,21.244,22.394,19.819,20.567,28400556.0
2021-08-30,20.566,21.664,19.124,19.429,29133501.7
2021-08-31,19.429,19.536,17.263,18.076,22052953.8
2021-09-01,18.068,19.000,17.404,18.302,19056328.9
2021-09-02,18.301,19.766,17.798,18.115,23278007.7
2021-09-03,18.116,18.800,17.500,18.059,16096867.2
2021-09-04,18.059,20.500,17.911,18.523,27977317.8
2021-09-05,18.524,19.251,18.279,18.831,13154688.5
2021-09-06,18.827,19.428,15.937,17.994,20564036.4
2021-09-07,17.995,18.170,9.240,13.561,50998157.6
2021-09-08,13.563,14.105,11.530,13.431,26790487.2
2021-09-09,13.430,14.681,12.400,13.265,22818860.6
2021-09-10,13.265,13.794,11.800,12.462,17223453.9
2021-09-11,12.460,13.947,12.182,12.874,14417384.0
2021-09-12,12.873,13.539,12.524,13.155,10836066.5
2021-09-13,13.157,13.341,11.022,11.998,15084040.3
2021-09-14,12.001,12.495,11.821,12.320,9813543.0
2021-09-15,12.320,13.453,12.178,13.236,12409121.2
