date,open,high,low,close,volume
2021-03-10,0.37520,0.48338,0.37520,0.40795,97873324
2021-03-11,0.40795,0.43482,0.36263,0.37294,92073361
2021-03-12,0.37338,0.39400,0.32391,0.34101,97407148
2021-03-13,0.34156,0.39688,0.31104,0.38954,91957169
2021-03-14,0.38953,0.41229,0.33466,0.35121,86311150
2021-03-15,0.35020,0.41607,0.31900,0.37842,122516625
2021-03-16,0.37844,0.42800,0.34632,0.36821,132249476
2021-03-17,0.36821,0.42209,0.36100,0.41320,74738989
2021-03-18,0.41407,0.42317,0.38100,0.38871,64078673
2021-03-19,0.38952,0.44221,0.37300,0.41480,82037628
2021-03-20,0.41480,0.47000,0.41275,0.44769,100792884
2021-03-21,0.44772,0.50000,0.42537,0.46697,174153034
2021-03-22,0.46750,0.55555,0.44364,0.49768,220116825
2021-03-23,0.49730,0.58000,0.48318,0.49928,232387368
2021-03-24,0.49927,0.52185,0.35943,0.41618,192053185
2021-03-25,0.41679,0.45600,0.38500,0.43040,162372392
2021-03-26,0.43040,0.50049,0.43025,0.45327,120979275
2021-03-27,0.45335,0.48000,0.43607,0.44300,84858262
2021-03-28,0.44350,0.48404,0.43154,0.45416,101053115
2021-03-29,0.45433,0.48655,0.44655,0.47587,90159004
2021-03-30,0.47659,0.53227,0.46902,0.51504,128252580
2021-03-31,0.51483,0.52224,0.43000,0.45420,152093895
2021-04-01,0.45461,0.46589,0.40664,0.42306,126556930
2021-04-02,0.42285,0.43729,0.41000,0.41796,88406873
2021-04-03,0.41793,0.43387,0.37056,0.37826,134687101
2021-04-04,0.37812,0.42500,0.37000,0.40659,105330992
2021-04-05,0.40658,0.41050,0.38547,0.39254,72760001
2021-04-06,0.39285,0.44988,0.38000,0.43549,191858058
2021-04-07,0.43513,0.44541,0.32530,0.37032,176313454
2021-04-08,0.37048,0.39938,0.36750,0.38481,68835156
2021-04-09,0.38480,0.41204,0.37700,0.38591,86484949
2021-04-10,0.38616,0.39423,0.35169,0.36523,72123135
2021-04-11,0.36552,0.37111,0.34603,0.36430,56631076
2021-04-12,0.36469,0.37823,0.34189,0.35211,63507399
2021-04-13,0.35210,0.36063,0.34371,0.34748,58758029
2021-04-14,0.34773,0.35002,0.29894,0.32991,137727691
2021-04-15,0.32996,0.39193,0.32949,0.37263,181634238
2021-04-16,0.37293,0.39874,0.34094,0.35841,123842336
2021-04-17,0.35867,0.38565,0.34714,0.34909,95003819
2021-04-18,0.34941,0.35337,0.21366,0.30318,260921910
2021-04-19,0.30317,0.31854,0.26000,0.26277,120151540
2021-04-20,0.26305,0.34900,0.23661,0.34003,326427810
2021-04-21,0.33956,0.38327,0.30500,0.30991,367255340
2021-04-22,0.31013,0.33081,0.26995,0.27669,158310629
2021-04-23,0.27665,0.32440,0.22428,0.31215,294945321
2021-04-24,0.31225,0.31319,0.26422,0.26797,115885207
2021-04-25,0.26796,0.29321,0.24810,0.26432,104596716
2021-04-26,0.26420,0.32287,0.26212,0.31461,100375452
2021-04-27,0.31486,0.39667,0.30911,0.38838,189249576
2021-04-28,0.38827,0.40100,0.33760,0.38302,161942963
2021-04-29,0.38282,0.43030,0.35392,0.39697,211374459
2021-04-30,0.39686,0.41820,0.38690,0.40434,108483745
2021-05-01,0.40434,0.42850,0.39321,0.40128,108469112
2021-05-02,0.40123,0.40237,0.36281,0.38255,104051447
2021-05-03,0.38245,0.39978,0.36455,0.37120,79232249
2021-05-04,0.37120,0.37647,0.32521,0.32985,124029451
2021-05-05,0.32986,0.37713,0.32300,0.36310,97197376
2021-05-06,0.36302,0.36955,0.33696,0.34587,78753934
2021-05-07,0.34601,0.37492,0.33316,0.35606,78633301
2021-05-08,0.35619,0.40078,0.34950,0.38401,141847266
2021-05-09,0.38401,0.38682,0.34751,0.36393,80620788
2021-05-10,0.36397,0.37686,0.28610,0.32543,98227948
2021-05-11,0.32532,0.35864,0.31319,0.35690,74226332
2021-05-12,0.35713,0.40099,0.30717,0.31653,172358608
2021-05-13,0.31647,0.36150,0.29613,0.34047,124839249
2021-05-14,0.34047,0.39348,0.33792,0.39251,94081068
2021-05-15,0.39297,0.46782,0.37411,0.42791,242160678
2021-05-16,0.42854,0.48621,0.38412,0.41689,190904506
2021-05-17,0.41691,0.42635,0.35700,0.36684,130541075
2021-05-18,0.36670,0.39800,0.36000,0.36710,101079265
2021-05-19,0.36738,0.37729,0.13077,0.24734,199157799
2021-05-20,0.24746,0.31000,0.21501,0.27560,133942649
2021-05-21,0.27562,0.28929,0.18753,0.22509,115740160
2021-05-22,0.22522,0.23210,0.19067,0.19715,80619482
2021-05-23,0.19688,0.20713,0.12382,0.16071,156870256
2021-05-24,0.16056,0.21841,0.16027,0.21344,163035266
2021-05-25,0.21335,0.22335,0.18461,0.22008,98371129
2021-05-26,0.22013,0.27800,0.21366,0.27083,138347778
2021-05-27,0.27082,0.27126,0.23054,0.24323,98345240
2021-05-28,0.24320,0.24708,0.19542,0.20494,123842683
2021-05-29,0.20494,0.21772,0.18132,0.19233,103581003
2021-05-30,0.19245,0.23325,0.17882,0.22233,160428553
2021-05-31,0.22227,0.23735,0.20578,0.23465,131084107
2021-06-01,0.23476,0.24102,0.21911,0.22502,81295282
2021-06-02,0.22502,0.26393,0.21607,0.24953,129219462
2021-06-03,0.24951,0.27661,0.24565,0.26312,86094544
2021-06-04,0.26330,0.26381,0.21999,0.23300,113800095
2021-06-05,0.23305,0.25142,0.20889,0.21778,97904101
2021-06-06,0.21770,0.23701,0.21654,0.22643,69150527
2021-06-07,0.22642,0.23928,0.19793,0.20005,102395275
2021-06-08,0.20015,0.20731,0.17511,0.19525,142521758
2021-06-09,0.19518,0.22000,0.18325,0.22000,149080023
2021-06-10,0.22000,0.23327,0.20183,0.20583,217342350
2021-06-11,0.20583,0.21895,0.18741,0.19202,128077849
2021-06-12,0.19196,0.19680,0.17957,0.19049,116750251
2021-06-13,0.19049,0.21650,0.18506,0.21290,135644173
2021-06-14,0.21297,0.21688,0.20318,0.21105,106865341
2021-06-15,0.21107,0.22471,0.20500,0.20531,112152851
2021-06-16,0.20527,0.21153,0.19491,0.20357,112417232
2021-06-17,0.20364,0.21372,0.19310,0.19885,90850664
2021-06-18,0.19882,0.20109,0.17305,0.17979,105319106
2021-06-19,0.17972,0.18675,0.17351,0.17724,74694341
2021-06-20,0.17723,0.18430,0.16624,0.18231,87663255
2021-06-21,0.18228,0.18371,0.13558,0.13634,124140319
2021-06-22,0.13621,0.15613,0.11563,0.13420,182825363
2021-06-23,0.13420,0.15871,0.12781,0.14823,100173966
2021-06-24,0.14824,0.15843,0.13938,0.15231,76584966
2021-06-25,0.15233,0.15649,0.13113,0.13298,75394189
2021-06-26,0.13301,0.13879,0.12736,0.13374,81251393
2021-06-27,0.13374,0.14192,0.13081,0.14185,61853913
2021-06-28,0.14185,0.15034,0.13885,0.14456,96968901
2021-06-29,0.14463,0.16224,0.14399,0.15345,78453498
2021-06-30,0.15344,0.15562,0.13900,0.15211,79714700
2021-07-01,0.15211,0.15240,0.13585,0.13904,67509882
2021-07-02,0.13908,0.14115,0.13076,0.13564,60704547
2021-07-03,0.13566,0.14255,0.13214,0.13837,54023786
2021-07-04,0.13837,0.14752,0.13374,0.14143,75048534
2021-07-05,0.14156,0.14161,0.12776,0.13322,75997261
2021-07-06,0.13330,0.14583,0.13322,0.14154,133654537
2021-07-07,0.14152,0.14820,0.13804,0.14165,127346735
2021-07-08,0.14174,0.14239,0.12491,0.12892,109582829
2021-07-09,0.12874,0.12957,0.12046,0.12773,95354921
2021-07-10,0.12773,0.13091,0.12084,0.12542,74267321
2021-07-11,0.12551,0.13576,0.12202,0.13477,148121027
2021-07-12,0.13468,0.13795,0.12362,0.12698,220260547
2021-07-13,0.12691,0.12834,0.12050,0.12553,141999874
2021-07-14,0.12552,0.13012,0.11640,0.12527,157892321
2021-07-15,0.12528,0.12822,0.11800,0.12125,99807979
2021-07-16,0.12141,0.12459,0.11075,0.11129,102210029
2021-07-17,0.11136,0.11403,0.10760,0.10977,116170284
2021-07-18,0.10987,0.11986,0.10959,0.11687,177420680
2021-07-19,0.11688,0.11754,0.10166,0.10314,184421329
2021-07-20,0.10312,0.10518,0.08868,0.09357,149466882
2021-07-21,0.09356,0.10691,0.09013,0.10427,111244627
2021-07-22,0.10430,0.10966,0.10170,0.10729,91900730
2021-07-23,0.10727,0.12354,0.10629,0.11829,358071840
2021-07-24,0.11830,0.12746,0.11472,0.11826,225788734
2021-07-25,0.11827,0.12490,0.11497,0.12340,156476580
2021-07-26,0.12338,0.14807,0.12263,0.12615,405978159
2021-07-27,0.12615,0.13075,0.11835,0.12758,199166072
2021-07-28,0.12764,0.12893,0.12196,0.12482,135022087
2021-07-29,0.12501,0.13775,0.12108,0.13710,296127184
2021-07-30,0.13710,0.13775,0.12444,0.13356,164061424
2021-07-31,0.13365,0.14420,0.12962,0.13721,189604033
2021-08-01,0.13715,0.14670,0.13347,0.13551,173887424
2021-08-02,0.13558,0.14455,0.13359,0.13961,149373762
2021-08-03,0.13974,0.15182,0.13368,0.14669,363184376
2021-08-04,0.14666,0.14958,0.13864,0.14712,214726322
2021-08-05,0.14709,0.16980,0.14333,0.16721,650149773
2021-08-06,0.16723,0.17347,0.15901,0.16724,327137376
2021-08-07,0.16730,0.17651,0.16292,0.16910,191833144
2021-08-08,0.16919,0.18097,0.16250,0.16496,218542966
2021-08-09,0.16496,0.18450,0.16018,0.17792,271253317
2021-08-10,0.17784,0.19710,0.17531,0.19064,294882584
2021-08-11,0.19064,0.20963,0.19049,0.19398,198874610
2021-08-12,0.19390,0.20854,0.17879,0.19073,231474939
2021-08-13,0.19067,0.22940,0.18723,0.22795,337340233
2021-08-14,0.22785,0.23565,0.21100,0.22078,238913687
2021-08-15,0.22076,0.22582,0.20603,0.22419,125046781
2021-08-16,0.22420,0.23434,0.20985,0.21489,172000860
2021-08-17,0.21480,0.25785,0.20700,0.21806,387100246
2021-08-18,0.21815,0.23363,0.20664,0.22108,249398041
2021-08-19,0.22111,0.26433,0.21706,0.26259,293347217
2021-08-20,0.26264,0.29874,0.24733,0.29458,374884848
2021-08-21,0.29469,0.31893,0.27931,0.28418,349794070
2021-08-22,0.28416,0.32650,0.28391,0.30336,327683085
2021-08-23,0.30346,0.33333,0.30300,0.32123,229762698
2021-08-24,0.32102,0.33785,0.28000,0.28718,236427797
2021-08-25,0.28706,0.49447,0.27032,0.48007,486699819
2021-08-26,0.48002,0.48070,0.34715,0.36967,1993238550
2021-08-27,0.36999,0.42186,0.34883,0.40121,636461037
2021-08-28,0.40143,0.40668,0.36602,0.38404,326076548
2021-08-29,0.38418,0.38587,0.35121,0.36326,219226162
2021-08-30,0.36324,0.36924,0.32347,0.32626,211247520
2021-08-31,0.32621,0.36000,0.30691,0.31445,247939725
2021-09-01,0.31427,0.34850,0.30600,0.33753,259612129
2021-09-02,0.33751,0.35411,0.32759,0.34046,198768246
2021-09-03,0.34054,0.35244,0.32320,0.33807,197646619
2021-09-04,0.33809,0.40214,0.33562,0.36733,399539147
2021-09-05,0.36739,0.37664,0.35454,0.37069,174004083
2021-09-06,0.37070,0.39270,0.32800,0.36086,204530131
2021-09-07,0.36091,0.36264,0.20801,0.29190,417564504
2021-09-08,0.29191,0.30991,0.25877,0.30439,273130162
2021-09-09,0.30456,0.31514,0.28693,0.30107,183776749
2021-09-10,0.30104,0.34704,0.29248,0.30047,348942255
2021-09-11,0.30048,0.32294,0.29264,0.30909,151931580
