date,open,high,low,close,volume
2021-09-18,0.11358,0.13840,0.10412,0.11586,4233973076
2021-09-19,0.11584,0.12943,0.10759,0.11010,3656837848
2021-09-20,0.11010,0.11195,0.08600,0.09046,4673325633
2021-09-21,0.09050,0.11380,0.08347,0.09925,5491222643
2021-09-22,0.09932,0.11155,0.09773,0.10791,3026582573
2021-09-23,0.10790,0.12222,0.10594,0.11279,2789866308
2021-09-24,0.11278,0.11530,0.09200,0.09719,2682288279
2021-09-25,0.09718,0.10140,0.09027,0.09252,1219773510
2021-09-26,0.09252,0.09762,0.08118,0.08781,1682314061
2021-09-27,0.08788,0.09555,0.08400,0.08418,1255274362
2021-09-28,0.08428,0.08760,0.07589,0.07668,997578093
2021-09-29,0.07668,0.08966,0.07633,0.08365,1518840176
2021-09-30,0.08363,0.10138,0.08196,0.10050,3318918379
2021-10-01,0.10050,0.10687,0.09436,0.10056,3462945356
2021-10-02,0.10058,0.10978,0.10001,0.10143,2209335237
2021-10-03,0.10143,0.12367,0.09621,0.11410,4616134224
2021-10-04,0.11410,0.11950,0.10651,0.11242,2784261574
2021-10-05,0.11241,0.11400,0.10179,0.10488,1498285007
2021-10-06,0.10491,0.10677,0.09297,0.09913,1476786331
2021-10-07,0.09917,0.10277,0.09400,0.09644,1132043902
2021-10-08,0.09650,0.10507,0.09632,0.09973,1152814881
2021-10-09,0.09978,0.10715,0.09726,0.09930,1073898578
2021-10-10,0.09932,0.10021,0.08988,0.09060,981207638
2021-10-11,0.09061,0.09450,0.08533,0.08895,1115096120
2021-10-12,0.08895,0.08908,0.07950,0.08595,1466048060
2021-10-13,0.08600,0.09116,0.08166,0.08479,1197881674
2021-10-14,0.08479,0.09780,0.08473,0.09180,2249249194
2021-10-15,0.09182,0.09183,0.08303,0.08904,1762635982
2021-10-16,0.08908,0.09279,0.08500,0.08668,985871459
2021-10-17,0.08669,0.08949,0.08100,0.08391,792459665
2021-10-18,0.08392,0.08538,0.08150,0.08346,596928619
2021-10-19,0.08346,0.08510,0.08245,0.08340,478763709
2021-10-20,0.08339,0.08809,0.08250,0.08679,961358520
2021-10-21,0.08682,0.08922,0.08200,0.08352,1044283300
2021-10-22,0.08352,0.08586,0.08250,0.08389,657045507
2021-10-23,0.08392,0.08574,0.08311,0.08434,523119372
2021-10-24,0.08435,0.08648,0.07949,0.08175,726673038
2021-10-25,0.08175,0.08599,0.08125,0.08461,627008202
2021-10-26,0.08462,0.09176,0.08311,0.09051,1267973515
2021-10-27,0.09050,0.09746,0.06800,0.07502,3107241147
2021-10-28,0.07499,0.08308,0.07421,0.08106,1275570734
2021-10-29,0.08106,0.09900,0.08043,0.09266,2745068902
2021-10-30,0.09262,0.11500,0.09158,0.10495,3634853464
2021-10-31,0.10504,0.11835,0.09000,0.09562,1822088736
2021-11-01,0.09565,0.09690,0.08800,0.09120,979129979
2021-11-02,0.09119,0.10200,0.08914,0.09816,1718864539
2021-11-03,0.09817,0.10420,0.09065,0.09537,1281082672
2021-11-04,0.09536,0.09786,0.09003,0.09208,818378365
2021-11-05,0.09206,0.09528,0.09050,0.09145,623996567
2021-11-06,0.09144,0.09348,0.08391,0.09074,760302086
2021-11-07,0.09074,0.09293,0.08976,0.09069,438566938
2021-11-08,0.09071,0.09322,0.08900,0.09303,466880465
2021-11-09,0.09302,0.09400,0.08700,0.08948,644373492
