date,open,high,low,close,volume
2020-01-17,2.669,2.896,2.592,2.696,8174258.39
2020-01-18,2.696,2.799,2.560,2.774,7920982.41
2020-01-19,2.777,2.854,2.519,2.623,9414962.40
2020-01-20,2.623,2.745,2.544,2.695,7244721.52
2020-01-21,2.694,2.745,2.561,2.673,5857502.02
2020-01-22,2.675,2.694,2.626,2.654,3308776.35
2020-01-23,2.656,2.659,2.430,2.471,5259106.64
2020-01-24,2.470,2.542,2.350,2.504,3786409.71
2020-01-25,2.506,2.515,2.436,2.448,2024211.40
2020-01-26,2.449,2.582,2.429,2.575,1798455.47
2020-01-27,2.579,2.683,2.561,2.608,3819200.89
2020-01-28,2.610,2.678,2.588,2.656,3230957.43
2020-01-29,2.659,2.839,2.644,2.781,5033997.71
2020-01-30,2.781,2.950,2.706,2.914,6791645.62
2020-01-31,2.917,2.929,2.762,2.825,3932003.60
2020-02-01,2.830,2.888,2.737,2.841,2911735.11
2020-02-02,2.840,2.894,2.737,2.832,3802570.97
2020-02-03,2.832,2.884,2.747,2.782,3581271.52
2020-02-04,2.780,2.806,2.676,2.741,4986574.63
2020-02-05,2.743,2.891,2.732,2.843,6672109.53
2020-02-06,2.843,2.970,2.794,2.902,6810869.82
2020-02-07,2.902,3.365,2.900,3.311,21498629.65
2020-02-08,3.310,3.480,3.110,3.420,13960201.73
2020-02-09,3.419,3.525,3.232,3.504,10618619.75
2020-02-10,3.503,3.511,3.272,3.388,12794908.32
2020-02-11,3.389,3.999,3.353,3.989,20242362.25
2020-02-12,3.992,4.200,3.861,3.988,21463540.02
2020-02-13,3.996,4.141,3.669,3.878,15384991.48
2020-02-14,3.877,4.494,3.797,4.430,16408846.63
2020-02-15,4.434,4.632,4.050,4.328,25198236.75
2020-02-16,4.327,4.884,4.000,4.454,36234506.95
2020-02-17,4.450,4.567,3.854,4.302,29599801.05
2020-02-18,4.308,4.656,4.139,4.564,22201270.68
2020-02-19,4.560,4.869,4.172,4.386,22940583.81
2020-02-20,4.386,4.481,4.066,4.267,17990206.45
2020-02-21,4.268,4.510,4.180,4.275,14439042.63
2020-02-22,4.276,4.348,4.052,4.105,13391901.76
2020-02-23,4.105,4.378,4.072,4.236,12543473.13
2020-02-24,4.239,4.295,3.801,3.923,17653202.98
2020-02-25,3.923,3.964,3.478,3.491,21775940.01
2020-02-26,3.490,3.850,3.312,3.564,33762852.07
2020-02-27,3.564,4.116,3.410,3.956,28829556.63
2020-02-28,3.956,4.246,3.736,4.161,29404884.64
2020-02-29,4.161,4.347,4.052,4.062,24864103.87
2020-03-01,4.056,4.240,3.756,3.858,27557121.23
2020-03-02,3.862,4.327,3.816,4.242,25221263.83
2020-03-03,4.242,4.680,4.131,4.591,31643156.84
2020-03-04,4.591,4.953,4.535,4.635,41814186.91
2020-03-05,4.634,4.900,4.617,4.707,27195074.19
2020-03-06,4.710,4.748,4.538,4.683,22760436.87
2020-03-07,4.683,4.688,4.310,4.342,23882647.15
2020-03-08,4.342,4.398,3.834,4.059,48713759.73
2020-03-09,4.059,4.371,3.600,4.120,62199105.65
2020-03-10,4.120,4.200,3.913,4.080,36483260.51
2020-03-11,4.079,4.109,3.550,3.815,36061699.63
2020-03-12,3.811,3.850,1.750,1.993,98883403.15
2020-03-13,1.990,2.747,1.364,2.426,74680139.44
2020-03-14,2.427,2.514,2.051,2.129,32328472.46
2020-03-15,2.128,2.401,2.005,2.086,29040023.13
2020-03-16,2.086,2.086,1.530,1.785,63189586.38
2020-03-17,1.783,2.071,1.728,1.861,39254830.14
2020-03-18,1.861,1.960,1.756,1.948,29145064.61
2020-03-19,1.949,2.385,1.885,2.241,38627307.20
2020-03-20,2.241,2.629,2.010,2.260,46646667.19
2020-03-21,2.260,2.376,2.100,2.280,21055692.28
2020-03-22,2.281,2.330,1.925,1.981,20421362.33
2020-03-23,1.984,2.283,1.926,2.245,24657741.05
2020-03-24,2.246,2.373,2.190,2.311,19501709.49
2020-03-25,2.310,2.352,2.179,2.254,14112900.81
2020-03-26,2.256,2.313,2.202,2.313,8489670.50
2020-03-27,2.311,2.362,2.100,2.131,8416287.77
2020-03-28,2.131,2.151,2.038,2.131,13925185.40
2020-03-29,2.130,2.147,2.002,2.006,8981680.13
2020-03-30,2.006,2.197,2.002,2.134,11279154.93
2020-03-31,2.133,2.300,2.108,2.259,10171831.55
2020-04-01,2.261,2.310,2.142,2.276,18447514.13
2020-04-02,2.276,2.456,2.256,2.294,19283942.92
2020-04-03,2.293,2.384,2.267,2.301,9692728.91
2020-04-04,2.300,2.342,2.253,2.315,7908413.24
2020-04-05,2.316,2.323,2.242,2.264,4956710.65
2020-04-06,2.264,2.564,2.264,2.550,13785765.67
2020-04-07,2.550,2.911,2.547,2.729,43008269.80
2020-04-08,2.730,3.270,2.709,3.171,42479244.47
2020-04-09,3.170,3.480,3.122,3.313,61252280.71
2020-04-10,3.312,3.324,2.941,3.220,70479253.59
2020-04-11,3.218,3.434,3.060,3.286,64624324.33
2020-04-12,3.286,3.638,3.165,3.414,67755148.33
2020-04-13,3.411,3.459,3.185,3.365,58635180.47
2020-04-14,3.366,3.443,3.201,3.249,36392064.67
2020-04-15,3.248,3.300,3.100,3.119,39078370.35
2020-04-16,3.120,3.580,2.960,3.486,47935169.47
2020-04-17,3.487,3.535,3.380,3.454,22860047.76
2020-04-18,3.453,3.837,3.443,3.782,32676418.30
2020-04-19,3.782,3.809,3.512,3.588,34528134.86
2020-04-20,3.588,3.795,3.368,3.431,48349742.38
2020-04-21,3.431,3.570,3.379,3.457,33405925.84
2020-04-22,3.457,3.688,3.429,3.676,27240240.28
2020-04-23,3.676,3.937,3.594,3.761,30922748.15
2020-04-24,3.762,3.895,3.740,3.780,19719107.28
2020-04-25,3.780,3.913,3.747,3.790,15847102.51
2020-04-26,3.790,3.819,3.617,3.723,22172119.89
2020-04-27,3.723,3.743,3.461,3.636,27008173.19
2020-04-28,3.637,3.740,3.557,3.648,19153846.14
2020-04-29,3.646,4.019,3.633,3.895,36067115.78
2020-04-30,3.896,3.987,3.628,3.709,31525918.43
2020-05-01,3.708,3.921,3.705,3.764,18680066.80
2020-05-02,3.764,3.872,3.731,3.819,11706080.24
2020-05-03,3.818,3.874,3.639,3.716,11792615.23
2020-05-04,3.715,3.834,3.506,3.753,24149955.31
2020-05-05,3.753,3.827,3.658,3.685,12489562.59
2020-05-06,3.685,3.769,3.572,3.595,12100688.06
2020-05-07,3.595,3.858,3.566,3.764,18291026.07
2020-05-08,3.765,3.864,3.693,3.801,15134803.39
2020-05-09,3.803,4.225,3.766,4.023,35215660.19
2020-05-10,4.022,4.029,3.409,3.761,34059847.35
2020-05-11,3.762,3.838,3.288,3.587,22303488.36
2020-05-12,3.588,3.799,3.544,3.698,14666352.60
2020-05-13,3.698,3.822,3.633,3.768,10319592.34
2020-05-14,3.768,3.865,3.695,3.810,11696927.96
2020-05-15,3.811,3.837,3.620,3.665,8560581.47
2020-05-16,3.664,3.790,3.620,3.763,6629632.65
2020-05-17,3.763,3.855,3.755,3.783,6464190.09
2020-05-18,3.781,3.957,3.780,3.891,10230574.44
2020-05-19,3.891,3.954,3.777,3.947,8353172.85
2020-05-20,3.946,4.140,3.894,4.086,20728883.42
2020-05-21,4.086,4.175,3.740,3.831,23594129.48
2020-05-22,3.830,4.146,3.800,4.061,16513237.66
2020-05-23,4.061,4.107,3.910,3.929,12252734.30
2020-05-24,3.929,4.030,3.786,3.790,13064110.88
2020-05-25,3.794,3.909,3.770,3.865,8056320.29
2020-05-26,3.867,3.886,3.772,3.846,7193089.12
2020-05-27,3.847,3.917,3.807,3.857,6535533.79
2020-05-28,3.856,4.063,3.830,4.044,7532220.62
2020-05-29,4.045,4.132,3.951,3.981,9286608.08
2020-05-30,3.981,4.187,3.943,4.183,8840742.11
2020-05-31,4.183,4.289,4.041,4.133,12796267.47
2020-06-01,4.132,4.484,4.123,4.393,20163348.45
2020-06-02,4.392,4.625,4.100,4.400,18992993.74
2020-06-03,4.400,4.536,4.289,4.494,9758675.62
2020-06-04,4.492,4.513,4.287,4.434,10267558.92
2020-06-05,4.430,4.490,4.343,4.363,6815261.19
2020-06-06,4.362,4.400,4.308,4.355,3780546.45
2020-06-07,4.356,4.410,4.211,4.353,5722980.16
2020-06-08,4.353,4.480,4.329,4.478,5651074.21
2020-06-09,4.478,4.515,4.367,4.442,6592083.07
2020-06-10,4.443,4.446,4.352,4.425,5449053.31
2020-06-11,4.427,4.458,3.890,3.962,14317863.64
2020-06-12,3.962,4.191,3.858,4.087,8040478.12
2020-06-13,4.087,4.132,4.007,4.112,3047404.22
2020-06-14,4.112,4.116,3.918,3.942,3813824.62
2020-06-15,3.944,3.989,3.657,3.929,14035947.23
2020-06-16,3.930,4.090,3.893,4.048,12237956.25
2020-06-17,4.048,4.189,3.961,4.163,11307298.16
