date,open,high,low,close,volume
2021-02-18,11.010,12.970,11.010,11.332,1388360.7
2021-02-19,11.335,11.561,10.001,10.248,2502227.3
2021-02-20,10.255,12.500,9.404,10.335,5072291.3
2021-02-21,10.323,11.595,10.050,10.652,2514061.8
2021-02-22,10.654,11.164,7.173,9.167,4715959.8
2021-02-23,9.204,9.275,6.139,7.640,3808502.2
2021-02-24,7.639,9.093,7.053,8.525,3275622.8
2021-02-25,8.511,10.000,8.010,8.183,4007002.7
2021-02-26,8.180,8.888,7.281,8.014,3439857.9
2021-02-27,8.011,8.670,7.469,7.764,1761545.6
2021-02-28,7.757,7.874,6.357,6.911,2446823.9
2021-03-01,6.916,7.833,6.823,7.623,1603108.0
2021-03-02,7.621,8.549,7.186,8.321,3352920.5
2021-03-03,8.312,8.966,8.050,8.206,3155168.1
2021-03-04,8.200,8.493,7.519,7.798,2122576.9
2021-03-05,7.801,7.927,7.113,7.693,1614290.6
2021-03-06,7.702,8.521,7.628,8.332,3121448.8
2021-03-07,8.334,9.510,8.156,9.213,4601924.9
2021-03-08,9.231,9.813,8.914,9.244,3035369.0
2021-03-09,9.248,10.326,8.920,9.906,5349493.3
2021-03-10,9.916,10.018,8.680,8.859,4507197.8
2021-03-11,8.867,9.247,8.500,8.728,3118062.3
2021-03-12,8.730,9.300,7.726,8.125,4387141.4
2021-03-13,8.125,10.394,7.804,10.026,5965048.3
2021-03-14,10.020,11.975,9.300,10.921,10388734.4
2021-03-15,10.930,11.686,9.392,10.373,7208746.0
2021-03-16,10.387,11.522,9.708,11.426,4801544.2
2021-03-17,11.427,11.837,10.490,10.815,3157269.9
2021-03-18,10.817,11.783,10.691,11.117,4594624.7
2021-03-19,11.123,12.477,10.550,11.687,4505712.5
2021-03-20,11.687,12.178,10.450,10.544,2879653.4
2021-03-21,10.543,11.000,10.010,10.630,3599999.4
2021-03-22,10.626,10.849,9.050,9.423,2988241.5
2021-03-23,9.426,9.879,8.800,8.945,2710273.4
2021-03-24,8.945,9.767,7.558,8.120,3550388.6
2021-03-25,8.120,8.462,7.599,8.141,3690646.1
2021-03-26,8.131,9.255,8.113,8.961,2483996.7
2021-03-27,8.962,9.588,8.765,9.080,3260992.9
2021-03-28,9.087,9.684,8.891,9.164,3217133.5
2021-03-29,9.170,10.183,8.887,9.852,5263218.2
2021-03-30,9.857,10.200,9.611,9.754,2330778.1
2021-03-31,9.753,9.840,8.395,9.292,4811860.1
2021-04-01,9.292,9.481,8.915,9.118,2344946.7
2021-04-02,9.119,9.825,9.090,9.566,2048309.4
2021-04-03,9.569,10.180,8.710,8.869,2987425.9
2021-04-04,8.870,9.848,8.718,9.617,2531926.7
2021-04-05,9.616,10.350,9.220,9.858,3438514.9
2021-04-06,9.859,10.749,9.441,10.513,5259705.7
2021-04-07,10.501,10.954,9.000,9.370,5459155.8
2021-04-08,9.370,10.788,9.292,10.630,4296545.9
2021-04-09,10.629,12.540,10.627,12.010,14352346.0
2021-04-10,12.009,12.471,11.053,11.474,5034800.3
2021-04-11,11.473,12.220,11.100,11.577,3613082.1
2021-04-12,11.577,13.122,11.355,12.803,8893796.9
2021-04-13,12.805,13.300,11.230,11.520,5919590.3
2021-04-14,11.523,11.997,10.234,11.472,5643781.3
2021-04-15,11.472,12.713,11.250,12.409,5074853.4
2021-04-16,12.411,12.538,10.944,11.298,4558507.8
2021-04-17,11.297,13.444,11.284,12.556,7073212.0
2021-04-18,12.570,13.281,7.500,10.186,11733720.6
2021-04-19,10.183,10.962,8.765,8.932,6120340.6
2021-04-20,8.929,9.350,7.917,9.164,5392271.7
2021-04-21,9.169,9.710,8.720,8.862,4540893.0
2021-04-22,8.860,9.531,7.640,8.050,5412544.9
2021-04-23,8.050,8.171,6.173,7.752,6818752.1
2021-04-24,7.751,7.756,6.909,7.005,3039961.2
2021-04-25,7.007,7.768,6.685,7.198,2647031.2
2021-04-26,7.198,8.299,7.103,8.044,3049199.8
2021-04-27,8.042,9.366,7.928,8.981,5093156.4
2021-04-28,8.986,9.160,8.180,8.625,4226819.7
2021-04-29,8.632,9.013,8.062,8.476,3907066.5
2021-04-30,8.474,9.360,8.309,9.171,3862146.4
2021-05-01,9.169,9.500,8.704,9.273,2855422.7
2021-05-02,9.277,9.399,8.709,9.137,2644663.7
2021-05-03,9.133,9.998,9.131,9.534,4561921.5
2021-05-04,9.536,9.548,7.829,7.927,10648631.2
2021-05-05,7.927,8.750,7.783,8.573,4646800.0
2021-05-06,8.577,9.263,8.100,8.585,8017670.9
2021-05-07,8.586,9.129,8.116,8.700,7414743.2
2021-05-08,8.702,8.908,8.400,8.523,2984167.0
2021-05-09,8.524,8.601,7.479,8.209,3889612.5
2021-05-10,8.207,8.500,6.696,7.434,5362365.8
2021-05-11,7.428,8.006,7.161,7.872,3811165.6
2021-05-12,7.873,8.139,6.269,6.484,3724484.4
2021-05-13,6.497,7.277,6.000,6.752,5973509.2
2021-05-14,6.750,7.461,6.589,7.212,3788792.0
2021-05-15,7.212,7.614,6.604,6.736,3573050.9
2021-05-16,6.735,7.726,6.674,7.213,4170866.1
2021-05-17,7.212,7.249,6.270,6.511,3974042.6
2021-05-18,6.510,7.009,6.427,6.584,2761629.9
2021-05-19,6.588,6.716,2.575,3.759,11173243.7
2021-05-20,3.760,4.736,3.281,4.346,6706568.2
2021-05-21,4.346,4.589,2.954,3.520,6014228.2
2021-05-22,3.518,3.584,3.009,3.098,4396776.1
2021-05-23,3.100,3.249,2.025,2.554,8047672.7
2021-05-24,2.554,3.490,2.465,3.420,5619768.1
2021-05-25,3.420,3.617,2.918,3.295,4765998.7
2021-05-26,3.293,3.887,3.257,3.750,4747022.3
2021-05-27,3.747,3.995,3.276,3.837,4914332.5
2021-05-28,3.839,4.000,3.053,3.238,4867727.4
2021-05-29,3.239,3.362,2.844,3.049,3225362.2
2021-05-30,3.051,3.221,2.890,3.105,2332629.4
2021-05-31,3.104,3.594,2.947,3.577,3559369.0
2021-06-01,3.577,4.245,3.449,3.814,14369782.4
2021-06-02,3.814,3.997,3.695,3.811,5983383.9
2021-06-03,3.810,4.270,3.742,4.071,4282350.3
2021-06-04,4.072,4.074,3.460,3.850,8130280.6
2021-06-05,3.850,4.600,3.780,3.983,19855821.3
2021-06-06,3.983,4.105,3.828,3.959,5712869.7
2021-06-07,3.960,4.288,3.475,3.499,6168902.0
2021-06-08,3.499,3.578,3.067,3.371,6711908.3
2021-06-09,3.372,3.511,3.165,3.498,4032366.8
2021-06-10,3.499,3.770,3.250,3.316,11544195.2
2021-06-11,3.316,3.513,3.179,3.293,5665070.1
2021-06-12,3.293,3.346,3.035,3.142,4302000.2
2021-06-13,3.142,3.378,3.061,3.343,4712887.0
2021-06-14,3.343,3.573,3.265,3.558,5828311.3
2021-06-15,3.560,3.599,3.381,3.525,3241524.1
2021-06-16,3.524,3.565,3.234,3.288,3826223.4
2021-06-17,3.288,3.587,3.278,3.485,3651615.0
2021-06-18,3.485,3.485,3.007,3.131,4192416.2
2021-06-19,3.127,3.186,2.979,2.983,1549959.0
2021-06-20,2.985,3.167,2.793,3.056,4420146.8
