date,open,high,low,close,volume
2020-02-17,14.191,15.259,13.328,15.007,257225.54
2020-02-18,15.026,15.778,14.164,15.575,407657.15
2020-02-19,15.568,15.628,13.252,14.060,280442.44
2020-02-20,14.028,14.386,13.326,14.033,156744.42
2020-02-21,14.035,14.362,13.700,14.034,203653.84
2020-02-22,14.034,14.105,13.503,13.746,185606.93
2020-02-23,13.738,14.489,13.738,14.323,188187.70
2020-02-24,14.325,14.486,13.010,13.394,272312.59
2020-02-25,13.393,13.542,12.302,12.405,237188.36
2020-02-26,12.400,12.563,10.760,11.000,311652.64
2020-02-27,10.999,11.712,10.348,11.498,243148.19
2020-02-28,11.505,11.673,10.611,11.306,205460.95
2020-02-29,11.310,11.523,10.910,11.111,189512.50
2020-03-01,11.110,11.888,11.064,11.329,359356.87
2020-03-02,11.329,12.223,11.192,12.109,348018.44
2020-03-03,12.106,12.106,11.360,11.571,248482.52
2020-03-04,11.568,12.064,11.501,11.763,259272.40
2020-03-05,11.770,12.407,11.770,12.087,233707.02
2020-03-06,12.075,12.400,11.937,12.381,179001.61
2020-03-07,12.400,12.464,11.559,11.607,210448.71
2020-03-08,11.611,11.611,9.818,10.047,360278.50
2020-03-09,10.058,10.368,9.390,9.908,396751.92
2020-03-10,9.917,10.205,9.586,9.861,327852.98
2020-03-11,9.868,10.008,8.784,9.428,357423.34
2020-03-12,9.441,9.581,5.356,5.640,916445.92
2020-03-13,5.630,6.688,3.864,6.218,1577316.69
2020-03-14,6.219,6.267,5.641,5.742,515924.19
2020-03-15,5.739,6.410,5.662,5.964,415660.69
2020-03-16,5.958,5.962,4.888,5.366,397877.30
2020-03-17,5.379,5.893,5.297,5.621,398563.51
2020-03-18,5.620,5.743,5.333,5.719,348189.43
2020-03-19,5.726,6.820,5.668,6.477,491686.55
2020-03-20,6.473,7.203,5.681,6.272,763260.28
2020-03-21,6.280,6.442,5.877,6.235,515686.76
2020-03-22,6.235,6.447,5.865,5.948,392845.14
2020-03-23,5.930,6.703,5.826,6.688,437584.79
2020-03-24,6.688,6.968,6.517,6.898,455482.19
2020-03-25,6.894,7.090,6.596,6.934,687806.07
2020-03-26,6.934,7.052,6.715,7.035,406928.17
2020-03-27,7.037,7.168,6.410,6.481,392693.93
2020-03-28,6.481,6.706,6.214,6.613,495028.18
2020-03-29,6.615,6.666,6.127,6.181,535572.30
2020-03-30,6.176,6.756,6.161,6.581,565251.04
2020-03-31,6.582,6.953,6.518,6.775,413588.06
2020-04-01,6.776,6.838,6.394,6.808,428173.48
2020-04-02,6.816,7.344,6.763,6.969,637716.08
2020-04-03,6.967,7.236,6.854,7.022,362763.82
2020-04-04,7.020,7.298,6.870,7.192,424621.63
2020-04-05,7.203,7.247,6.889,7.014,334077.34
2020-04-06,7.019,7.849,7.005,7.827,482426.77
2020-04-07,7.829,8.169,7.444,7.719,591318.23
2020-04-08,7.719,8.045,7.652,7.998,413495.74
2020-04-09,7.998,8.159,7.800,8.027,331394.04
2020-04-10,8.027,8.033,7.083,7.300,555508.41
2020-04-11,7.300,7.528,7.133,7.295,289398.25
2020-04-12,7.295,7.709,7.165,7.360,340402.36
2020-04-13,7.358,7.358,7.002,7.277,564577.28
2020-04-14,7.277,7.425,7.133,7.253,318954.66
2020-04-15,7.253,7.376,6.953,6.994,332829.96
2020-04-16,6.987,7.707,6.804,7.610,671556.03
2020-04-17,7.610,7.654,7.409,7.459,456554.61
