date,open,high,low,close,volume
2021-08-20,7.614,8.273,7.450,8.260,1819944.0
2021-08-21,8.252,8.252,7.200,7.389,1817669.8
2021-08-22,7.390,7.927,6.938,7.176,2077319.1
2021-08-23,7.176,7.796,7.058,7.232,3721738.9
2021-08-24,7.242,8.182,6.745,6.957,7149932.4
2021-08-25,6.951,7.398,6.635,7.205,4353317.1
2021-08-26,7.212,7.500,6.675,6.825,3995160.7
2021-08-27,6.830,9.380,6.694,9.035,51203291.9
2021-08-28,9.036,14.185,8.710,11.256,87179416.3
2021-08-29,11.263,12.864,10.600,11.514,44815764.7
2021-08-30,11.509,13.280,10.680,11.685,35768732.1
2021-08-31,11.685,14.500,11.230,12.054,37686501.0
2021-09-01,12.048,12.485,11.387,11.603,13399920.0
2021-09-02,11.604,12.700,11.279,11.779,14927225.8
2021-09-03,11.784,13.776,11.732,12.730,23276555.9
2021-09-04,12.730,13.738,12.032,12.409,11361602.8
2021-09-05,12.406,12.720,12.031,12.485,5806677.1
2021-09-06,12.488,13.091,9.760,12.857,14099560.2
2021-09-07,12.856,15.217,9.050,11.787,40107782.7
2021-09-08,11.790,13.002,9.988,12.581,13695029.3
2021-09-09,12.581,16.300,12.442,14.787,36521088.1
2021-09-10,14.785,15.193,12.760,14.430,14565350.5
2021-09-11,14.434,16.314,14.219,14.988,17804546.5
2021-09-12,14.986,16.970,14.500,16.507,13216742.4
2021-09-13,16.519,16.800,13.100,14.460,12018070.2
2021-09-14,14.468,14.753,12.350,13.303,7783228.1
2021-09-15,13.304,14.000,12.749,13.619,6419430.9
2021-09-16,13.619,13.690,12.660,12.932,4291583.3
2021-09-17,12.933,13.213,11.745,12.189,5678230.0
2021-09-18,12.190,13.285,11.853,13.231,6259391.3
2021-09-19,13.232,13.500,11.951,12.011,4053410.2
2021-09-20,12.009,12.075,9.956,10.070,8220011.6
2021-09-21,10.069,10.628,8.960,9.187,6983720.5
2021-09-22,9.191,10.640,9.001,10.604,5286858.2
2021-09-23,10.603,11.775,10.326,11.637,5332387.3
2021-09-24,11.635,11.655,9.453,10.056,6970890.1
2021-09-25,10.065,10.224,9.604,9.851,3978046.0
2021-09-26,9.848,10.019,9.000,9.677,4227746.8
2021-09-27,9.676,10.946,9.470,9.642,7582900.6
2021-09-28,9.645,9.798,9.050,9.113,4462681.1
2021-09-29,9.111,9.586,8.832,9.139,3732968.8
2021-09-30,9.139,9.645,9.095,9.625,2524217.3
2021-10-01,9.626,11.126,9.430,10.997,8155902.2
2021-10-02,11.000,11.586,10.728,11.131,5413041.5
2021-10-03,11.131,11.998,10.941,11.547,5016523.5
2021-10-04,11.552,11.640,10.700,11.131,3591610.6
2021-10-05,11.134,11.365,10.859,11.034,2448256.7
2021-10-06,11.037,11.210,10.106,10.742,3786235.2
2021-10-07,10.740,10.808,10.220,10.253,2959473.1
2021-10-08,10.254,10.716,10.170,10.294,2648459.9
2021-10-09,10.295,10.488,10.175,10.290,2238906.1
2021-10-10,10.296,10.321,9.484,9.545,2982301.4
2021-10-11,9.542,9.902,9.224,9.442,3041351.6
2021-10-12,9.438,9.596,9.011,9.587,4488224.6
2021-10-13,9.587,10.287,9.302,10.044,6639579.9
2021-10-14,10.045,10.330,9.755,9.891,3666981.4
2021-10-15,9.890,10.600,9.657,10.225,5547845.0
2021-10-16,10.224,10.290,9.801,9.847,2385830.1
2021-10-17,9.848,10.050,9.310,9.563,2352417.2
2021-10-18,9.564,9.713,9.250,9.326,1956077.6
2021-10-19,9.327,9.554,9.280,9.455,1924182.4
2021-10-20,9.451,10.382,9.416,10.327,4165088.6
2021-10-21,10.327,10.929,10.016,10.214,7179958.3
2021-10-22,10.214,11.208,10.127,10.619,7594768.0
2021-10-23,10.619,10.824,10.300,10.454,3112457.0
2021-10-24,10.453,10.491,9.869,10.234,2581504.4
2021-10-25,10.233,11.150,10.145,10.654,5022520.5
2021-10-26,10.652,10.967,10.139,10.316,4350168.3
2021-10-27,10.316,10.484,8.417,9.298,7173205.0
2021-10-28,9.300,9.993,9.213,9.966,3576706.7
2021-10-29,9.968,10.470,9.896,10.401,3143489.3
2021-10-30,10.403,11.447,10.148,10.884,5777070.6
2021-10-31,10.876,10.971,10.048,10.607,4322911.5
2021-11-01,10.611,11.230,10.192,10.814,4251367.8
2021-11-02,10.816,11.443,10.574,11.391,3743701.0
2021-11-03,11.392,13.380,11.181,12.689,19001983.1
2021-11-04,12.686,13.175,11.622,12.227,5986051.5
2021-11-05,12.225,12.263,11.493,11.671,3516692.2
2021-11-06,11.668,12.551,11.338,12.519,5070899.4
