,symbol
0,BTCUSDT
1,ETHUSDT
2,BCHUSDT
3,XRPUSDT
4,EOSUSDT
5,LTCUSDT
6,TRXUSDT
7,ETCUSDT
8,LINKUSDT
9,XLMUSDT
10,ADAUSDT
11,XMRUSDT
12,DASHUSDT
13,ZECUSDT
14,XTZUSDT
15,BNBUSDT
16,ATOMUSDT
17,ONTUSDT
18,IOTAUSDT
19,BATUSDT
20,VETUSDT
21,NEOUSDT
22,QTUMUSDT
23,IOSTUSDT
24,THETAUSDT
25,ALGOUSDT
26,ZILUSDT
27,KNCUSDT
28,ZRXUSDT
29,COMPUSDT
30,OMGUSDT
31,DOGEUSDT
32,SXPUSDT
33,KAVAUSDT
34,BANDUSDT
35,RLCUSDT
36,WAVESUSDT
37,MKRUSDT
38,SNXUSDT
39,DOTUSDT
40,DEFIUSDT
41,YFIUSDT
42,BALUSDT
43,CRVUSDT
44,TRBUSDT
45,RUNEUSDT
46,SUSHIUSDT
47,SRMUSDT
48,EGLDUSDT
49,SOLUSDT
50,ICXUSDT
51,STORJUSDT
52,BLZUSDT
53,UNIUSDT
54,AVAXUSDT
55,FTMUSDT
56,HNTUSDT
57,ENJUSDT
58,FLMUSDT
59,TOMOUSDT
60,RENUSDT
61,KSMUSDT
62,NEARUSDT
63,AAVEUSDT
64,FILUSDT
65,RSRUSDT
66,LRCUSDT
67,MATICUSDT
68,OCEANUSDT
69,CVCUSDT
70,BELUSDT
71,CTKUSDT
72,AXSUSDT
73,ALPHAUSDT
74,ZENUSDT
75,SKLUSDT
76,GRTUSDT
77,1INCHUSDT
78,CHZUSDT
79,SANDUSDT
80,ANKRUSDT
81,BTSUSDT
82,LITUSDT
83,UNFIUSDT
84,REEFUSDT
85,RVNUSDT
86,SFPUSDT
87,XEMUSDT
88,BTCSTUSDT
89,COTIUSDT
90,CHRUSDT
91,MANAUSDT
92,ALICEUSDT
93,HBARUSDT
94,ONEUSDT
95,LINAUSDT
96,STMXUSDT
97,DENTUSDT
98,CELRUSDT
99,HOTUSDT
100,MTLUSDT
101,OGNUSDT
102,NKNUSDT
103,SCUSDT
104,DGBUSDT
105,1000SHIBUSDT
106,ICPUSDT
107,BAKEUSDT
108,GTCUSDT
109,BTCDOMUSDT
110,TLMUSDT
111,IOTXUSDT
112,AUDIOUSDT
113,RAYUSDT
114,C98USDT
115,MASKUSDT
116,ATAUSDT
117,DYDXUSDT
118,1000XECUSDT
119,GALAUSDT
120,CELOUSDT
121,ARUSDT
122,KLAYUSDT
123,ARPAUSDT
124,CTSIUSDT
125,LPTUSDT
126,ENSUSDT
127,PEOPLEUSDT
128,ANTUSDT
129,ROSEUSDT
130,DUSKUSDT
131,FLOWUSDT
132,IMXUSDT
133,API3USDT
134,GMTUSDT
135,APEUSDT
136,BNXUSDT
137,WOOUSDT
138,FTTUSDT
139,JASMYUSDT
140,DARUSDT
141,GALUSDT
142,OPUSDT
