date,open,high,low,close,volume
2020-09-01,1.18790000,1.18830000,1.18620000,1.18660000,95147.04000000
2020-09-01,1.18670000,1.18800000,1.18670000,1.18730000,31068.34000000
2020-09-01,1.18750000,1.18770000,1.18610000,1.18670000,60788.04000000
2020-09-01,1.18620000,1.18680000,1.18530000,1.18560000,67057.06000000
2020-09-01,1.18560000,1.18760000,1.18560000,1.18720000,61229.00000000
2020-09-01,1.18740000,1.18760000,1.18600000,1.18690000,73009.99000000
2020-09-01,1.18720000,1.18720000,1.18650000,1.18700000,21368.66000000
2020-09-01,1.18700000,1.18720000,1.18680000,1.18680000,14539.59000000
2020-09-01,1.18690000,1.18770000,1.18680000,1.18750000,38987.14000000
2020-09-01,1.18750000,1.18950000,1.18740000,1.18950000,51951.85000000
2020-09-01,1.18950000,1.19200000,1.18910000,1.19190000,37409.48000000
2020-09-01,1.19200000,1.19360000,1.19040000,1.19220000,104523.75000000
2020-09-01,1.19210000,1.19320000,1.19200000,1.19250000,17817.99000000
2020-09-01,1.19250000,1.19390000,1.19150000,1.19390000,59469.54000000
2020-09-01,1.19350000,1.19410000,1.19100000,1.19320000,90581.23000000
2020-09-01,1.19320000,1.19600000,1.19040000,1.19220000,180280.58000000
2020-09-01,1.19220000,1.19370000,1.18950000,1.19050000,92317.16000000
2020-09-01,1.19050000,1.19090000,1.18900000,1.19040000,89845.15000000
2020-09-01,1.19050000,1.19150000,1.18890000,1.19100000,147887.52000000
2020-09-01,1.19110000,1.19150000,1.18950000,1.19120000,101381.39000000
2020-09-01,1.19130000,1.19140000,1.18880000,1.19030000,135250.20000000
2020-09-01,1.19040000,1.19210000,1.18860000,1.18910000,195043.64000000
2020-09-01,1.18940000,1.18970000,1.18610000,1.18700000,221873.57000000
2020-09-01,1.18720000,1.18850000,1.18620000,1.18750000,281826.17000000
2020-09-02,1.18750000,1.18810000,1.18580000,1.18650000,246143.52000000
2020-09-02,1.18670000,1.18690000,1.18420000,1.18650000,95434.41000000
2020-09-02,1.18650000,1.18730000,1.18260000,1.18350000,135662.98000000
2020-09-02,1.18350000,1.18520000,1.18230000,1.18460000,52507.02000000
2020-09-02,1.18460000,1.18610000,1.18310000,1.18580000,136651.85000000
2020-09-02,1.18590000,1.18740000,1.18410000,1.18470000,152866.71000000
2020-09-02,1.18470000,1.18670000,1.18410000,1.18670000,53164.74000000
2020-09-02,1.18670000,1.18720000,1.18560000,1.18720000,23964.48000000
2020-09-02,1.18720000,1.18750000,1.18460000,1.18690000,29649.33000000
2020-09-02,1.18690000,1.18710000,1.18330000,1.18440000,111657.93000000
2020-09-02,1.18430000,1.18670000,1.18340000,1.18620000,93038.97000000
2020-09-02,1.18630000,1.18670000,1.18620000,1.18660000,43997.51000000
2020-09-02,1.18670000,1.18760000,1.18670000,1.18740000,67317.11000000
2020-09-02,1.18750000,1.18760000,1.18670000,1.18730000,75872.60000000
2020-09-02,1.18720000,1.18770000,1.18620000,1.18650000,89540.02000000
2020-09-02,1.18650000,1.18660000,1.17920000,1.18060000,101977.70000000
2020-09-02,1.18060000,1.18290000,1.17810000,1.17850000,78973.93000000
2020-09-02,1.17860000,1.18040000,1.17810000,1.18000000,84653.40000000
2020-09-02,1.18020000,1.18040000,1.17690000,1.17920000,157964.33000000
2020-09-02,1.17940000,1.18010000,1.17580000,1.17740000,457902.10000000
2020-09-02,1.17730000,1.18010000,1.17500000,1.17860000,212538.60000000
2020-09-02,1.17870000,1.17930000,1.17560000,1.17680000,214497.38000000
2020-09-02,1.17640000,1.17790000,1.17530000,1.17670000,191808.89000000
2020-09-02,1.17750000,1.17770000,1.17400000,1.17550000,155960.03000000
2020-09-03,1.17580000,1.17690000,1.17460000,1.17670000,134211.93000000
2020-09-03,1.17670000,1.17730000,1.17510000,1.17540000,58545.13000000
2020-09-03,1.17540000,1.17540000,1.17350000,1.17390000,179379.50000000
2020-09-03,1.17400000,1.17700000,1.17300000,1.17700000,99759.85000000
2020-09-03,1.17690000,1.17750000,1.17600000,1.17600000,87304.99000000
2020-09-03,1.17720000,1.17800000,1.17640000,1.17780000,48321.48000000
2020-09-03,1.17780000,1.17800000,1.17680000,1.17780000,15064.74000000
