date,open,high,low,close,volume
2020-09-01,1.32940000,1.32990000,1.32850000,1.32850000,10037.90000000
2020-09-01,1.32910000,1.33070000,1.32910000,1.33030000,12240.94000000
2020-09-01,1.33020000,1.33020000,1.32860000,1.32930000,26635.45000000
2020-09-01,1.32930000,1.33000000,1.32830000,1.32880000,10599.99000000
2020-09-01,1.32880000,1.33050000,1.32830000,1.32830000,12588.66000000
2020-09-01,1.32930000,1.33020000,1.32830000,1.32940000,37369.78000000
2020-09-01,1.32910000,1.32910000,1.32860000,1.32860000,1972.26000000
2020-09-01,1.32860000,1.32870000,1.32770000,1.32840000,7116.77000000
2020-09-01,1.32860000,1.32920000,1.32840000,1.32920000,18627.00000000
2020-09-01,1.32990000,1.33020000,1.32860000,1.33020000,1266.03000000
2020-09-01,1.33020000,1.33330000,1.33020000,1.33240000,5501.88000000
2020-09-01,1.33340000,1.33380000,1.33090000,1.33090000,3428.10000000
2020-09-01,1.33260000,1.33390000,1.33260000,1.33280000,1796.86000000
2020-09-01,1.33310000,1.33450000,1.33250000,1.33380000,15045.82000000
2020-09-01,1.33380000,1.33450000,1.33190000,1.33190000,21198.93000000
2020-09-01,1.33230000,1.33440000,1.33190000,1.33440000,34766.37000000
2020-09-01,1.33440000,1.33510000,1.33220000,1.33350000,12699.93000000
2020-09-01,1.33310000,1.33650000,1.33310000,1.33580000,21878.64000000
2020-09-01,1.33650000,1.33840000,1.33520000,1.33720000,32436.24000000
2020-09-01,1.33720000,1.33910000,1.33720000,1.33830000,23245.41000000
2020-09-01,1.33780000,1.33810000,1.33520000,1.33780000,103839.23000000
2020-09-01,1.33790000,1.33790000,1.33300000,1.33360000,17341.37000000
2020-09-01,1.33360000,1.33650000,1.33220000,1.33650000,33792.25000000
2020-09-01,1.33470000,1.33670000,1.33290000,1.33320000,58197.55000000
2020-09-02,1.33270000,1.33360000,1.32990000,1.33040000,27848.16000000
2020-09-02,1.33040000,1.33120000,1.32790000,1.32970000,7390.20000000
2020-09-02,1.32930000,1.33100000,1.32770000,1.32870000,20610.26000000
2020-09-02,1.32960000,1.33020000,1.32760000,1.32890000,6828.53000000
2020-09-02,1.33020000,1.33020000,1.32880000,1.32960000,13428.53000000
2020-09-02,1.33050000,1.33080000,1.32960000,1.33000000,23157.02000000
2020-09-02,1.32960000,1.33220000,1.32960000,1.33020000,14144.37000000
2020-09-02,1.33160000,1.33270000,1.33120000,1.33210000,17957.18000000
2020-09-02,1.33250000,1.33280000,1.33100000,1.33100000,10922.85000000
2020-09-02,1.32970000,1.32970000,1.32970000,1.32970000,222.15000000
2020-09-02,1.32920000,1.33060000,1.32920000,1.33030000,5039.71000000
2020-09-02,1.32990000,1.33000000,1.32950000,1.33000000,7145.85000000
2020-09-02,1.32930000,1.32990000,1.32930000,1.32970000,11047.12000000
2020-09-02,1.33020000,1.33020000,1.33020000,1.33020000,3003.19000000
2020-09-02,1.33020000,1.33020000,1.32820000,1.32820000,1948.66000000
2020-09-02,1.32910000,1.32910000,1.32480000,1.32610000,13387.31000000
2020-09-02,1.32540000,1.32720000,1.32540000,1.32570000,24957.05000000
2020-09-02,1.32580000,1.32860000,1.32580000,1.32820000,17036.60000000
2020-09-02,1.32820000,1.32980000,1.32730000,1.32910000,42686.47000000
2020-09-02,1.32840000,1.32950000,1.32540000,1.32630000,81325.59000000
2020-09-02,1.32670000,1.32760000,1.32550000,1.32720000,20732.47000000
2020-09-02,1.32620000,1.32730000,1.32260000,1.32380000,11949.97000000
2020-09-02,1.32390000,1.32440000,1.32120000,1.32220000,15021.62000000
2020-09-02,1.32170000,1.32230000,1.31990000,1.32230000,10104.00000000
2020-09-03,1.32260000,1.32420000,1.32160000,1.32400000,8251.44000000
2020-09-03,1.32410000,1.32480000,1.32340000,1.32340000,21991.83000000
2020-09-03,1.32310000,1.32390000,1.32210000,1.32320000,10897.97000000
2020-09-03,1.32330000,1.32480000,1.32330000,1.32480000,17939.72000000
2020-09-03,1.32480000,1.32640000,1.32480000,1.32590000,32025.68000000
2020-09-03,1.32590000,1.32710000,1.32520000,1.32630000,35034.00000000
2020-09-03,1.32590000,1.32630000,1.32590000,1.32630000,442.41000000
2020-09-03,1.32670000,1.32700000,1.32620000,1.32620000,5588.79000000
2020-09-03,1.32630000,1.32670000,1.32490000,1.32490000,5025.30000000
2020-09-03,1.32480000,1.32480000,1.32400000,1.32440000,21423.67000000
2020-09-03,1.32470000,1.32560000,1.32430000,1.32450000,2259.85000000
2020-09-03,1.32410000,1.32420000,1.32370000,1.32420000,5145.50000000
2020-09-03,1.32390000,1.32430000,1.32250000,1.32290000,11741.89000000
2020-09-03,1.32320000,1.32320000,1.32140000,1.32140000,8523.52000000
2020-09-03,1.32080000,1.32190000,1.31910000,1.31950000,18274.40000000
2020-09-03,1.32070000,1.32160000,1.31930000,1.32150000,8477.27000000
2020-09-03,1.32150000,1.32290000,1.32040000,1.32290000,5701.96000000
2020-09-03,1.32290000,1.32290000,1.31990000,1.31990000,9067.90000000
2020-09-03,1.31830000,1.32000000,1.31690000,1.31740000,19263.06000000
2020-09-03,1.31750000,1.31750000,1.31590000,1.31690000,49981.68000000
2020-09-03,1.31610000,1.32160000,1.31560000,1.31990000,184472.05000000
2020-09-03,1.31990000,1.32080000,1.31930000,1.32030000,42728.52000000
2020-09-03,1.32030000,1.32140000,1.31840000,1.31990000,38702.84000000
2020-09-03,1.31890000,1.31920000,1.31650000,1.31860000,79480.34000000
2020-09-04,1.31800000,1.32030000,1.31750000,1.31800000,34701.06000000
