date,open,high,low,close,volume
2020-09-01,3.72130000,3.75850000,3.66710000,3.67740000,156384.83000000
2020-09-01,3.67320000,3.69500000,3.64950000,3.66510000,65024.36000000
2020-09-01,3.66710000,3.68230000,3.62420000,3.67730000,67765.63000000
2020-09-01,3.68230000,3.73440000,3.66340000,3.68700000,82660.44000000
2020-09-01,3.68360000,3.68970000,3.60340000,3.62880000,111512.12000000
2020-09-01,3.62790000,3.63820000,3.57150000,3.57640000,69108.48000000
2020-09-01,3.57640000,3.67120000,3.56930000,3.63350000,101011.24000000
2020-09-01,3.63360000,3.65240000,3.59330000,3.59540000,57660.31000000
2020-09-01,3.59540000,3.71010000,3.57650000,3.69020000,160559.76000000
2020-09-01,3.69010000,3.74600000,3.66990000,3.70840000,198966.46000000
2020-09-01,3.70840000,3.72660000,3.67260000,3.72640000,52594.88000000
2020-09-01,3.72360000,3.84780000,3.72360000,3.83010000,262682.42000000
2020-09-01,3.83220000,3.87860000,3.81260000,3.87090000,191032.51000000
2020-09-01,3.87010000,3.87400000,3.77270000,3.78630000,207334.16000000
2020-09-01,3.78630000,3.81130000,3.75010000,3.77430000,188231.09000000
2020-09-01,3.77010000,3.84820000,3.73000000,3.79600000,184152.05000000
2020-09-01,3.79590000,3.86490000,3.76700000,3.85020000,224817.61000000
2020-09-01,3.84890000,3.85140000,3.77000000,3.78280000,161270.90000000
2020-09-01,3.78280000,3.79220000,3.74630000,3.75270000,162628.30000000
2020-09-01,3.75290000,3.75650000,3.69940000,3.70820000,195613.02000000
2020-09-01,3.70670000,3.78990000,3.69850000,3.77030000,108833.11000000
2020-09-01,3.76910000,3.77660000,3.72000000,3.72000000,83460.81000000
2020-09-01,3.72400000,3.75320000,3.67830000,3.75300000,101017.72000000
2020-09-01,3.74720000,3.76580000,3.60080000,3.61550000,225379.74000000
2020-09-02,3.61550000,3.67930000,3.60070000,3.64360000,184979.64000000
2020-09-02,3.64680000,3.65030000,3.62980000,3.63060000,32040.97000000
2020-09-02,3.63170000,3.70000000,3.62710000,3.68350000,86965.42000000
2020-09-02,3.68060000,3.68530000,3.59300000,3.60820000,91565.53000000
2020-09-02,3.60820000,3.63000000,3.57100000,3.58250000,72598.95000000
2020-09-02,3.58140000,3.61100000,3.57900000,3.59760000,40440.69000000
2020-09-02,3.59760000,3.61560000,3.57200000,3.57620000,44501.53000000
2020-09-02,3.57370000,3.57780000,3.51590000,3.53450000,82053.20000000
2020-09-02,3.53010000,3.54870000,3.44670000,3.46100000,110759.84000000
2020-09-02,3.46100000,3.47000000,3.42000000,3.43380000,103011.92000000
2020-09-02,3.43360000,3.43890000,3.41200000,3.41510000,57514.49000000
2020-09-02,3.41580000,3.47880000,3.39860000,3.45870000,86440.69000000
2020-09-02,3.45870000,3.51470000,3.45220000,3.48350000,83265.19000000
2020-09-02,3.48350000,3.52820000,3.48350000,3.50300000,49119.98000000
2020-09-02,3.50030000,3.50480000,3.44920000,3.47610000,96353.04000000
2020-09-02,3.47650000,3.49020000,3.40780000,3.42430000,46864.38000000
2020-09-02,3.42650000,3.60000000,3.40700000,3.56520000,289896.02000000
2020-09-02,3.56250000,3.58900000,3.50000000,3.58890000,99924.44000000
2020-09-02,3.58650000,3.58900000,3.41610000,3.43860000,142143.28000000
2020-09-02,3.43880000,3.43970000,2.97000000,3.26950000,748154.30000000
2020-09-02,3.26990000,3.36320000,3.23890000,3.34850000,261874.33000000
2020-09-02,3.35860000,3.36330000,3.26330000,3.30020000,127293.42000000
2020-09-02,3.30040000,3.30050000,3.22550000,3.26010000,129755.47000000
2020-09-02,3.25670000,3.32280000,3.25000000,3.25970000,97872.14000000
2020-09-03,3.25480000,3.26480000,3.19270000,3.24270000,102167.53000000
2020-09-03,3.24430000,3.28580000,3.23000000,3.26700000,73431.43000000
2020-09-03,3.26790000,3.28460000,3.23510000,3.27970000,39764.25000000
2020-09-03,3.27940000,3.30370000,3.26600000,3.29420000,12599.52000000
2020-09-03,3.29350000,3.29400000,3.25520000,3.25650000,42728.25000000
2020-09-03,3.25760000,3.28550000,3.24210000,3.27450000,25106.78000000
2020-09-03,3.27200000,3.29330000,3.26950000,3.28740000,15634.31000000
2020-09-03,3.28680000,3.28920000,3.26380000,3.27480000,16712.97000000
2020-09-03,3.27420000,3.31000000,3.23160000,3.29880000,45218.57000000
2020-09-03,3.30400000,3.32770000,3.27120000,3.32370000,34200.77000000
2020-09-03,3.32770000,3.34170000,3.28720000,3.30080000,31347.83000000
2020-09-03,3.30210000,3.32470000,3.24710000,3.26570000,35665.95000000
2020-09-03,3.26580000,3.28890000,3.15000000,3.19100000,85361.46000000
2020-09-03,3.18670000,3.22540000,3.12130000,3.14800000,72866.45000000
2020-09-03,3.14800000,3.19950000,3.12710000,3.17530000,116115.49000000
2020-09-03,3.17150000,3.21550000,3.10080000,3.18810000,84210.04000000
2020-09-03,3.18920000,3.23560000,3.15840000,3.18050000,115951.23000000
2020-09-03,3.18470000,3.18970000,3.13450000,3.14350000,45436.38000000
2020-09-03,3.14340000,3.15470000,3.07920000,3.10850000,84620.16000000
2020-09-03,3.10850000,3.15060000,3.02100000,3.04330000,162417.09000000
2020-09-03,3.04100000,3.05070000,2.69500000,2.96500000,474647.28000000
2020-09-03,2.96080000,3.04410000,2.95050000,3.03460000,239955.88000000
2020-09-03,3.03940000,3.03940000,2.94850000,3.00530000,227370.38000000
2020-09-03,3.00200000,3.00280000,2.81120000,2.89800000,173944.18000000
2020-09-04,2.89800000,2.95550000,2.84060000,2.84820000,156653.38000000
2020-09-04,2.84650000,2.91890000,2.84220000,2.87300000,91116.68000000
2020-09-04,2.87300000,2.89400000,2.82220000,2.83060000,51744.23000000
2020-09-04,2.83060000,2.84910000,2.80600000,2.83900000,40241.70000000
2020-09-04,2.83990000,2.87770000,2.83520000,2.86020000,52813.13000000
2020-09-04,2.85990000,2.86490000,2.81500000,2.83500000,40950.14000000
2020-09-04,2.83450000,2.83940000,2.76390000,2.78360000,55445.33000000
2020-09-04,2.78480000,2.79800000,2.25480000,2.47580000,333435.16000000
2020-09-04,2.47600000,2.56100000,2.38440000,2.51700000,197888.93000000
2020-09-04,2.51650000,2.51930000,2.47290000,2.48090000,92246.25000000
2020-09-04,2.48520000,2.50010000,2.36000000,2.43290000,167916.97000000
2020-09-04,2.43890000,2.51000000,2.37500000,2.37860000,399484.32000000
2020-09-04,2.37730000,2.44850000,2.35880000,2.41220000,202306.97000000
2020-09-04,2.41220000,2.46690000,2.37520000,2.44710000,217264.63000000
2020-09-04,2.44710000,2.46260000,2.38010000,2.38480000,147032.12000000
2020-09-04,2.38480000,2.48310000,2.30460000,2.43910000,347189.50000000
2020-09-04,2.43590000,2.59990000,2.41030000,2.56570000,467850.68000000
2020-09-04,2.57290000,2.73000000,2.53530000,2.72240000,252723.05000000
2020-09-04,2.71110000,2.83940000,2.63230000,2.75980000,328104.37000000
2020-09-04,2.76100000,2.79350000,2.62430000,2.72920000,280213.54000000
2020-09-04,2.72970000,2.77180000,2.64330000,2.70000000,163997.37000000
2020-09-04,2.70270000,2.77450000,2.66860000,2.68730000,134371.13000000
2020-09-04,2.68730000,2.71540000,2.35000000,2.61440000,340686.30000000
2020-09-04,2.61450000,2.63770000,2.44840000,2.54640000,232532.07000000
2020-09-05,2.54910000,2.59360000,2.49700000,2.58530000,109871.75000000
2020-09-05,2.58530000,2.59860000,2.52980000,2.55690000,108876.14000000
2020-09-05,2.55410000,2.61580000,2.52360000,2.61470000,71111.77000000
2020-09-05,2.61650000,2.65930000,2.57350000,2.64360000,63657.00000000
2020-09-05,2.64450000,2.66200000,2.60300000,2.64220000,42778.19000000
2020-09-05,2.64330000,2.67770000,2.62310000,2.66770000,42420.38000000
2020-09-05,2.66800000,2.70280000,2.59060000,2.59540000,43996.54000000
2020-09-05,2.59520000,2.64570000,2.59310000,2.62040000,22377.11000000
2020-09-05,2.62860000,2.68590000,2.61080000,2.64490000,58702.13000000
2020-09-05,2.64300000,2.67000000,2.60720000,2.65140000,40445.10000000
2020-09-05,2.65380000,2.66110000,2.62970000,2.63740000,48549.13000000
2020-09-05,2.63970000,2.68820000,2.62960000,2.67200000,67561.89000000
2020-09-05,2.67270000,2.72000000,2.63870000,2.65020000,97664.15000000
2020-09-05,2.64880000,2.67280000,2.60000000,2.60000000,83587.22000000
2020-09-05,2.60000000,2.65760000,2.57040000,2.64170000,70234.50000000
2020-09-05,2.64150000,2.66110000,2.58700000,2.60980000,101478.69000000
2020-09-05,2.61530000,2.61530000,2.53000000,2.54230000,82368.63000000
2020-09-05,2.54160000,2.57240000,2.50000000,2.50000000,102711.14000000
2020-09-05,2.50020000,2.53840000,2.46170000,2.46870000,145005.40000000
2020-09-05,2.47290000,2.48710000,2.40000000,2.43900000,184506.65000000
2020-09-05,2.44400000,2.46500000,2.30600000,2.31990000,232279.43000000
2020-09-05,2.32670000,2.49720000,2.32120000,2.49720000,148443.69000000
2020-09-05,2.49360000,2.51400000,2.43960000,2.48990000,72294.99000000
2020-09-05,2.48990000,2.49220000,2.44420000,2.45910000,40066.88000000
2020-09-06,2.46030000,2.48700000,2.33050000,2.44000000,96368.94000000
2020-09-06,2.44000000,2.45570000,2.32290000,2.34140000,77882.70000000
2020-09-06,2.33530000,2.36520000,2.12110000,2.26000000,156569.59000000
