date,open,high,low,close,volume
2020-09-01,3.33000000,3.37660000,3.32680000,3.34780000,327131.46000000
2020-09-01,3.34810000,3.34810000,3.32600000,3.33800000,110126.16000000
2020-09-01,3.33800000,3.35870000,3.30790000,3.31160000,439902.25000000
2020-09-01,3.31160000,3.32670000,3.27940000,3.29500000,317117.23000000
2020-09-01,3.29220000,3.30140000,3.25540000,3.26650000,508676.27000000
2020-09-01,3.26630000,3.27650000,3.24220000,3.25450000,301338.01000000
2020-09-01,3.25310000,3.28700000,3.23790000,3.26970000,187763.66000000
2020-09-01,3.26790000,3.27340000,3.24040000,3.24320000,240133.72000000
2020-09-01,3.24320000,3.27860000,3.18070000,3.27300000,470710.42000000
2020-09-01,3.27320000,3.30650000,3.26790000,3.28350000,414062.05000000
2020-09-01,3.28330000,3.29350000,3.27050000,3.27670000,139982.16000000
2020-09-01,3.27890000,3.28500000,3.26020000,3.27390000,152643.52000000
2020-09-01,3.27320000,3.30380000,3.26300000,3.29850000,232827.10000000
2020-09-01,3.29850000,3.35770000,3.29770000,3.35680000,350970.55000000
2020-09-01,3.35860000,3.36950000,3.33190000,3.35560000,265200.34000000
2020-09-01,3.35710000,3.39630000,3.34560000,3.38820000,377451.31000000
2020-09-01,3.38870000,3.39470000,3.35640000,3.36770000,283677.57000000
2020-09-01,3.36890000,3.38490000,3.34640000,3.37840000,294251.60000000
2020-09-01,3.37930000,3.38900000,3.35790000,3.37480000,243084.60000000
2020-09-01,3.37200000,3.37430000,3.32510000,3.33900000,276626.20000000
2020-09-01,3.33830000,3.35050000,3.31720000,3.33980000,298801.24000000
2020-09-01,3.34130000,3.35420000,3.31940000,3.33200000,155543.09000000
2020-09-01,3.33370000,3.37700000,3.30600000,3.37500000,242870.58000000
2020-09-01,3.37700000,3.38390000,3.32660000,3.33160000,564717.87000000
2020-09-02,3.33310000,3.44360000,3.31220000,3.44100000,784920.10000000
2020-09-02,3.44240000,3.46000000,3.39670000,3.42400000,756413.22000000
2020-09-02,3.42250000,3.43990000,3.40110000,3.40700000,202945.61000000
2020-09-02,3.40650000,3.41060000,3.38550000,3.38900000,215966.69000000
2020-09-02,3.39130000,3.50000000,3.38970000,3.47260000,614461.39000000
2020-09-02,3.47550000,3.49900000,3.46110000,3.47610000,306422.78000000
2020-09-02,3.47590000,3.51950000,3.45880000,3.47140000,658191.76000000
2020-09-02,3.47030000,3.48930000,3.41730000,3.44480000,487211.35000000
2020-09-02,3.44300000,3.47300000,3.38070000,3.39550000,451526.04000000
2020-09-02,3.39560000,3.41110000,3.37240000,3.38630000,266687.91000000
2020-09-02,3.38710000,3.38710000,3.36090000,3.37010000,238233.14000000
2020-09-02,3.36760000,3.37960000,3.34440000,3.36230000,139808.30000000
2020-09-02,3.36010000,3.39700000,3.35700000,3.38790000,109898.10000000
2020-09-02,3.38970000,3.40080000,3.37000000,3.37450000,119958.34000000
2020-09-02,3.37250000,3.37450000,3.33000000,3.33960000,261279.93000000
2020-09-02,3.33970000,3.35850000,3.31140000,3.31570000,249613.76000000
2020-09-02,3.31560000,3.33790000,3.30520000,3.32440000,217062.44000000
2020-09-02,3.32450000,3.34480000,3.31950000,3.33590000,126578.61000000
2020-09-02,3.33540000,3.34040000,3.23790000,3.25030000,668955.85000000
2020-09-02,3.24890000,3.25290000,2.89000000,3.10540000,2683749.99000000
2020-09-02,3.10540000,3.16700000,3.07980000,3.16010000,1015265.32000000
2020-09-02,3.15870000,3.16370000,3.05690000,3.11470000,489864.14000000
2020-09-02,3.11210000,3.12000000,3.03110000,3.04160000,530619.22000000
2020-09-02,3.04190000,3.09520000,3.03990000,3.04660000,439311.90000000
2020-09-03,3.04610000,3.07720000,2.97280000,3.07500000,970536.94000000
2020-09-03,3.07690000,3.09720000,3.05150000,3.06560000,323779.54000000
2020-09-03,3.06630000,3.10720000,3.05220000,3.10500000,221457.52000000
2020-09-03,3.10450000,3.13080000,3.09040000,3.11560000,220668.02000000
2020-09-03,3.11480000,3.11530000,3.07370000,3.09940000,176309.64000000
2020-09-03,3.09600000,3.15310000,3.09030000,3.14990000,134854.08000000
2020-09-03,3.15170000,3.17310000,3.14290000,3.15660000,187244.65000000
2020-09-03,3.15810000,3.16510000,3.13240000,3.13990000,190219.06000000
2020-09-03,3.13910000,3.14090000,3.10020000,3.10610000,257477.53000000
2020-09-03,3.10730000,3.11950000,3.07410000,3.11140000,272706.10000000
2020-09-03,3.11340000,3.11840000,3.07310000,3.08440000,163409.83000000
2020-09-03,3.08690000,3.09510000,2.98000000,2.99100000,905673.38000000
2020-09-03,2.99100000,2.99700000,2.93710000,2.96770000,1215606.98000000
2020-09-03,2.96500000,2.97570000,2.93850000,2.95500000,339634.36000000
2020-09-03,2.95730000,2.96950000,2.93670000,2.95030000,304859.12000000
2020-09-03,2.95150000,3.03830000,2.91500000,3.03170000,461045.81000000
2020-09-03,3.03310000,3.04590000,3.00820000,3.02670000,190383.79000000
2020-09-03,3.02800000,3.02990000,2.99260000,2.99670000,147467.24000000
2020-09-03,2.99890000,3.00570000,2.93320000,2.94380000,323811.17000000
2020-09-03,2.94510000,2.97290000,2.87680000,2.92940000,683219.46000000
2020-09-03,2.92830000,2.93560000,2.68010000,2.83370000,2064488.49000000
2020-09-03,2.83340000,2.87750000,2.82450000,2.87210000,505317.60000000
2020-09-03,2.87100000,2.87110000,2.83450000,2.85220000,331578.32000000
2020-09-03,2.85400000,2.85400000,2.69730000,2.78430000,986368.36000000
2020-09-04,2.78420000,2.79430000,2.76000000,2.76360000,668837.93000000
2020-09-04,2.76770000,2.84870000,2.76690000,2.83680000,551522.24000000
2020-09-04,2.83680000,2.84670000,2.76460000,2.79160000,454138.39000000
2020-09-04,2.79330000,2.81730000,2.76790000,2.78540000,438848.06000000
2020-09-04,2.78690000,2.84430000,2.78340000,2.84250000,270884.01000000
2020-09-04,2.84490000,2.85520000,2.78480000,2.79660000,270981.08000000
2020-09-04,2.80060000,2.82060000,2.75630000,2.76110000,164814.08000000
2020-09-04,2.76130000,2.76770000,2.44000000,2.55280000,1410969.97000000
2020-09-04,2.55390000,2.64000000,2.54080000,2.61100000,737365.10000000
2020-09-04,2.61160000,2.63200000,2.59300000,2.61580000,290419.57000000
2020-09-04,2.61540000,2.61720000,2.55380000,2.60110000,252278.80000000
2020-09-04,2.60140000,2.61240000,2.58080000,2.59000000,154027.38000000
2020-09-04,2.59000000,2.61980000,2.55310000,2.58210000,233135.23000000
2020-09-04,2.58260000,2.60480000,2.57160000,2.60010000,173172.37000000
2020-09-04,2.59990000,2.62730000,2.56830000,2.57040000,234322.33000000
2020-09-04,2.57240000,2.58420000,2.46830000,2.55020000,697074.60000000
2020-09-04,2.55000000,2.65800000,2.54780000,2.62100000,425367.48000000
2020-09-04,2.62230000,2.69870000,2.59170000,2.69160000,568589.88000000
2020-09-04,2.69150000,2.75000000,2.68490000,2.72830000,428292.79000000
2020-09-04,2.72870000,2.73140000,2.63080000,2.67450000,402988.23000000
2020-09-04,2.67450000,2.69330000,2.64370000,2.68480000,302058.87000000
2020-09-04,2.68670000,2.74240000,2.65170000,2.65260000,444601.67000000
2020-09-04,2.65460000,2.67320000,2.38000000,2.58080000,1288663.18000000
2020-09-04,2.58070000,2.60790000,2.49160000,2.59830000,730709.24000000
2020-09-05,2.59570000,2.66630000,2.54370000,2.65770000,683597.58000000
2020-09-05,2.65640000,2.70160000,2.62560000,2.66230000,276201.60000000
2020-09-05,2.66490000,2.71500000,2.62260000,2.71500000,371518.70000000
2020-09-05,2.71520000,2.72570000,2.65700000,2.71460000,368743.42000000
2020-09-05,2.71450000,2.72300000,2.68780000,2.70870000,196646.78000000
2020-09-05,2.70950000,2.82000000,2.70020000,2.77500000,355545.65000000
2020-09-05,2.77350000,2.85230000,2.73000000,2.73720000,539335.04000000
2020-09-05,2.73530000,2.76720000,2.72240000,2.74180000,271878.08000000
2020-09-05,2.74290000,2.82900000,2.73370000,2.79250000,576544.55000000
2020-09-05,2.79010000,2.79900000,2.74000000,2.77060000,178295.69000000
2020-09-05,2.77000000,2.78500000,2.75300000,2.76420000,151207.16000000
2020-09-05,2.76440000,2.81990000,2.76400000,2.78260000,252810.14000000
2020-09-05,2.78320000,2.78320000,2.74690000,2.75480000,198830.40000000
2020-09-05,2.75440000,2.76340000,2.69430000,2.69430000,267968.86000000
2020-09-05,2.69650000,2.72870000,2.67530000,2.71740000,274163.11000000
2020-09-05,2.71690000,2.74910000,2.68520000,2.71120000,230538.30000000
2020-09-05,2.71100000,2.71100000,2.66300000,2.67000000,226624.34000000
2020-09-05,2.66790000,2.67370000,2.58920000,2.58920000,446453.81000000
2020-09-05,2.58830000,2.60830000,2.53150000,2.54330000,1243151.05000000
2020-09-05,2.54130000,2.56510000,2.49220000,2.55870000,744452.97000000
2020-09-05,2.55660000,2.58320000,2.39050000,2.41300000,1204886.79000000
2020-09-05,2.41130000,2.56150000,2.40690000,2.55760000,873557.77000000
2020-09-05,2.55790000,2.62360000,2.53390000,2.62230000,676754.54000000
2020-09-05,2.62350000,2.62450000,2.54430000,2.54920000,397130.88000000
2020-09-06,2.54870000,2.57330000,2.47370000,2.57330000,763490.06000000
2020-09-06,2.57320000,2.59480000,2.45850000,2.48360000,645711.77000000
2020-09-06,2.48430000,2.50730000,2.31000000,2.48270000,1326078.20000000
2020-09-06,2.48100000,2.49790000,2.32000000,2.42180000,1398425.52000000
2020-09-06,2.42170000,2.50220000,2.37530000,2.45790000,584262.56000000
2020-09-06,2.45420000,2.45670000,2.40310000,2.43260000,241132.07000000
2020-09-06,2.43290000,2.47290000,2.37130000,2.38950000,371247.04000000
2020-09-06,2.38950000,2.48740000,2.37310000,2.48210000,213896.43000000
2020-09-06,2.48170000,2.48170000,2.43160000,2.46130000,179581.08000000
2020-09-06,2.46140000,2.46510000,2.41240000,2.41560000,149324.29000000
2020-09-06,2.41670000,2.45780000,2.39110000,2.44980000,143065.90000000
2020-09-06,2.45180000,2.45930000,2.40450000,2.41450000,106473.51000000
2020-09-06,2.41590000,2.45530000,2.37330000,2.38890000,233968.77000000
2020-09-06,2.39240000,2.42410000,2.33430000,2.41250000,272706.50000000
2020-09-06,2.41130000,2.42680000,2.35670000,2.41740000,224697.87000000
2020-09-06,2.41990000,2.48940000,2.39530000,2.47680000,269901.85000000
2020-09-06,2.47490000,2.58330000,2.47440000,2.54360000,723290.35000000
2020-09-06,2.54450000,2.58070000,2.51340000,2.52910000,291655.52000000
2020-09-06,2.53090000,2.57110000,2.48800000,2.56660000,292441.61000000
2020-09-06,2.56860000,2.59190000,2.53320000,2.58560000,214527.34000000
2020-09-06,2.58770000,2.60060000,2.53310000,2.55580000,532479.01000000
2020-09-06,2.55450000,2.55590000,2.50810000,2.53320000,195090.90000000
2020-09-06,2.53310000,2.55920000,2.46720000,2.51850000,302882.38000000
2020-09-06,2.51910000,2.53250000,2.45340000,2.47250000,253968.75000000
2020-09-07,2.47630000,2.57310000,2.45360000,2.56840000,372318.87000000
2020-09-07,2.56520000,2.56810000,2.51990000,2.52940000,140645.75000000
2020-09-07,2.52900000,2.57990000,2.50000000,2.57420000,268129.90000000
2020-09-07,2.57460000,2.62150000,2.54000000,2.59890000,284278.49000000
2020-09-07,2.60200000,2.62210000,2.56160000,2.57620000,352785.29000000
2020-09-07,2.57590000,2.62820000,2.57340000,2.59640000,325004.56000000
2020-09-07,2.59650000,2.60700000,2.52470000,2.54500000,335069.80000000
2020-09-07,2.54420000,2.57790000,2.53730000,2.54950000,106436.88000000
2020-09-07,2.54840000,2.57310000,2.54600000,2.56030000,140242.45000000
2020-09-07,2.56000000,2.59290000,2.52250000,2.58930000,237463.14000000
2020-09-07,2.58890000,2.59050000,2.49700000,2.51190000,320913.42000000
2020-09-07,2.51270000,2.51790000,2.49280000,2.50700000,150804.69000000
2020-09-07,2.50140000,2.53630000,2.46560000,2.46560000,186426.65000000
2020-09-07,2.46680000,2.48670000,2.43510000,2.44390000,240799.97000000
