,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",6.179,6.195,6.137,6.139,51047.5
1,"2021-06-08, 00:15:00",6.14,6.16,6.055,6.07,115347.1
2,"2021-06-08, 00:30:00",6.073,6.126,6.057,6.103,56089.0
3,"2021-06-08, 00:45:00",6.102,6.125,6.087,6.104,33144.9
4,"2021-06-08, 01:00:00",6.104,6.104,6.02,6.03,93465.1
5,"2021-06-08, 01:15:00",6.032,6.065,6.001,6.053,144258.6
6,"2021-06-08, 01:30:00",6.051,6.052,5.958,5.965,103920.1
7,"2021-06-08, 01:45:00",5.96,6.01,5.947,5.985,59599.3
8,"2021-06-08, 02:00:00",5.984,6.008,5.938,5.953,67610.6
9,"2021-06-08, 02:15:00",5.952,5.996,5.906,5.991,96397.9
10,"2021-06-08, 02:30:00",5.986,6.032,5.97,5.984,75231.7
11,"2021-06-08, 02:45:00",5.981,6.0,5.937,5.959,67629.7
12,"2021-06-08, 03:00:00",5.958,5.996,5.927,5.963,57717.4
13,"2021-06-08, 03:15:00",5.96,5.979,5.929,5.967,36799.5
14,"2021-06-08, 03:30:00",5.968,6.046,5.96,6.01,70137.7
15,"2021-06-08, 03:45:00",6.01,6.048,5.98,6.034,51594.4
16,"2021-06-08, 04:00:00",6.032,6.053,5.987,6.012,48054.1
17,"2021-06-08, 04:15:00",6.01,6.012,5.956,5.989,45004.4
18,"2021-06-08, 04:30:00",5.989,5.989,5.93,5.955,40263.2
19,"2021-06-08, 04:45:00",5.954,5.955,5.5,5.681,570871.2
20,"2021-06-08, 05:00:00",5.684,5.721,5.531,5.58,207016.4
21,"2021-06-08, 05:15:00",5.578,5.58,5.353,5.519,321724.9
22,"2021-06-08, 05:30:00",5.519,5.634,5.494,5.525,163024.5
23,"2021-06-08, 05:45:00",5.525,5.611,5.516,5.58,81374.6
24,"2021-06-08, 06:00:00",5.578,5.656,5.546,5.645,104088.9
25,"2021-06-08, 06:15:00",5.645,5.648,5.602,5.636,65171.6
26,"2021-06-08, 06:30:00",5.633,5.642,5.58,5.601,91508.5
27,"2021-06-08, 06:45:00",5.603,5.641,5.59,5.608,68902.9
28,"2021-06-08, 07:00:00",5.608,5.629,5.569,5.603,62846.1
29,"2021-06-08, 07:15:00",5.603,5.607,5.458,5.553,105644.6
30,"2021-06-08, 07:30:00",5.553,5.684,5.543,5.633,164621.7
31,"2021-06-08, 07:45:00",5.625,5.655,5.533,5.613,162009.3
32,"2021-06-08, 08:00:00",5.612,5.669,5.563,5.635,148048.1
33,"2021-06-08, 08:15:00",5.635,5.659,5.548,5.589,129045.6
34,"2021-06-08, 08:30:00",5.59,5.599,5.54,5.554,112603.5
35,"2021-06-08, 08:45:00",5.553,5.597,5.549,5.588,60594.7
36,"2021-06-08, 09:00:00",5.59,5.61,5.56,5.582,81074.0
37,"2021-06-08, 09:15:00",5.578,5.635,5.54,5.582,61936.3
38,"2021-06-08, 09:30:00",5.584,5.622,5.557,5.591,50728.9
39,"2021-06-08, 09:45:00",5.59,5.615,5.57,5.612,49140.4
40,"2021-06-08, 10:00:00",5.612,5.612,5.567,5.587,63015.4
41,"2021-06-08, 10:15:00",5.589,5.599,5.567,5.583,55835.8
42,"2021-06-08, 10:30:00",5.583,5.608,5.548,5.583,96985.2
43,"2021-06-08, 10:45:00",5.583,5.583,5.405,5.464,334996.1
44,"2021-06-08, 11:00:00",5.467,5.507,5.32,5.328,164067.9
45,"2021-06-08, 11:15:00",5.328,5.4,5.213,5.284,214006.5
46,"2021-06-08, 11:30:00",5.289,5.374,5.272,5.363,84769.1
47,"2021-06-08, 11:45:00",5.362,5.41,5.349,5.404,67212.1
48,"2021-06-08, 12:00:00",5.405,5.516,5.388,5.489,104842.6
49,"2021-06-08, 12:15:00",5.488,5.49,5.401,5.403,60704.2
50,"2021-06-08, 12:30:00",5.409,5.463,5.39,5.454,57804.7
51,"2021-06-08, 12:45:00",5.455,5.509,5.449,5.475,46306.7
52,"2021-06-08, 13:00:00",5.478,5.535,5.45,5.451,58043.0
53,"2021-06-08, 13:15:00",5.452,5.475,5.335,5.349,117824.7
54,"2021-06-08, 13:30:00",5.35,5.393,5.3,5.378,69774.1
55,"2021-06-08, 13:45:00",5.379,5.456,5.379,5.448,57832.7
56,"2021-06-08, 14:00:00",5.449,5.472,5.403,5.405,52823.7
57,"2021-06-08, 14:15:00",5.408,5.432,5.351,5.373,59108.7
58,"2021-06-08, 14:30:00",5.372,5.447,5.349,5.401,55518.7
59,"2021-06-08, 14:45:00",5.401,5.401,5.311,5.329,57809.0
60,"2021-06-08, 15:00:00",5.328,5.391,5.207,5.384,121703.5
61,"2021-06-08, 15:15:00",5.387,5.503,5.371,5.455,93722.9
62,"2021-06-08, 15:30:00",5.455,5.476,5.422,5.463,53250.8
63,"2021-06-08, 15:45:00",5.463,5.483,5.407,5.439,41941.0
64,"2021-06-08, 16:00:00",5.438,5.518,5.43,5.499,69823.8
65,"2021-06-08, 16:15:00",5.496,5.549,5.477,5.546,48236.0
66,"2021-06-08, 16:30:00",5.546,5.561,5.515,5.54,64272.0
67,"2021-06-08, 16:45:00",5.542,5.547,5.436,5.452,68223.1
68,"2021-06-08, 17:00:00",5.454,5.475,5.409,5.46,69097.2
69,"2021-06-08, 17:15:00",5.461,5.467,5.383,5.401,33741.1
70,"2021-06-08, 17:30:00",5.397,5.432,5.368,5.401,50492.1
71,"2021-06-08, 17:45:00",5.401,5.436,5.376,5.405,46488.2
72,"2021-06-08, 18:00:00",5.404,5.52,5.396,5.494,79910.6
73,"2021-06-08, 18:15:00",5.487,5.525,5.436,5.45,50177.7
74,"2021-06-08, 18:30:00",5.451,5.487,5.408,5.466,61718.2
75,"2021-06-08, 18:45:00",5.464,5.471,5.426,5.456,47840.3
76,"2021-06-08, 19:00:00",5.457,5.509,5.428,5.503,54222.6
77,"2021-06-08, 19:15:00",5.507,5.526,5.483,5.496,56955.5
78,"2021-06-08, 19:30:00",5.501,5.51,5.445,5.499,39616.6
79,"2021-06-08, 19:45:00",5.499,5.551,5.478,5.532,66620.9
80,"2021-06-08, 20:00:00",5.529,5.539,5.482,5.505,33769.4
81,"2021-06-08, 20:15:00",5.505,5.523,5.482,5.497,27145.9
82,"2021-06-08, 20:30:00",5.497,5.511,5.422,5.44,40675.9
83,"2021-06-08, 20:45:00",5.439,5.455,5.422,5.431,46350.9
84,"2021-06-08, 21:00:00",5.431,5.447,5.379,5.395,49708.3
85,"2021-06-08, 21:15:00",5.394,5.426,5.335,5.356,42697.6
86,"2021-06-08, 21:30:00",5.357,5.392,5.329,5.342,39272.5
87,"2021-06-08, 21:45:00",5.341,5.364,5.221,5.231,80762.6
88,"2021-06-08, 22:00:00",5.239,5.306,5.113,5.154,247058.7
89,"2021-06-08, 22:15:00",5.156,5.193,5.056,5.133,152655.0
90,"2021-06-08, 22:30:00",5.133,5.166,5.081,5.101,102017.2
91,"2021-06-08, 22:45:00",5.104,5.132,5.022,5.098,123466.7
92,"2021-06-08, 23:00:00",5.099,5.116,4.994,4.996,104991.3
93,"2021-06-08, 23:15:00",5.002,5.017,4.835,4.963,304961.0
94,"2021-06-08, 23:30:00",4.961,5.038,4.936,5.014,140589.6
95,"2021-06-08, 23:45:00",5.011,5.088,5.011,5.078,94622.4
96,"2021-06-09, 00:00:00",5.073,5.21,5.019,5.179,173379.8
97,"2021-06-09, 00:15:00",5.173,5.225,5.132,5.182,84620.3
98,"2021-06-09, 00:30:00",5.179,5.204,5.14,5.143,73129.5
99,"2021-06-09, 00:45:00",5.146,5.18,5.132,5.169,49497.6
100,"2021-06-09, 01:00:00",5.17,5.179,5.122,5.152,44991.8
101,"2021-06-09, 01:15:00",5.154,5.167,5.08,5.117,55504.1
102,"2021-06-09, 01:30:00",5.116,5.154,5.109,5.137,60209.0
103,"2021-06-09, 01:45:00",5.135,5.223,5.134,5.214,51898.8
104,"2021-06-09, 02:00:00",5.215,5.275,5.182,5.251,102069.6
105,"2021-06-09, 02:15:00",5.254,5.28,5.218,5.226,73303.0
106,"2021-06-09, 02:30:00",5.224,5.265,5.215,5.239,49747.3
107,"2021-06-09, 02:45:00",5.237,5.304,5.23,5.299,66003.5
108,"2021-06-09, 03:00:00",5.299,5.314,5.253,5.269,60871.8
109,"2021-06-09, 03:15:00",5.27,5.28,5.25,5.253,24409.0
