,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",1.7773,1.794,1.7722,1.7803,182220
1,"2021-06-08, 00:15:00",1.7799,1.7939,1.7614,1.7692,173961
2,"2021-06-08, 00:30:00",1.7695,1.78,1.7636,1.7715,72229
3,"2021-06-08, 00:45:00",1.7717,1.7796,1.7673,1.7747,108370
4,"2021-06-08, 01:00:00",1.7736,1.7738,1.7544,1.7626,278289
5,"2021-06-08, 01:15:00",1.7625,1.7802,1.753,1.7732,172009
6,"2021-06-08, 01:30:00",1.773,1.7747,1.7549,1.7656,130494
7,"2021-06-08, 01:45:00",1.7655,1.7687,1.7518,1.7602,99213
8,"2021-06-08, 02:00:00",1.7591,1.7677,1.7416,1.746,124174
9,"2021-06-08, 02:15:00",1.7458,1.7588,1.7278,1.7557,173190
10,"2021-06-08, 02:30:00",1.7561,1.7588,1.7426,1.7444,72813
11,"2021-06-08, 02:45:00",1.7443,1.752,1.7303,1.7395,68028
12,"2021-06-08, 03:00:00",1.7389,1.7488,1.7291,1.7337,87199
13,"2021-06-08, 03:15:00",1.733,1.748,1.7277,1.7468,109751
14,"2021-06-08, 03:30:00",1.7448,1.7586,1.7408,1.7515,95528
15,"2021-06-08, 03:45:00",1.7513,1.7571,1.7382,1.7515,78972
16,"2021-06-08, 04:00:00",1.751,1.7577,1.7366,1.7458,87631
17,"2021-06-08, 04:15:00",1.7449,1.7455,1.7305,1.7352,83612
18,"2021-06-08, 04:30:00",1.7348,1.7438,1.7234,1.7314,175894
19,"2021-06-08, 04:45:00",1.7314,1.733,1.646,1.6753,509603
20,"2021-06-08, 05:00:00",1.6757,1.6866,1.6461,1.6612,231090
21,"2021-06-08, 05:15:00",1.6614,1.6615,1.6073,1.6307,430617
22,"2021-06-08, 05:30:00",1.6306,1.6504,1.6233,1.6249,241127
23,"2021-06-08, 05:45:00",1.6249,1.6445,1.6232,1.64,125257
24,"2021-06-08, 06:00:00",1.64,1.6546,1.6259,1.6546,148597
25,"2021-06-08, 06:15:00",1.6546,1.6546,1.6382,1.6433,115537
26,"2021-06-08, 06:30:00",1.6428,1.646,1.6287,1.6354,151120
27,"2021-06-08, 06:45:00",1.6371,1.6567,1.6371,1.6556,119953
28,"2021-06-08, 07:00:00",1.6538,1.6562,1.643,1.6485,108321
29,"2021-06-08, 07:15:00",1.6484,1.649,1.6139,1.6424,170955
30,"2021-06-08, 07:30:00",1.6423,1.6536,1.6322,1.6382,216163
31,"2021-06-08, 07:45:00",1.6374,1.6502,1.6188,1.6358,208084
32,"2021-06-08, 08:00:00",1.6365,1.6612,1.6316,1.6531,217148
33,"2021-06-08, 08:15:00",1.653,1.663,1.6207,1.6236,153047
34,"2021-06-08, 08:30:00",1.6245,1.6255,1.605,1.6072,208576
35,"2021-06-08, 08:45:00",1.6072,1.6429,1.6055,1.6429,149442
36,"2021-06-08, 09:00:00",1.643,1.6632,1.6328,1.6561,225697
37,"2021-06-08, 09:15:00",1.6562,1.6709,1.6549,1.6587,183229
38,"2021-06-08, 09:30:00",1.6587,1.6587,1.6417,1.6436,114664
39,"2021-06-08, 09:45:00",1.6434,1.6574,1.6384,1.6493,116337
40,"2021-06-08, 10:00:00",1.6493,1.6501,1.6282,1.631,163869
41,"2021-06-08, 10:15:00",1.6312,1.632,1.6019,1.6154,421705
42,"2021-06-08, 10:30:00",1.616,1.616,1.5809,1.5957,360691
43,"2021-06-08, 10:45:00",1.5949,1.5987,1.56,1.5652,454256
44,"2021-06-08, 11:00:00",1.5649,1.5716,1.5217,1.53,363562
45,"2021-06-08, 11:15:00",1.53,1.5498,1.504,1.5286,296229
46,"2021-06-08, 11:30:00",1.5267,1.5453,1.52,1.5391,222820
47,"2021-06-08, 11:45:00",1.5394,1.552,1.5357,1.552,146467
48,"2021-06-08, 12:00:00",1.5513,1.5762,1.5454,1.5706,250241
49,"2021-06-08, 12:15:00",1.5696,1.5736,1.5552,1.5575,168910
50,"2021-06-08, 12:30:00",1.5578,1.5787,1.5578,1.5757,131713
51,"2021-06-08, 12:45:00",1.5765,1.5887,1.5719,1.5727,129823
52,"2021-06-08, 13:00:00",1.5727,1.5938,1.57,1.5823,157688
53,"2021-06-08, 13:15:00",1.5832,1.59,1.5604,1.5612,167947
54,"2021-06-08, 13:30:00",1.5612,1.5663,1.5478,1.56,185019
55,"2021-06-08, 13:45:00",1.5606,1.5841,1.5552,1.5809,177037
56,"2021-06-08, 14:00:00",1.5808,1.5871,1.5613,1.5628,144728
57,"2021-06-08, 14:15:00",1.5628,1.568,1.5442,1.5511,131988
58,"2021-06-08, 14:30:00",1.5514,1.5647,1.5473,1.5543,179684
59,"2021-06-08, 14:45:00",1.5541,1.5541,1.5255,1.5287,194107
60,"2021-06-08, 15:00:00",1.5282,1.5722,1.5112,1.5709,368616
61,"2021-06-08, 15:15:00",1.5725,1.6091,1.564,1.6004,397208
62,"2021-06-08, 15:30:00",1.6005,1.6083,1.5792,1.5987,382248
63,"2021-06-08, 15:45:00",1.5983,1.6046,1.5729,1.5795,166558
64,"2021-06-08, 16:00:00",1.579,1.598,1.577,1.5951,225370
65,"2021-06-08, 16:15:00",1.5946,1.611,1.5907,1.6075,172185
66,"2021-06-08, 16:30:00",1.6079,1.6106,1.5915,1.5956,181597
67,"2021-06-08, 16:45:00",1.5962,1.5969,1.5695,1.5734,163907
68,"2021-06-08, 17:00:00",1.574,1.5767,1.5633,1.5733,265961
69,"2021-06-08, 17:15:00",1.5737,1.5785,1.5585,1.5627,142892
70,"2021-06-08, 17:30:00",1.5628,1.5731,1.5569,1.5615,157269
71,"2021-06-08, 17:45:00",1.562,1.571,1.5545,1.5579,136727
72,"2021-06-08, 18:00:00",1.5578,1.596,1.5558,1.5731,178216
73,"2021-06-08, 18:15:00",1.5734,1.5816,1.5475,1.5514,169990
74,"2021-06-08, 18:30:00",1.5517,1.556,1.5376,1.5505,161313
75,"2021-06-08, 18:45:00",1.5503,1.5537,1.5368,1.5441,149622
76,"2021-06-08, 19:00:00",1.5432,1.5598,1.5328,1.5561,150725
77,"2021-06-08, 19:15:00",1.5562,1.5688,1.5539,1.5599,162513
78,"2021-06-08, 19:30:00",1.5607,1.5724,1.5453,1.5703,139831
79,"2021-06-08, 19:45:00",1.5704,1.5815,1.5637,1.5778,143336
80,"2021-06-08, 20:00:00",1.5783,1.5815,1.5642,1.566,126851
81,"2021-06-08, 20:15:00",1.5664,1.5748,1.564,1.5667,68831
