,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",5.9999,6.0016,5.9595,5.9677,54974.3
1,"2021-06-08, 00:15:00",5.9663,5.9787,5.9262,5.9442,63433.1
2,"2021-06-08, 00:30:00",5.9432,5.9784,5.9278,5.9426,44441.6
3,"2021-06-08, 00:45:00",5.9426,5.9674,5.925,5.9285,32301.0
4,"2021-06-08, 01:00:00",5.9284,5.9287,5.8834,5.9022,43848.7
5,"2021-06-08, 01:15:00",5.9022,5.9377,5.8691,5.9269,72407.0
6,"2021-06-08, 01:30:00",5.925,5.9274,5.8556,5.8705,77259.8
7,"2021-06-08, 01:45:00",5.8697,5.8991,5.8555,5.8763,52378.3
8,"2021-06-08, 02:00:00",5.8737,5.8919,5.811,5.8212,59513.4
9,"2021-06-08, 02:15:00",5.8197,5.8739,5.7877,5.8681,87774.6
10,"2021-06-08, 02:30:00",5.8679,5.8842,5.8381,5.8395,36584.4
11,"2021-06-08, 02:45:00",5.8387,5.8672,5.8139,5.8431,50990.3
12,"2021-06-08, 03:00:00",5.8431,5.8926,5.8106,5.8363,64442.0
13,"2021-06-08, 03:15:00",5.8364,5.8642,5.806,5.8537,37421.6
14,"2021-06-08, 03:30:00",5.8533,5.8774,5.8278,5.8545,46230.3
15,"2021-06-08, 03:45:00",5.8555,5.8794,5.8271,5.8694,29566.9
16,"2021-06-08, 04:00:00",5.8691,5.9004,5.8444,5.8686,38883.6
17,"2021-06-08, 04:15:00",5.8691,5.8692,5.8173,5.8477,27656.4
18,"2021-06-08, 04:30:00",5.8483,5.8566,5.8058,5.8177,27070.7
19,"2021-06-08, 04:45:00",5.8196,5.822,5.6135,5.6783,293312.8
20,"2021-06-08, 05:00:00",5.6828,5.7192,5.5792,5.6138,126699.9
21,"2021-06-08, 05:15:00",5.6138,5.6339,5.4889,5.5551,220493.1
22,"2021-06-08, 05:30:00",5.5588,5.6364,5.502,5.5275,136006.1
23,"2021-06-08, 05:45:00",5.5291,5.5944,5.517,5.5635,72910.1
24,"2021-06-08, 06:00:00",5.5654,5.6067,5.5139,5.5996,56016.4
25,"2021-06-08, 06:15:00",5.5979,5.5982,5.5289,5.5437,50146.7
26,"2021-06-08, 06:30:00",5.541,5.5488,5.4679,5.4946,110023.9
27,"2021-06-08, 06:45:00",5.4974,5.5368,5.4838,5.5206,67961.8
28,"2021-06-08, 07:00:00",5.5173,5.5178,5.4627,5.4673,86316.6
29,"2021-06-08, 07:15:00",5.4673,5.4748,5.3207,5.4033,242782.6
30,"2021-06-08, 07:30:00",5.4035,5.4767,5.3495,5.3685,123551.4
31,"2021-06-08, 07:45:00",5.3663,5.4121,5.3023,5.3624,137706.2
32,"2021-06-08, 08:00:00",5.3644,5.4929,5.3399,5.4654,188423.4
33,"2021-06-08, 08:15:00",5.4648,5.4886,5.3471,5.3612,128607.0
34,"2021-06-08, 08:30:00",5.3607,5.3607,5.26,5.2703,134409.3
35,"2021-06-08, 08:45:00",5.2679,5.358,5.2619,5.3556,108358.4
36,"2021-06-08, 09:00:00",5.3554,5.3995,5.318,5.3797,68817.1
37,"2021-06-08, 09:15:00",5.3813,5.4246,5.3617,5.3828,65970.1
38,"2021-06-08, 09:30:00",5.3825,5.3825,5.3301,5.3474,48221.0
39,"2021-06-08, 09:45:00",5.3467,5.3877,5.3272,5.3725,52938.0
40,"2021-06-08, 10:00:00",5.3779,5.3789,5.3318,5.3721,58820.6
41,"2021-06-08, 10:15:00",5.3732,5.3748,5.3054,5.3158,56264.9
42,"2021-06-08, 10:30:00",5.3153,5.3163,5.1615,5.1934,158772.1
43,"2021-06-08, 10:45:00",5.1972,5.2043,5.0019,5.0732,328150.2
44,"2021-06-08, 11:00:00",5.0724,5.1045,4.9673,4.9871,128542.6
45,"2021-06-08, 11:15:00",4.9881,5.0657,4.9136,4.9919,149106.7
46,"2021-06-08, 11:30:00",4.9936,5.0873,4.9697,5.0716,102100.4
47,"2021-06-08, 11:45:00",5.0721,5.1343,5.0579,5.1251,77051.9
48,"2021-06-08, 12:00:00",5.1249,5.2041,5.1066,5.1858,135498.9
49,"2021-06-08, 12:15:00",5.187,5.19,5.1224,5.1227,80984.2
50,"2021-06-08, 12:30:00",5.1265,5.1595,5.1067,5.1506,62937.8
51,"2021-06-08, 12:45:00",5.1531,5.1869,5.1311,5.1406,64688.9
52,"2021-06-08, 13:00:00",5.1398,5.1712,5.1167,5.1167,49814.2
53,"2021-06-08, 13:15:00",5.1169,5.1413,5.0539,5.061,99148.4
54,"2021-06-08, 13:30:00",5.0609,5.111,5.0166,5.1088,104336.8
55,"2021-06-08, 13:45:00",5.1088,5.1756,5.1084,5.1711,101026.9
56,"2021-06-08, 14:00:00",5.1704,5.1916,5.1028,5.1147,68712.4
57,"2021-06-08, 14:15:00",5.1127,5.128,5.0574,5.0768,79626.7
58,"2021-06-08, 14:30:00",5.0764,5.1625,5.0616,5.1067,68139.2
59,"2021-06-08, 14:45:00",5.1066,5.1066,5.0356,5.0478,70278.5
60,"2021-06-08, 15:00:00",5.0476,5.1469,4.9551,5.1433,139979.4
61,"2021-06-08, 15:15:00",5.1439,5.2377,5.1221,5.2226,138729.9
62,"2021-06-08, 15:30:00",5.2238,5.2523,5.2081,5.2249,85452.4
63,"2021-06-08, 15:45:00",5.227,5.2406,5.1829,5.1936,88377.7
64,"2021-06-08, 16:00:00",5.1973,5.2816,5.1958,5.2666,95797.6
65,"2021-06-08, 16:15:00",5.2666,5.31,5.2464,5.3038,71681.5
66,"2021-06-08, 16:30:00",5.3038,5.3117,5.2696,5.2823,76127.7
67,"2021-06-08, 16:45:00",5.2814,5.2858,5.2058,5.2175,64780.6
68,"2021-06-08, 17:00:00",5.2149,5.2272,5.1671,5.1904,86410.5
69,"2021-06-08, 17:15:00",5.1911,5.2066,5.1387,5.1463,59019.2
70,"2021-06-08, 17:30:00",5.1462,5.1663,5.1257,5.1349,48541.9
71,"2021-06-08, 17:45:00",5.134,5.1612,5.1145,5.1189,86107.6
72,"2021-06-08, 18:00:00",5.1199,5.2224,5.1163,5.1882,85423.3
73,"2021-06-08, 18:15:00",5.1874,5.2152,5.1409,5.159,68867.6
