,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",15.396,15.418,15.301,15.32,62187.1
1,"2021-06-08, 00:15:00",15.321,15.396,15.239,15.249,74460.2
2,"2021-06-08, 00:30:00",15.256,15.373,15.236,15.307,45922.1
3,"2021-06-08, 00:45:00",15.306,15.342,15.244,15.274,26159.5
4,"2021-06-08, 01:00:00",15.272,15.272,15.058,15.142,115253.2
5,"2021-06-08, 01:15:00",15.144,15.238,15.041,15.188,62554.6
6,"2021-06-08, 01:30:00",15.183,15.21,14.943,15.032,118581.1
7,"2021-06-08, 01:45:00",15.032,15.115,14.983,15.066,36164.7
8,"2021-06-08, 02:00:00",15.063,15.129,14.928,14.951,48426.2
9,"2021-06-08, 02:15:00",14.95,15.097,14.855,15.083,75656.6
10,"2021-06-08, 02:30:00",15.085,15.132,15.021,15.048,37948.6
11,"2021-06-08, 02:45:00",15.045,15.105,14.943,15.027,55946.7
12,"2021-06-08, 03:00:00",15.027,15.163,14.951,14.99,56570.9
13,"2021-06-08, 03:15:00",14.991,15.068,14.913,15.052,48820.3
14,"2021-06-08, 03:30:00",15.054,15.128,14.984,15.089,38989.1
15,"2021-06-08, 03:45:00",15.088,15.129,14.987,15.1,30368.7
16,"2021-06-08, 04:00:00",15.098,15.164,15.039,15.104,25610.6
17,"2021-06-08, 04:15:00",15.102,15.108,14.965,15.041,25069.6
18,"2021-06-08, 04:30:00",15.047,15.067,14.909,14.96,33431.8
19,"2021-06-08, 04:45:00",14.96,14.963,14.444,14.634,256474.3
20,"2021-06-08, 05:00:00",14.634,14.795,14.334,14.429,137194.5
21,"2021-06-08, 05:15:00",14.43,14.494,14.15,14.345,123484.9
22,"2021-06-08, 05:30:00",14.345,14.512,14.252,14.301,100658.0
23,"2021-06-08, 05:45:00",14.299,14.542,14.267,14.466,76099.2
24,"2021-06-08, 06:00:00",14.466,14.515,14.366,14.503,80298.3
25,"2021-06-08, 06:15:00",14.501,14.506,14.345,14.383,65881.5
26,"2021-06-08, 06:30:00",14.379,14.404,14.239,14.273,75849.8
27,"2021-06-08, 06:45:00",14.273,14.489,14.263,14.396,97505.3
28,"2021-06-08, 07:00:00",14.394,14.394,14.176,14.218,77574.2
29,"2021-06-08, 07:15:00",14.223,14.242,13.958,14.208,171790.3
30,"2021-06-08, 07:30:00",14.208,14.464,14.131,14.202,154797.6
31,"2021-06-08, 07:45:00",14.201,14.282,14.055,14.197,77691.1
32,"2021-06-08, 08:00:00",14.194,14.465,14.139,14.407,108227.9
33,"2021-06-08, 08:15:00",14.408,14.487,14.206,14.243,62506.9
34,"2021-06-08, 08:30:00",14.243,14.249,13.964,14.041,104456.5
35,"2021-06-08, 08:45:00",14.033,14.155,14.013,14.119,51504.9
36,"2021-06-08, 09:00:00",14.119,14.314,14.016,14.246,60074.8
37,"2021-06-08, 09:15:00",14.242,14.346,14.227,14.28,51048.9
38,"2021-06-08, 09:30:00",14.279,14.315,14.171,14.219,43482.4
39,"2021-06-08, 09:45:00",14.22,14.322,14.191,14.311,39668.0
40,"2021-06-08, 10:00:00",14.312,14.327,14.185,14.288,49849.0
41,"2021-06-08, 10:15:00",14.283,14.289,14.032,14.095,59762.3
42,"2021-06-08, 10:30:00",14.094,14.094,13.725,13.764,118379.2
43,"2021-06-08, 10:45:00",13.768,13.844,13.287,13.606,296824.3
44,"2021-06-08, 11:00:00",13.607,13.702,13.329,13.394,106977.8
45,"2021-06-08, 11:15:00",13.392,13.556,13.271,13.39,88239.1
46,"2021-06-08, 11:30:00",13.402,13.586,13.322,13.532,75263.8
47,"2021-06-08, 11:45:00",13.531,13.852,13.48,13.631,180440.9
48,"2021-06-08, 12:00:00",13.629,13.767,13.6,13.734,56179.2
49,"2021-06-08, 12:15:00",13.731,13.737,13.542,13.564,37664.3
50,"2021-06-08, 12:30:00",13.562,13.662,13.509,13.614,45273.1
51,"2021-06-08, 12:45:00",13.611,13.687,13.554,13.614,50952.5
52,"2021-06-08, 13:00:00",13.612,13.712,13.545,13.586,85283.1
53,"2021-06-08, 13:15:00",13.582,13.658,13.356,13.377,123164.3
54,"2021-06-08, 13:30:00",13.372,13.472,13.269,13.456,125102.1
55,"2021-06-08, 13:45:00",13.458,13.633,13.429,13.604,118016.6
56,"2021-06-08, 14:00:00",13.605,13.646,13.401,13.423,95373.9
57,"2021-06-08, 14:15:00",13.418,13.489,13.284,13.331,101941.8
58,"2021-06-08, 14:30:00",13.337,13.548,13.285,13.473,97132.5
59,"2021-06-08, 14:45:00",13.472,13.472,13.316,13.363,93923.9
60,"2021-06-08, 15:00:00",13.359,13.5,13.165,13.498,178041.8
61,"2021-06-08, 15:15:00",13.498,13.698,13.425,13.649,121473.9
62,"2021-06-08, 15:30:00",13.653,13.763,13.622,13.712,119058.7
63,"2021-06-08, 15:45:00",13.716,13.784,13.683,13.728,81640.7
64,"2021-06-08, 16:00:00",13.733,13.864,13.729,13.8,74314.3
