,date,open,high,low,close,volume
0,"2022-02-11, 08:00:00",2.5306,2.7114,2.2219,2.3029,6416440
1,"2022-02-12, 08:00:00",2.3046,2.3801,2.2011,2.3001,4201554
2,"2022-02-13, 08:00:00",2.2997,2.46,2.2453,2.2906,13260634
3,"2022-02-14, 08:00:00",2.2905,2.3489,2.1664,2.2917,6084301
4,"2022-02-15, 08:00:00",2.2868,2.4903,2.2751,2.4799,4815292
5,"2022-02-16, 08:00:00",2.4784,2.5196,2.3256,2.3947,6005065
6,"2022-02-17, 08:00:00",2.3947,2.4187,2.1017,2.1252,4916121
7,"2022-02-18, 08:00:00",2.125,2.1998,2.0271,2.0471,4912399
8,"2022-02-19, 08:00:00",2.0474,2.1008,1.8905,1.9747,5762045
9,"2022-02-20, 08:00:00",1.9747,1.9765,1.7709,1.8126,7528244
10,"2022-02-21, 08:00:00",1.8108,1.96,1.55,1.5673,15622222
11,"2022-02-22, 08:00:00",1.5673,1.6909,1.5598,1.6499,21248922
12,"2022-02-23, 08:00:00",1.6493,1.7225,1.5376,1.5536,11835852
13,"2022-02-24, 08:00:00",1.5529,1.5599,1.314,1.5023,26796497
14,"2022-02-25, 08:00:00",1.5023,1.5817,1.4477,1.5339,18474471
15,"2022-02-26, 08:00:00",1.5337,1.6222,1.4852,1.4988,11766214
16,"2022-02-27, 08:00:00",1.4983,1.5908,1.3687,1.4079,22011338
17,"2022-02-28, 08:00:00",1.4084,1.562,1.3814,1.5586,18330978
18,"2022-03-01, 08:00:00",1.5575,1.6458,1.5,1.5827,20354971
19,"2022-03-02, 08:00:00",1.5832,1.5851,1.4507,1.463,13187921
20,"2022-03-03, 08:00:00",1.4637,1.4951,1.4,1.4565,9130275
21,"2022-03-04, 08:00:00",1.4566,1.4861,1.2751,1.3212,16038215
22,"2022-03-05, 08:00:00",1.3211,1.3302,1.249,1.2809,11538494
23,"2022-03-06, 08:00:00",1.281,1.2835,1.1471,1.149,16924098
24,"2022-03-07, 08:00:00",1.149,1.63,1.0999,1.5825,375572921
25,"2022-03-08, 08:00:00",1.5822,1.8345,1.46,1.5193,394236799
26,"2022-03-09, 08:00:00",1.5185,1.7618,1.425,1.6029,177905913
27,"2022-03-10, 08:00:00",1.6017,1.6974,1.4502,1.5102,101750492
28,"2022-03-11, 08:00:00",1.5102,1.86,1.4856,1.7013,285657404
29,"2022-03-12, 08:00:00",1.7013,1.9626,1.676,1.8625,313410491
30,"2022-03-13, 08:00:00",1.8627,1.982,1.6543,1.6897,179086211
31,"2022-03-14, 08:00:00",1.6892,1.7458,1.5583,1.6503,98559665
32,"2022-03-15, 08:00:00",1.6489,1.66,1.4966,1.5111,70376310
33,"2022-03-16, 08:00:00",1.5112,1.6725,1.445,1.6476,89061958
34,"2022-03-17, 08:00:00",1.6473,1.6846,1.5517,1.5782,56419017
35,"2022-03-18, 08:00:00",1.5785,1.645,1.489,1.6434,43277530
36,"2022-03-19, 08:00:00",1.6433,2.2111,1.5911,2.0853,261833090
37,"2022-03-20, 08:00:00",2.0849,2.3643,1.9287,2.188,200134697
38,"2022-03-21, 08:00:00",2.1884,2.3134,1.9916,2.1428,120117255
39,"2022-03-22, 08:00:00",2.142,2.44,2.0822,2.3154,83727970
40,"2022-03-23, 08:00:00",2.3157,2.4271,2.1377,2.2691,87598991
41,"2022-03-24, 08:00:00",2.269,2.3695,2.1026,2.1605,54962805
42,"2022-03-25, 08:00:00",2.1604,2.2764,2.11,2.2534,48055343
43,"2022-03-26, 08:00:00",2.2533,2.27,2.151,2.2013,28742506
44,"2022-03-27, 08:00:00",2.201,2.402,2.1721,2.3196,49529967
45,"2022-03-28, 08:00:00",2.3198,2.6957,2.2701,2.6797,85772842
46,"2022-03-29, 08:00:00",2.6781,2.7888,2.5024,2.6991,72079716
47,"2022-03-30, 08:00:00",2.6996,2.7432,2.522,2.643,32144222
48,"2022-03-31, 08:00:00",2.6427,2.8564,2.2955,2.3522,48346435
49,"2022-04-01, 08:00:00",2.353,2.5631,2.215,2.4957,39615802
50,"2022-04-02, 08:00:00",2.4955,2.7744,2.4,2.4184,46697365
51,"2022-04-03, 08:00:00",2.4199,2.6772,2.3466,2.6171,31748819
52,"2022-04-04, 08:00:00",2.6154,2.6168,2.3231,2.494,25425407
53,"2022-04-05, 08:00:00",2.4945,2.5515,2.3231,2.3346,20390759
54,"2022-04-06, 08:00:00",2.336,2.338,1.98,2.0319,35681162
55,"2022-04-07, 08:00:00",2.0317,2.1772,1.9614,2.1472,30571887
56,"2022-04-08, 08:00:00",2.1464,2.186,1.99,2.0962,34007012
57,"2022-04-09, 08:00:00",2.0962,2.309,2.0519,2.1602,67519965
58,"2022-04-10, 08:00:00",2.1607,2.1999,2.0214,2.041,19312317
59,"2022-04-11, 08:00:00",2.0415,2.0913,1.7095,1.7349,42882505
60,"2022-04-12, 08:00:00",1.7347,1.8788,1.707,1.8382,32701198
61,"2022-04-13, 08:00:00",1.8391,1.8741,1.7291,1.8571,24279362
62,"2022-04-14, 08:00:00",1.8571,1.9317,1.7586,1.801,24241725
63,"2022-04-15, 08:00:00",1.8009,1.8304,1.7322,1.7852,18470287
64,"2022-04-16, 08:00:00",1.7861,1.8594,1.7543,1.8562,32795778
65,"2022-04-17, 08:00:00",1.8553,1.8681,1.7053,1.7235,26992438
66,"2022-04-18, 08:00:00",1.7241,1.7662,1.5609,1.7503,36237441
67,"2022-04-19, 08:00:00",1.7509,1.9994,1.7065,1.9739,46148968
68,"2022-04-20, 08:00:00",1.9739,2.1301,1.9015,2.0072,59851429
69,"2022-04-21, 08:00:00",2.0071,2.1297,1.8349,1.8817,35000985
70,"2022-04-22, 08:00:00",1.8811,1.943,1.783,1.8331,24237966
71,"2022-04-23, 08:00:00",1.8331,1.8913,1.7661,1.8089,21995023
72,"2022-04-24, 08:00:00",1.8099,1.8399,1.7147,1.7254,15040893
73,"2022-04-25, 08:00:00",1.7262,1.8129,1.59,1.7996,32960554
74,"2022-04-26, 08:00:00",1.7999,1.8618,1.6138,1.663,33537429
75,"2022-04-27, 08:00:00",1.6632,1.7415,1.6409,1.7183,28934141
76,"2022-04-28, 08:00:00",1.7185,1.7548,1.6378,1.6805,25961084
77,"2022-04-29, 08:00:00",1.6807,1.7084,1.5211,1.5436,27803460
78,"2022-04-30, 08:00:00",1.5436,1.5919,1.2841,1.3531,24091834
79,"2022-05-01, 08:00:00",1.3532,1.572,1.3096,1.5119,58319430
80,"2022-05-02, 08:00:00",1.5114,1.6033,1.4265,1.5384,73032128
81,"2022-05-03, 08:00:00",1.5377,1.652,1.5021,1.5761,61568233
82,"2022-05-04, 08:00:00",1.5763,1.8632,1.5633,1.8177,65951404
83,"2022-05-05, 08:00:00",1.8174,1.854,1.4953,1.5715,61275111
84,"2022-05-06, 08:00:00",1.5706,1.5848,1.4373,1.5067,36243080
85,"2022-05-07, 08:00:00",1.5069,1.5211,1.3777,1.4238,23741635
86,"2022-05-08, 08:00:00",1.4243,1.4599,1.3427,1.3622,31752417
87,"2022-05-09, 08:00:00",1.3627,1.4048,1.1282,1.1399,45844042
88,"2022-05-10, 08:00:00",1.1392,1.3332,1.0933,1.1899,68247591
89,"2022-05-11, 08:00:00",1.1901,1.2503,0.7097,0.8568,105195736
90,"2022-05-12, 08:00:00",0.8576,0.9436,0.6703,0.7781,83757897
91,"2022-05-13, 08:00:00",0.7779,0.9676,0.7548,0.8303,51783827
92,"2022-05-14, 08:00:00",0.8303,0.9016,0.7445,0.8558,35620411
93,"2022-05-15, 08:00:00",0.8559,0.9691,0.8058,0.9545,46853558
94,"2022-05-16, 08:00:00",0.9547,0.9547,0.813,0.8777,46242333
95,"2022-05-17, 08:00:00",0.8776,0.9392,0.8536,0.9154,41900142
96,"2022-05-18, 08:00:00",0.9152,0.9473,0.7927,0.8006,51186493
97,"2022-05-19, 08:00:00",0.8005,0.9104,0.7811,0.8953,45990101
98,"2022-05-20, 08:00:00",0.896,0.9216,0.8091,0.8581,47492962
99,"2022-05-21, 08:00:00",0.8583,1.0191,0.8358,0.9438,71093375
100,"2022-05-22, 08:00:00",0.9442,1.0753,0.9435,0.9906,126166365
101,"2022-05-23, 08:00:00",0.9906,1.055,0.9128,0.9371,75378196
102,"2022-05-24, 08:00:00",0.9372,1.013,0.9058,0.9572,83840470
103,"2022-05-25, 08:00:00",0.9573,0.985,0.9089,0.9349,58876550
104,"2022-05-26, 08:00:00",0.935,0.97,0.787,0.8356,54491393
105,"2022-05-27, 08:00:00",0.8357,0.9179,0.7945,0.8508,74727033
106,"2022-05-28, 08:00:00",0.8507,0.9272,0.8503,0.9115,50657599
107,"2022-05-29, 08:00:00",0.9116,1.0467,0.8855,1.0132,49711935
108,"2022-05-30, 08:00:00",1.0134,1.1886,0.9877,1.1517,92644117
109,"2022-05-31, 08:00:00",1.1521,1.1999,1.03,1.1046,52677220
110,"2022-06-01, 08:00:00",1.1045,1.1263,0.9267,0.9613,58130783
111,"2022-06-02, 08:00:00",0.9617,1.0093,0.9063,0.9894,39550220
112,"2022-06-03, 08:00:00",0.9893,0.9948,0.905,0.9656,28759892
113,"2022-06-04, 08:00:00",0.9659,0.985,0.9213,0.9591,25539249
114,"2022-06-05, 08:00:00",0.9593,1.0198,0.9333,0.9743,34825808
115,"2022-06-06, 08:00:00",0.9745,1.0735,0.9729,1.0353,41296855
116,"2022-06-07, 08:00:00",1.0352,1.037,0.9288,0.9679,41011967
