,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",4.391,4.403,4.352,4.357,135306
1,"2021-06-08, 01:00:00",4.357,4.357,4.297,4.302,173310
2,"2021-06-08, 02:00:00",4.301,4.318,4.25,4.257,109764
3,"2021-06-08, 03:00:00",4.254,4.298,4.237,4.288,121563
4,"2021-06-08, 04:00:00",4.288,4.299,4.157,4.167,261305
5,"2021-06-08, 05:00:00",4.165,4.174,4.04,4.095,298880
6,"2021-06-08, 06:00:00",4.095,4.116,4.066,4.07,96796
7,"2021-06-08, 07:00:00",4.069,4.073,3.977,4.029,253869
8,"2021-06-08, 08:00:00",4.028,4.083,3.959,4.005,444073
9,"2021-06-08, 09:00:00",4.006,4.129,3.981,4.125,415751
10,"2021-06-08, 10:00:00",4.125,4.126,3.808,3.89,642107
11,"2021-06-08, 11:00:00",3.889,3.92,3.778,3.864,569845
12,"2021-06-08, 12:00:00",3.864,3.912,3.822,3.837,390254
13,"2021-06-08, 13:00:00",3.837,3.861,3.731,3.837,537699
14,"2021-06-08, 14:00:00",3.835,3.846,3.745,3.801,380557
15,"2021-06-08, 15:00:00",3.802,3.918,3.718,3.845,421649
16,"2021-06-08, 16:00:00",3.842,3.92,3.842,3.859,205987
17,"2021-06-08, 17:00:00",3.861,3.868,3.782,3.788,186945
18,"2021-06-08, 18:00:00",3.789,3.843,3.759,3.81,207480
19,"2021-06-08, 19:00:00",3.81,3.891,3.796,3.873,242102
20,"2021-06-08, 20:00:00",3.873,3.893,3.752,3.757,188645
21,"2021-06-08, 21:00:00",3.756,3.781,3.68,3.682,226831
22,"2021-06-08, 22:00:00",3.684,3.706,3.52,3.575,541983
23,"2021-06-08, 23:00:00",3.577,3.584,3.41,3.564,418560
24,"2021-06-09, 00:00:00",3.562,3.653,3.528,3.608,325715
25,"2021-06-09, 01:00:00",3.61,3.672,3.582,3.668,225588
26,"2021-06-09, 02:00:00",3.669,3.723,3.649,3.711,237373
27,"2021-06-09, 03:00:00",3.712,3.757,3.693,3.745,150757
28,"2021-06-09, 04:00:00",3.747,3.851,3.711,3.83,254569
29,"2021-06-09, 05:00:00",3.83,3.882,3.813,3.84,227895
30,"2021-06-09, 06:00:00",3.84,3.902,3.823,3.861,140285
31,"2021-06-09, 07:00:00",3.862,3.893,3.815,3.852,183488
32,"2021-06-09, 08:00:00",3.852,3.868,3.714,3.732,347813
33,"2021-06-09, 09:00:00",3.729,3.758,3.608,3.626,354207
34,"2021-06-09, 10:00:00",3.629,3.662,3.546,3.597,410910
35,"2021-06-09, 11:00:00",3.6,3.638,3.555,3.605,317790
36,"2021-06-09, 12:00:00",3.606,3.655,3.552,3.654,286462
37,"2021-06-09, 13:00:00",3.653,3.729,3.646,3.686,269827
38,"2021-06-09, 14:00:00",3.686,3.782,3.675,3.77,252298
39,"2021-06-09, 15:00:00",3.77,3.836,3.762,3.798,329729
40,"2021-06-09, 16:00:00",3.796,3.797,3.717,3.749,422079
41,"2021-06-09, 17:00:00",3.749,3.842,3.721,3.724,293061
42,"2021-06-09, 18:00:00",3.724,3.878,3.718,3.837,276414
43,"2021-06-09, 19:00:00",3.837,3.91,3.806,3.88,292286
44,"2021-06-09, 20:00:00",3.88,3.911,3.784,3.788,407774
45,"2021-06-09, 21:00:00",3.789,3.809,3.743,3.778,246200
46,"2021-06-09, 22:00:00",3.776,3.832,3.707,3.716,250430
47,"2021-06-09, 23:00:00",3.718,3.938,3.713,3.896,487552
48,"2021-06-10, 00:00:00",3.897,3.928,3.848,3.865,297947
49,"2021-06-10, 01:00:00",3.865,3.918,3.84,3.875,175157
50,"2021-06-10, 02:00:00",3.876,3.896,3.782,3.805,169304
51,"2021-06-10, 03:00:00",3.806,3.835,3.78,3.795,203305
52,"2021-06-10, 04:00:00",3.797,3.837,3.783,3.814,127201
53,"2021-06-10, 05:00:00",3.813,3.857,3.796,3.842,120331
54,"2021-06-10, 06:00:00",3.844,4.034,3.825,4.019,665313
55,"2021-06-10, 07:00:00",4.019,4.084,3.988,4.02,614554
56,"2021-06-10, 08:00:00",4.019,4.048,3.912,3.921,569625
57,"2021-06-10, 09:00:00",3.922,4.026,3.922,3.956,340156
58,"2021-06-10, 10:00:00",3.954,4.111,3.928,4.095,292972
59,"2021-06-10, 11:00:00",4.096,4.122,4.055,4.057,327172
60,"2021-06-10, 12:00:00",4.056,4.198,3.991,4.003,528485
