,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",8.0863,8.1014,7.9565,7.9667,87700.3
1,"2021-06-08, 01:00:00",7.9649,7.9649,7.86,7.8917,104720.1
2,"2021-06-08, 02:00:00",7.8887,7.9253,7.7598,7.8145,116688.2
3,"2021-06-08, 03:00:00",7.8086,7.8922,7.7656,7.8705,121106.0
4,"2021-06-08, 04:00:00",7.8677,7.9123,7.421,7.5306,240474.3
5,"2021-06-08, 05:00:00",7.532,7.5703,7.2566,7.3911,391194.8
6,"2021-06-08, 06:00:00",7.3909,7.4387,7.3044,7.3874,218908.0
7,"2021-06-08, 07:00:00",7.3822,7.3822,7.17,7.2604,282531.4
8,"2021-06-08, 08:00:00",7.2569,7.3691,7.1775,7.2975,223938.0
9,"2021-06-08, 09:00:00",7.2974,7.3688,7.2525,7.3397,111077.3
10,"2021-06-08, 10:00:00",7.338,7.3444,7.1395,7.2141,344324.4
11,"2021-06-08, 11:00:00",7.2117,7.3226,7.0368,7.3017,537581.1
12,"2021-06-08, 12:00:00",7.3042,7.4139,7.2829,7.3123,250635.4
13,"2021-06-08, 13:00:00",7.3105,7.3446,6.9894,7.1182,404908.7
14,"2021-06-08, 14:00:00",7.1185,7.1599,6.9514,6.9709,243445.2
15,"2021-06-08, 15:00:00",6.9701,7.2108,6.8539,7.1386,348587.0
16,"2021-06-08, 16:00:00",7.1451,7.2689,7.1402,7.1607,145000.1
17,"2021-06-08, 17:00:00",7.1564,7.1715,7.0,7.0084,141323.3
18,"2021-06-08, 18:00:00",7.0089,7.1364,6.9241,6.9652,149775.5
19,"2021-06-08, 19:00:00",6.9656,7.1127,6.927,7.0883,118294.6
20,"2021-06-08, 20:00:00",7.0902,7.1202,6.9076,6.9147,174637.0
21,"2021-06-08, 21:00:00",6.9153,6.9567,6.7376,6.7436,272126.4
22,"2021-06-08, 22:00:00",6.7472,6.8113,6.5664,6.6595,378474.2
23,"2021-06-08, 23:00:00",6.6626,6.7161,6.3888,6.6675,330960.8
24,"2021-06-09, 00:00:00",6.671,6.8588,6.6076,6.8245,264708.1
25,"2021-06-09, 01:00:00",6.8241,6.9023,6.7242,6.8871,162162.0
26,"2021-06-09, 02:00:00",6.8864,7.0187,6.8536,6.9987,174283.7
27,"2021-06-09, 03:00:00",6.9963,7.0376,6.9497,7.0152,117285.9
28,"2021-06-09, 04:00:00",7.0142,7.184,6.9723,7.1232,230476.9
29,"2021-06-09, 05:00:00",7.1233,7.156,7.0274,7.0759,149116.3
30,"2021-06-09, 06:00:00",7.0731,7.1665,7.0311,7.0616,97075.5
31,"2021-06-09, 07:00:00",7.0617,7.1659,7.0343,7.0589,131666.2
32,"2021-06-09, 08:00:00",7.0592,7.1175,6.9492,6.9743,238563.7
33,"2021-06-09, 09:00:00",6.9758,7.0336,6.84,6.8655,162816.2
34,"2021-06-09, 10:00:00",6.8656,6.9867,6.7529,6.8948,231226.0
35,"2021-06-09, 11:00:00",6.8957,7.0056,6.8183,6.9765,156257.4
36,"2021-06-09, 12:00:00",6.9808,7.1274,6.8441,7.1181,169603.6
37,"2021-06-09, 13:00:00",7.1183,7.5543,7.0886,7.5212,536466.3
38,"2021-06-09, 14:00:00",7.5211,7.5975,7.4526,7.5255,387688.3
39,"2021-06-09, 15:00:00",7.5248,7.6203,7.475,7.5041,295632.3
40,"2021-06-09, 16:00:00",7.5086,7.5237,7.3777,7.4464,274675.3
41,"2021-06-09, 17:00:00",7.4457,7.5573,7.3722,7.3909,164388.9
42,"2021-06-09, 18:00:00",7.3898,7.5367,7.3556,7.4169,209599.4
43,"2021-06-09, 19:00:00",7.4185,7.5416,7.3676,7.4972,169128.1
44,"2021-06-09, 20:00:00",7.4976,7.5689,7.3383,7.3488,225544.6
45,"2021-06-09, 21:00:00",7.3476,7.3891,7.2369,7.3117,198544.6
46,"2021-06-09, 22:00:00",7.3128,7.4016,7.1315,7.149,199598.2
47,"2021-06-09, 23:00:00",7.1484,7.5566,7.1477,7.5157,357224.9
48,"2021-06-10, 00:00:00",7.5158,7.8021,7.5158,7.7203,571222.9
49,"2021-06-10, 01:00:00",7.7199,7.8068,7.6365,7.7002,239056.5
50,"2021-06-10, 02:00:00",7.7016,7.7747,7.55,7.6119,222409.4
51,"2021-06-10, 03:00:00",7.6136,7.7059,7.55,7.64,288141.0
52,"2021-06-10, 04:00:00",7.6467,7.76,7.6248,7.6686,237972.2
53,"2021-06-10, 05:00:00",7.6695,7.7222,7.6164,7.6668,172778.5
54,"2021-06-10, 06:00:00",7.6669,7.7861,7.6256,7.7346,167168.8
55,"2021-06-10, 07:00:00",7.7388,7.8699,7.6973,7.7509,299521.2
56,"2021-06-10, 08:00:00",7.7491,7.7769,7.5401,7.5536,231810.4
57,"2021-06-10, 09:00:00",7.5557,7.7875,7.5557,7.6632,189889.8
58,"2021-06-10, 10:00:00",7.6629,7.7097,7.6223,7.6612,90802.4
59,"2021-06-10, 11:00:00",7.6631,7.7536,7.6005,7.6034,134562.2
