,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",652.38,653.5,645.86,647.66,25032.9
1,"2021-06-08, 01:00:00",647.71,647.94,640.0,641.83,15726.15
2,"2021-06-08, 02:00:00",641.75,642.81,634.35,636.79,19104.786
3,"2021-06-08, 03:00:00",636.68,641.08,634.35,639.74,11782.851
4,"2021-06-08, 04:00:00",639.73,641.25,611.52,622.3,38424.285
5,"2021-06-08, 05:00:00",622.41,625.55,600.0,609.69,54724.107
6,"2021-06-08, 06:00:00",609.68,614.89,605.0,610.09,30354.006
7,"2021-06-08, 07:00:00",609.95,610.01,590.13,596.3,42458.278
8,"2021-06-08, 08:00:00",596.23,604.44,586.22,596.26,47406.636
9,"2021-06-08, 09:00:00",596.07,602.57,593.71,600.59,22808.731
10,"2021-06-08, 10:00:00",600.76,600.99,569.31,577.54,51100.069
11,"2021-06-08, 11:00:00",577.44,581.06,565.4,579.56,40762.477
12,"2021-06-08, 12:00:00",579.56,586.94,576.96,580.14,27928.614
13,"2021-06-08, 13:00:00",580.08,582.79,568.7,578.68,21476.048
14,"2021-06-08, 14:00:00",578.6,580.37,570.0,570.68,19335.495
15,"2021-06-08, 15:00:00",570.5,586.61,562.77,581.94,39425.679
16,"2021-06-08, 16:00:00",582.23,592.16,581.94,584.03,26113.358
17,"2021-06-08, 17:00:00",584.03,585.12,576.3,577.32,25855.007
18,"2021-06-08, 18:00:00",577.35,586.1,576.11,579.42,20678.031
19,"2021-06-08, 19:00:00",579.4,587.88,576.78,586.5,20669.767
20,"2021-06-08, 20:00:00",586.5,601.43,583.6,584.26,32941.808
21,"2021-06-08, 21:00:00",584.24,586.2,569.67,570.0,32956.725
22,"2021-06-08, 22:00:00",570.0,575.54,552.03,559.52,63443.605
23,"2021-06-08, 23:00:00",559.62,566.21,542.43,563.1,62048.036
24,"2021-06-09, 00:00:00",562.99,577.67,556.6,573.23,51436.875
25,"2021-06-09, 01:00:00",573.13,578.41,567.44,577.69,18789.73
26,"2021-06-09, 02:00:00",577.81,593.21,577.23,588.77,38388.658
