,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",0.26863,0.27376,0.26792,0.26842,18892442
1,"2021-06-08, 01:00:00",0.26841,0.26841,0.26505,0.26558,14823668
2,"2021-06-08, 02:00:00",0.26553,0.26656,0.26215,0.26346,11081243
3,"2021-06-08, 03:00:00",0.26332,0.26539,0.26214,0.26508,7260931
4,"2021-06-08, 04:00:00",0.2651,0.26631,0.25284,0.25596,20590360
5,"2021-06-08, 05:00:00",0.25608,0.25812,0.24434,0.24918,30960182
6,"2021-06-08, 06:00:00",0.24903,0.25274,0.24677,0.24961,21826788
7,"2021-06-08, 07:00:00",0.24964,0.24968,0.23725,0.24113,28492613
8,"2021-06-08, 08:00:00",0.24111,0.24568,0.23477,0.23892,25732273
9,"2021-06-08, 09:00:00",0.23893,0.2418,0.23758,0.2404,11700768
10,"2021-06-08, 10:00:00",0.24055,0.24084,0.22204,0.22737,32689330
11,"2021-06-08, 11:00:00",0.22747,0.2302,0.22131,0.22953,20261184
12,"2021-06-08, 12:00:00",0.22959,0.23442,0.22906,0.23254,14822810
13,"2021-06-08, 13:00:00",0.23265,0.23452,0.22735,0.23278,13762993
14,"2021-06-08, 14:00:00",0.23282,0.234,0.22934,0.23043,9379925
15,"2021-06-08, 15:00:00",0.23042,0.23716,0.22566,0.23391,17123080
16,"2021-06-08, 16:00:00",0.23405,0.2366,0.23357,0.23425,14011414
17,"2021-06-08, 17:00:00",0.23418,0.23487,0.23054,0.23132,21525810
18,"2021-06-08, 18:00:00",0.23133,0.23428,0.22925,0.2308,13225800
19,"2021-06-08, 19:00:00",0.23079,0.23483,0.22987,0.23394,10567078
20,"2021-06-08, 20:00:00",0.23392,0.2346,0.23066,0.23082,9205214
21,"2021-06-08, 21:00:00",0.23082,0.23169,0.226,0.22604,9401097
22,"2021-06-08, 22:00:00",0.22619,0.22779,0.2135,0.21712,36385903
23,"2021-06-08, 23:00:00",0.21719,0.21776,0.20503,0.21516,55720095
24,"2021-06-09, 00:00:00",0.21511,0.2223,0.2127,0.22086,24584680
25,"2021-06-09, 01:00:00",0.2209,0.22542,0.21832,0.22498,18482240
26,"2021-06-09, 02:00:00",0.22502,0.231,0.22383,0.23032,43190336
27,"2021-06-09, 03:00:00",0.23031,0.23288,0.22946,0.23182,14294080
28,"2021-06-09, 04:00:00",0.23182,0.23766,0.22901,0.23572,20125086
29,"2021-06-09, 05:00:00",0.2357,0.23718,0.23089,0.23302,27434041
30,"2021-06-09, 06:00:00",0.23303,0.23641,0.23203,0.23263,41151655
31,"2021-06-09, 07:00:00",0.2326,0.23507,0.23133,0.23262,8851705
32,"2021-06-09, 08:00:00",0.23268,0.23429,0.2255,0.22631,15079401
33,"2021-06-09, 09:00:00",0.22626,0.22747,0.21865,0.21915,10406910
34,"2021-06-09, 10:00:00",0.21929,0.2232,0.21653,0.22051,14711190
35,"2021-06-09, 11:00:00",0.22049,0.22339,0.21853,0.22207,8844536
36,"2021-06-09, 12:00:00",0.22211,0.22526,0.21868,0.22491,9377352
37,"2021-06-09, 13:00:00",0.22498,0.22901,0.22281,0.2276,10956188
38,"2021-06-09, 14:00:00",0.22765,0.23598,0.22699,0.23548,14245974
39,"2021-06-09, 15:00:00",0.23566,0.23783,0.23063,0.23185,17915997
40,"2021-06-09, 16:00:00",0.232,0.23318,0.22743,0.22888,14229915
41,"2021-06-09, 17:00:00",0.22896,0.23278,0.22821,0.22871,10932918
42,"2021-06-09, 18:00:00",0.22874,0.2346,0.22807,0.23275,10738745
43,"2021-06-09, 19:00:00",0.23275,0.2355,0.23121,0.23493,11666074
44,"2021-06-09, 20:00:00",0.23494,0.23701,0.23021,0.23122,16203368
