,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",63.56,63.72,62.35,62.76,13196.6
1,"2021-06-08, 01:00:00",62.77,62.77,61.73,62.0,20473.1
2,"2021-06-08, 02:00:00",62.0,62.33,61.04,61.37,18088.1
3,"2021-06-08, 03:00:00",61.34,61.77,60.91,61.72,27283.2
4,"2021-06-08, 04:00:00",61.68,61.92,57.92,58.97,51038.7
5,"2021-06-08, 05:00:00",58.9,59.41,57.06,57.8,32964.5
6,"2021-06-08, 06:00:00",57.82,58.24,56.66,57.02,22070.7
7,"2021-06-08, 07:00:00",57.02,57.02,54.4,55.92,43812.9
8,"2021-06-08, 08:00:00",55.92,57.05,54.88,55.85,34741.6
9,"2021-06-08, 09:00:00",55.85,56.32,55.22,55.93,24543.3
10,"2021-06-08, 10:00:00",55.93,56.21,52.03,52.92,48614.2
11,"2021-06-08, 11:00:00",52.92,54.1,51.6,53.94,43923.9
12,"2021-06-08, 12:00:00",53.93,55.8,53.76,55.53,38289.6
13,"2021-06-08, 13:00:00",55.52,56.16,53.56,54.77,45411.5
14,"2021-06-08, 14:00:00",54.78,55.0,52.98,53.13,31511.1
15,"2021-06-08, 15:00:00",53.18,55.07,52.03,54.42,39110.2
16,"2021-06-08, 16:00:00",54.42,55.5,54.24,54.36,26185.7
17,"2021-06-08, 17:00:00",54.36,54.45,53.34,53.8,28587.9
18,"2021-06-08, 18:00:00",53.79,55.07,53.58,54.0,22377.8
19,"2021-06-08, 19:00:00",54.01,54.97,53.74,54.84,20163.5
20,"2021-06-08, 20:00:00",54.84,55.1,52.97,53.16,23992.4
21,"2021-06-08, 21:00:00",53.14,53.46,51.44,51.45,30734.6
22,"2021-06-08, 22:00:00",51.5,51.97,49.79,50.57,61386.3
23,"2021-06-08, 23:00:00",50.6,50.73,48.34,50.45,50932.7
24,"2021-06-09, 00:00:00",50.45,52.0,49.93,51.63,29630.6
25,"2021-06-09, 01:00:00",51.64,52.89,50.91,52.83,19803.3
26,"2021-06-09, 02:00:00",52.82,54.5,52.6,54.36,39912.4
27,"2021-06-09, 03:00:00",54.33,54.5,53.57,54.15,16505.7
28,"2021-06-09, 04:00:00",54.15,56.5,53.59,55.52,58797.1
29,"2021-06-09, 05:00:00",55.52,56.09,54.27,54.72,40778.4
30,"2021-06-09, 06:00:00",54.71,56.05,54.54,55.22,16707.5
31,"2021-06-09, 07:00:00",55.26,56.36,54.38,54.42,35770.0
32,"2021-06-09, 08:00:00",54.41,54.87,52.52,52.74,36828.0
33,"2021-06-09, 09:00:00",52.74,53.15,51.59,51.83,22092.0
34,"2021-06-09, 10:00:00",51.86,53.29,51.27,52.41,29882.4
35,"2021-06-09, 11:00:00",52.41,52.85,51.59,52.25,20699.8
36,"2021-06-09, 12:00:00",52.28,52.69,50.29,51.84,47969.8
37,"2021-06-09, 13:00:00",51.85,56.31,51.64,55.3,77745.3
38,"2021-06-09, 14:00:00",55.3,55.42,54.29,54.95,32295.0
39,"2021-06-09, 15:00:00",54.94,55.35,53.91,54.04,22407.4
40,"2021-06-09, 16:00:00",54.06,54.11,52.7,53.02,25924.5
41,"2021-06-09, 17:00:00",53.01,54.33,52.93,52.97,32391.7
42,"2021-06-09, 18:00:00",52.99,54.79,52.81,54.02,26434.4
43,"2021-06-09, 19:00:00",54.01,55.78,53.69,55.38,20384.6
44,"2021-06-09, 20:00:00",55.4,56.19,54.4,54.5,29963.6
45,"2021-06-09, 21:00:00",54.48,54.72,53.25,53.7,20864.2
46,"2021-06-09, 22:00:00",53.7,54.31,51.96,52.38,34627.7
47,"2021-06-09, 23:00:00",52.39,57.15,52.36,56.06,94207.0
48,"2021-06-10, 00:00:00",56.1,56.9,55.37,55.83,48324.1
49,"2021-06-10, 01:00:00",55.85,56.62,55.06,55.64,27895.0
50,"2021-06-10, 02:00:00",55.65,56.02,54.0,54.3,27242.3
51,"2021-06-10, 03:00:00",54.31,54.82,53.62,54.01,21193.7
52,"2021-06-10, 04:00:00",54.02,54.21,53.39,53.4,17098.2
53,"2021-06-10, 05:00:00",53.4,55.2,53.39,54.37,32176.8
54,"2021-06-10, 06:00:00",54.36,55.57,54.29,55.43,25686.9
55,"2021-06-10, 07:00:00",55.43,56.24,55.08,56.08,24657.4
56,"2021-06-10, 08:00:00",56.1,56.32,55.03,55.53,23933.2
57,"2021-06-10, 09:00:00",55.54,56.53,55.54,55.66,25540.0
58,"2021-06-10, 10:00:00",55.67,56.56,55.56,56.19,25480.0
59,"2021-06-10, 11:00:00",56.21,56.85,55.1,55.14,23803.2
60,"2021-06-10, 12:00:00",55.13,55.96,54.68,55.37,22129.5
61,"2021-06-10, 13:00:00",55.33,55.84,54.39,54.8,22713.9
62,"2021-06-10, 14:00:00",54.8,55.63,54.31,54.65,18449.6
63,"2021-06-10, 15:00:00",54.68,55.18,54.35,55.12,12493.9
64,"2021-06-10, 16:00:00",55.09,55.12,52.8,52.93,27681.4
65,"2021-06-10, 17:00:00",52.94,53.99,52.26,53.67,35985.5
66,"2021-06-10, 18:00:00",53.66,56.14,53.49,55.25,46226.5
67,"2021-06-10, 19:00:00",55.25,55.59,54.3,54.47,18781.5
68,"2021-06-10, 20:00:00",54.47,54.61,53.41,53.87,22928.6
69,"2021-06-10, 21:00:00",53.87,54.25,53.57,54.13,15572.9
70,"2021-06-10, 22:00:00",54.14,54.62,52.37,52.71,28012.5
71,"2021-06-10, 23:00:00",52.7,53.22,51.95,52.5,18958.0
72,"2021-06-11, 00:00:00",52.51,52.89,51.33,51.88,27242.2
73,"2021-06-11, 01:00:00",51.85,52.16,50.75,51.68,27838.9
74,"2021-06-11, 02:00:00",51.63,52.13,51.14,51.79,16037.1
75,"2021-06-11, 03:00:00",51.78,51.98,50.39,51.61,28933.5
76,"2021-06-11, 04:00:00",51.62,51.65,50.0,51.29,27467.8
77,"2021-06-11, 05:00:00",51.3,51.32,50.39,50.86,11520.8
78,"2021-06-11, 06:00:00",50.86,51.2,50.46,50.52,12087.0
79,"2021-06-11, 07:00:00",50.52,50.61,49.48,49.68,16675.3
80,"2021-06-11, 08:00:00",49.69,49.99,48.12,48.29,51584.8
81,"2021-06-11, 09:00:00",48.3,49.05,47.4,48.81,30913.9
82,"2021-06-11, 10:00:00",48.81,48.88,47.68,48.64,17142.5
83,"2021-06-11, 11:00:00",48.67,49.44,48.67,49.18,15915.2
84,"2021-06-11, 12:00:00",49.19,49.51,48.66,49.33,17227.3
85,"2021-06-11, 13:00:00",49.34,49.85,49.26,49.54,20531.4
86,"2021-06-11, 14:00:00",49.54,49.55,48.01,48.09,17228.6
87,"2021-06-11, 15:00:00",48.13,48.84,47.84,48.45,16095.0
88,"2021-06-11, 16:00:00",48.47,50.98,48.42,49.66,67914.3
89,"2021-06-11, 17:00:00",49.65,51.81,48.73,50.28,69747.8
90,"2021-06-11, 18:00:00",50.3,50.87,49.82,49.96,21947.1
91,"2021-06-11, 19:00:00",49.95,50.09,48.79,49.44,31094.3
92,"2021-06-11, 20:00:00",49.43,49.55,48.38,49.01,25472.6
93,"2021-06-11, 21:00:00",48.98,49.49,48.98,49.1,17420.2
94,"2021-06-11, 22:00:00",49.1,49.17,48.06,48.33,27151.9
95,"2021-06-11, 23:00:00",48.33,48.35,46.57,46.99,29913.5
96,"2021-06-12, 00:00:00",46.97,47.39,45.77,45.91,28219.0
97,"2021-06-12, 01:00:00",45.91,46.43,45.51,45.96,47021.7
98,"2021-06-12, 02:00:00",45.97,46.21,45.23,46.14,55186.5
99,"2021-06-12, 03:00:00",46.15,46.87,45.72,46.68,35074.3
100,"2021-06-12, 04:00:00",46.68,47.5,45.67,45.81,28489.5
101,"2021-06-12, 05:00:00",45.81,46.39,44.37,44.4,28048.3
102,"2021-06-12, 06:00:00",44.44,45.84,44.24,45.1,26652.1
103,"2021-06-12, 07:00:00",45.09,47.99,43.96,47.95,39009.0
104,"2021-06-12, 08:00:00",47.93,48.3,46.57,47.06,70668.9
105,"2021-06-12, 09:00:00",47.08,47.25,44.54,44.7,52889.7
106,"2021-06-12, 10:00:00",44.67,45.91,44.1,44.8,51005.3
107,"2021-06-12, 11:00:00",44.82,45.58,44.02,44.7,39394.4
108,"2021-06-12, 12:00:00",44.69,45.34,43.58,43.95,34870.0
109,"2021-06-12, 13:00:00",43.95,44.85,43.12,43.8,37252.7
110,"2021-06-12, 14:00:00",43.81,44.68,43.71,44.41,25810.0
111,"2021-06-12, 15:00:00",44.41,45.01,44.31,44.45,29888.4
112,"2021-06-12, 16:00:00",44.45,44.93,43.3,43.33,32835.0
113,"2021-06-12, 17:00:00",43.33,43.9,43.09,43.44,26662.9
114,"2021-06-12, 18:00:00",43.46,45.18,42.4,44.83,54074.5
115,"2021-06-12, 19:00:00",44.87,45.01,43.8,44.61,36374.1
116,"2021-06-12, 20:00:00",44.63,46.72,44.33,46.31,46591.2
117,"2021-06-12, 21:00:00",46.32,46.45,45.5,45.86,19999.9
118,"2021-06-12, 22:00:00",45.84,45.92,44.67,45.86,39343.4
119,"2021-06-12, 23:00:00",45.86,46.81,45.25,45.5,32130.9
120,"2021-06-13, 00:00:00",45.49,45.84,44.97,45.25,19848.1
121,"2021-06-13, 01:00:00",45.24,46.07,44.87,45.71,19060.1
122,"2021-06-13, 02:00:00",45.72,47.7,45.61,47.34,59383.7
123,"2021-06-13, 03:00:00",47.34,48.05,46.41,46.48,70185.4
124,"2021-06-13, 04:00:00",46.49,47.82,46.49,46.59,31434.9
125,"2021-06-13, 05:00:00",46.59,47.1,45.25,45.78,26460.8
126,"2021-06-13, 06:00:00",45.79,46.21,44.94,45.32,20506.4
127,"2021-06-13, 07:00:00",45.34,45.64,44.3,44.82,18258.9
128,"2021-06-13, 08:00:00",44.8,45.48,44.0,45.29,28542.4
129,"2021-06-13, 09:00:00",45.29,45.99,45.17,45.71,30562.3
130,"2021-06-13, 10:00:00",45.72,45.92,44.69,44.8,19420.4
131,"2021-06-13, 11:00:00",44.81,44.82,43.67,43.88,27014.5
132,"2021-06-13, 12:00:00",43.88,44.82,43.8,44.54,12980.9
133,"2021-06-13, 13:00:00",44.55,45.62,44.32,45.1,30721.6
134,"2021-06-13, 14:00:00",45.11,45.11,44.26,44.92,25129.7
