,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",3.7455,3.7549,3.5824,3.6447,4922293
1,"2021-06-08, 04:00:00",3.6452,3.6659,3.339,3.3992,7083482
2,"2021-06-08, 08:00:00",3.3992,3.4534,3.09,3.1992,7523608
3,"2021-06-08, 12:00:00",3.1993,3.2677,3.1019,3.2068,5947096
4,"2021-06-08, 16:00:00",3.2079,3.27,3.136,3.2259,4405205
5,"2021-06-08, 20:00:00",3.2256,3.2425,2.8384,2.9242,9319925
6,"2021-06-09, 00:00:00",2.9241,3.1253,2.8992,3.1156,5378870
7,"2021-06-09, 04:00:00",3.1157,3.1788,3.0711,3.091,3669520
8,"2021-06-09, 08:00:00",3.0912,3.1137,2.8733,2.9712,5767515
9,"2021-06-09, 12:00:00",2.9704,3.2326,2.9132,3.1729,5515469
10,"2021-06-09, 16:00:00",3.1724,3.1882,3.0341,3.1482,7198268
11,"2021-06-09, 20:00:00",3.1488,3.2141,2.9,3.1513,11268100
12,"2021-06-10, 00:00:00",3.1507,3.2161,3.0133,3.0337,8309079
13,"2021-06-10, 04:00:00",3.0343,3.1928,2.995,3.1915,4420458
14,"2021-06-10, 08:00:00",3.1917,3.26,3.0848,3.0875,6349729
15,"2021-06-10, 12:00:00",3.0878,3.1344,3.0256,3.084,3883668
16,"2021-06-10, 16:00:00",3.0855,3.1182,2.9485,3.0625,6257177
17,"2021-06-10, 20:00:00",3.0625,3.073,2.9328,2.9753,5226082
18,"2021-06-11, 00:00:00",2.976,3.0054,2.8673,2.9133,4372478
19,"2021-06-11, 04:00:00",2.9139,3.088,2.8357,3.0153,7824346
20,"2021-06-11, 08:00:00",3.0161,3.0735,2.8712,2.9257,3968153
21,"2021-06-11, 12:00:00",2.925,2.965,2.8302,2.8696,3041311
22,"2021-06-11, 16:00:00",2.8704,2.9585,2.8579,2.9305,2705561
23,"2021-06-11, 20:00:00",2.9305,2.9718,2.84,2.8623,3926991
24,"2021-06-12, 00:00:00",2.8624,2.8845,2.7785,2.8118,3693219
25,"2021-06-12, 04:00:00",2.8119,2.8373,2.6555,2.7382,4349053
26,"2021-06-12, 08:00:00",2.7372,2.7403,2.5484,2.6059,4506510
