,date,open,high,low,close,volume
0,"2022-03-17, 20:00:00",9.251,9.251,7.231,7.342,12323254
1,"2022-03-18, 00:00:00",7.335,8.246,7.17,7.756,37505357
2,"2022-03-18, 04:00:00",7.754,8.869,7.667,8.531,25099177
3,"2022-03-18, 08:00:00",8.53,11.979,8.516,11.085,71884191
4,"2022-03-18, 12:00:00",11.09,14.3,10.602,13.711,74293451
5,"2022-03-18, 16:00:00",13.721,17.298,13.383,15.35,136554158
6,"2022-03-18, 20:00:00",15.345,16.25,12.634,13.053,101542406
7,"2022-03-19, 00:00:00",13.051,14.914,12.65,14.202,71781342
8,"2022-03-19, 04:00:00",14.202,14.68,12.875,13.067,36520209
9,"2022-03-19, 08:00:00",13.068,14.655,12.665,14.032,35404681
10,"2022-03-19, 12:00:00",14.034,14.248,13.034,13.239,21929442
11,"2022-03-19, 16:00:00",13.24,13.8,12.912,13.39,22737022
12,"2022-03-19, 20:00:00",13.39,14.286,12.92,14.165,28454197
13,"2022-03-20, 00:00:00",14.163,14.499,12.65,13.09,34378078
14,"2022-03-20, 04:00:00",13.09,13.347,11.42,11.736,28308768
15,"2022-03-20, 08:00:00",11.737,11.83,11.211,11.492,27934852
16,"2022-03-20, 12:00:00",11.494,11.958,11.258,11.49,16802158
17,"2022-03-20, 16:00:00",11.489,11.678,10.829,11.013,26084982
18,"2022-03-20, 20:00:00",11.013,11.48,10.649,11.054,32080017
19,"2022-03-21, 00:00:00",11.052,11.063,10.164,10.57,29728844
20,"2022-03-21, 04:00:00",10.571,10.619,9.505,9.634,23607678
21,"2022-03-21, 08:00:00",9.637,10.374,9.579,10.25,34085284
22,"2022-03-21, 12:00:00",10.251,10.998,10.062,10.818,29070972
23,"2022-03-21, 16:00:00",10.817,10.945,10.233,10.633,22876170
24,"2022-03-21, 20:00:00",10.634,10.68,9.952,10.216,21041973
25,"2022-03-22, 00:00:00",10.216,10.325,9.699,9.888,15477103
26,"2022-03-22, 04:00:00",9.887,10.836,9.759,10.521,19423097
