,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",2.302,2.31,2.222,2.26,3447442
1,"2021-06-08, 04:00:00",2.259,2.271,2.041,2.079,4728037
2,"2021-06-08, 08:00:00",2.079,2.118,1.951,2.005,4152550
3,"2021-06-08, 12:00:00",2.005,2.046,1.938,2.021,4265674
4,"2021-06-08, 16:00:00",2.022,2.055,1.954,2.043,3936166
5,"2021-06-08, 20:00:00",2.044,2.048,1.817,1.901,4645123
6,"2021-06-09, 00:00:00",1.902,2.035,1.879,2.028,3235497
7,"2021-06-09, 04:00:00",2.028,2.063,1.98,1.983,1834553
8,"2021-06-09, 08:00:00",1.983,1.997,1.856,1.879,2746385
9,"2021-06-09, 12:00:00",1.879,2.009,1.848,1.993,2431214
10,"2021-06-09, 16:00:00",1.995,2.034,1.964,2.026,2390872
11,"2021-06-09, 20:00:00",2.027,2.139,1.992,2.065,5455455
12,"2021-06-10, 00:00:00",2.067,2.112,1.999,2.014,2720606
13,"2021-06-10, 04:00:00",2.014,2.077,2.006,2.075,1503570
14,"2021-06-10, 08:00:00",2.075,2.082,1.99,1.995,1916367
15,"2021-06-10, 12:00:00",1.994,2.011,1.951,1.987,1501104
16,"2021-06-10, 16:00:00",1.987,2.032,1.94,1.977,2864731
17,"2021-06-10, 20:00:00",1.977,1.99,1.918,1.935,2461403
18,"2021-06-11, 00:00:00",1.936,1.949,1.891,1.935,2019581
19,"2021-06-11, 04:00:00",1.934,1.963,1.876,1.9,2287589
20,"2021-06-11, 08:00:00",1.9,1.917,1.806,1.835,2399371
21,"2021-06-11, 12:00:00",1.835,1.858,1.801,1.825,1272970
22,"2021-06-11, 16:00:00",1.826,1.907,1.799,1.889,3115852
23,"2021-06-11, 20:00:00",1.889,1.92,1.767,1.778,5809174
24,"2021-06-12, 00:00:00",1.778,1.799,1.739,1.762,2242234
25,"2021-06-12, 04:00:00",1.761,1.793,1.686,1.787,2751916
26,"2021-06-12, 08:00:00",1.788,1.789,1.625,1.65,4130726
27,"2021-06-12, 12:00:00",1.65,1.667,1.591,1.64,3386800
28,"2021-06-12, 16:00:00",1.64,1.675,1.58,1.665,2666684
29,"2021-06-12, 20:00:00",1.666,1.747,1.655,1.672,2048073
30,"2021-06-13, 00:00:00",1.672,1.741,1.661,1.695,1543990
31,"2021-06-13, 04:00:00",1.696,1.71,1.653,1.67,1771283
32,"2021-06-13, 08:00:00",1.669,1.753,1.647,1.653,2843350
33,"2021-06-13, 12:00:00",1.654,1.665,1.62,1.638,1889536
34,"2021-06-13, 16:00:00",1.637,1.669,1.63,1.639,841349
35,"2021-06-13, 20:00:00",1.639,1.658,1.596,1.623,1998929
36,"2021-06-14, 00:00:00",1.623,1.714,1.618,1.705,1795949
37,"2021-06-14, 04:00:00",1.706,1.951,1.705,1.913,10466093
38,"2021-06-14, 08:00:00",1.913,1.973,1.885,1.925,5561002
39,"2021-06-14, 12:00:00",1.924,1.949,1.898,1.924,2741415
40,"2021-06-14, 16:00:00",1.923,1.994,1.875,1.992,4820177
41,"2021-06-14, 20:00:00",1.991,2.05,1.946,1.964,10111594
42,"2021-06-15, 00:00:00",1.964,1.97,1.854,1.878,5156336
43,"2021-06-15, 04:00:00",1.878,1.916,1.872,1.901,1818154
44,"2021-06-15, 08:00:00",1.902,1.931,1.88,1.92,1574163
