,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",434.8,435.97,410.0,415.82,47236.2
1,"2021-06-08, 04:00:00",415.76,418.41,370.31,378.5,81036.8
2,"2021-06-08, 08:00:00",378.4,391.84,353.16,369.74,79429.6
3,"2021-06-08, 12:00:00",369.43,376.99,356.28,373.55,57537.7
4,"2021-06-08, 16:00:00",373.56,419.74,366.51,416.44,130112.0
5,"2021-06-08, 20:00:00",416.32,419.76,342.71,364.32,226000.9
6,"2021-06-09, 00:00:00",364.11,398.39,360.61,394.67,118435.2
7,"2021-06-09, 04:00:00",394.47,420.29,386.06,411.05,93307.9
8,"2021-06-09, 08:00:00",411.16,416.36,388.18,406.8,110462.8
9,"2021-06-09, 12:00:00",406.94,443.98,397.35,433.68,139260.6
10,"2021-06-09, 16:00:00",433.79,456.13,423.31,452.21,146264.0
11,"2021-06-09, 20:00:00",452.4,474.34,436.25,469.59,164997.2
12,"2021-06-10, 00:00:00",469.35,486.67,457.43,468.95,161238.1
13,"2021-06-10, 04:00:00",469.27,518.0,462.21,510.41,137835.2
14,"2021-06-10, 08:00:00",510.41,537.0,500.2,501.47,239298.2
15,"2021-06-10, 12:00:00",501.65,515.45,488.43,505.28,180505.4
16,"2021-06-10, 16:00:00",505.36,527.37,485.0,500.94,198312.4
17,"2021-06-10, 20:00:00",500.95,510.0,468.24,474.58,190358.3
18,"2021-06-11, 00:00:00",474.74,495.16,466.0,477.62,128204.4
19,"2021-06-11, 04:00:00",477.76,483.0,458.41,474.33,85549.7
20,"2021-06-11, 08:00:00",474.63,493.7,462.1,485.8,107874.4
21,"2021-06-11, 12:00:00",485.77,489.21,460.04,468.31,83472.6
22,"2021-06-11, 16:00:00",468.52,472.59,453.57,462.97,90277.9
23,"2021-06-11, 20:00:00",462.95,464.23,432.91,433.01,98349.2
24,"2021-06-12, 00:00:00",433.03,439.98,422.53,427.28,94671.6
25,"2021-06-12, 04:00:00",427.36,431.94,404.2,415.74,108949.8
26,"2021-06-12, 08:00:00",415.89,419.06,388.0,400.52,151639.3
27,"2021-06-12, 12:00:00",400.51,411.57,383.07,403.96,118250.3
28,"2021-06-12, 16:00:00",404.2,412.99,390.96,409.73,101303.4
29,"2021-06-12, 20:00:00",409.92,427.99,407.51,410.68,98479.6
30,"2021-06-13, 00:00:00",410.85,419.21,398.17,405.23,63687.1
31,"2021-06-13, 04:00:00",405.23,411.6,393.48,399.79,68033.2
32,"2021-06-13, 08:00:00",399.74,408.83,385.88,388.62,59852.5
33,"2021-06-13, 12:00:00",388.71,401.01,386.12,394.58,46380.0
34,"2021-06-13, 16:00:00",394.58,406.88,392.0,401.92,46407.4
35,"2021-06-13, 20:00:00",401.71,406.12,388.05,393.8,47845.3
36,"2021-06-14, 00:00:00",393.72,440.0,391.52,436.0,129833.7
37,"2021-06-14, 04:00:00",436.19,449.4,431.64,433.93,86679.3
38,"2021-06-14, 08:00:00",433.96,438.55,414.0,419.58,63708.0
39,"2021-06-14, 12:00:00",419.53,426.0,415.84,420.23,42420.0
