,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",3.0559,3.1882,2.9696,3.1368,17945624
1,"2021-06-08, 04:00:00",3.1367,3.19,2.8,2.8785,25754090
2,"2021-06-08, 08:00:00",2.881,2.8842,2.5,2.5606,22250122
3,"2021-06-08, 12:00:00",2.5595,2.6449,2.4641,2.6162,10292528
4,"2021-06-08, 16:00:00",2.6143,2.647,2.4958,2.5788,7212671
5,"2021-06-08, 20:00:00",2.5789,2.5825,2.2751,2.3516,10379487
6,"2021-06-09, 00:00:00",2.3502,2.474,2.3202,2.4602,5870045
7,"2021-06-09, 04:00:00",2.4613,2.66,2.4278,2.6406,7309336
8,"2021-06-09, 08:00:00",2.6402,2.6471,2.36,2.4194,6922653
9,"2021-06-09, 12:00:00",2.4211,2.5022,2.3658,2.4333,4227941
10,"2021-06-09, 16:00:00",2.4316,2.465,2.3842,2.4463,3757403
11,"2021-06-09, 20:00:00",2.4463,2.479,2.3841,2.4672,4159446
12,"2021-06-10, 00:00:00",2.4691,2.499,2.415,2.4443,3997511
13,"2021-06-10, 04:00:00",2.4453,2.5565,2.4361,2.5436,2602171
14,"2021-06-10, 08:00:00",2.5431,2.566,2.4459,2.4856,2635891
15,"2021-06-10, 12:00:00",2.4837,2.57,2.442,2.5513,2853404
16,"2021-06-10, 16:00:00",2.5489,2.6847,2.4608,2.575,4027869
17,"2021-06-10, 20:00:00",2.5738,2.6322,2.4972,2.5627,3264578
18,"2021-06-11, 00:00:00",2.5619,2.7075,2.54,2.6202,5650508
19,"2021-06-11, 04:00:00",2.6195,2.688,2.525,2.6224,3023234
20,"2021-06-11, 08:00:00",2.6233,2.6302,2.4696,2.5295,3233538
21,"2021-06-11, 12:00:00",2.5291,2.7331,2.5008,2.6246,4941309
22,"2021-06-11, 16:00:00",2.6249,2.6294,2.4532,2.5067,3111857
23,"2021-06-11, 20:00:00",2.5067,2.5146,2.331,2.3624,2862458
24,"2021-06-12, 00:00:00",2.3607,2.3854,2.3084,2.353,1761239
25,"2021-06-12, 04:00:00",2.3525,2.3688,2.21,2.2598,1741917
26,"2021-06-12, 08:00:00",2.2594,2.3437,2.0498,2.0872,3982865
27,"2021-06-12, 12:00:00",2.0878,2.1084,2.0246,2.073,2271633
28,"2021-06-12, 16:00:00",2.0736,2.1,1.9981,2.068,2394044
29,"2021-06-12, 20:00:00",2.0684,2.1988,2.0474,2.1212,4316888
30,"2021-06-13, 00:00:00",2.1212,2.1461,2.0594,2.0937,2807270
31,"2021-06-13, 04:00:00",2.0939,2.1294,2.0855,2.1023,871414
32,"2021-06-13, 08:00:00",2.1024,2.243,2.0662,2.1014,3053110
33,"2021-06-13, 12:00:00",2.1002,2.1233,2.0534,2.0672,1079956
34,"2021-06-13, 16:00:00",2.0657,2.102,2.0593,2.0714,879292
35,"2021-06-13, 20:00:00",2.0715,2.0879,2.0121,2.0422,1190906
36,"2021-06-14, 00:00:00",2.0424,2.1498,2.0292,2.1351,1327124
37,"2021-06-14, 04:00:00",2.1367,2.2244,2.1367,2.1816,1543726
38,"2021-06-14, 08:00:00",2.1817,2.2,2.1268,2.139,2854255
39,"2021-06-14, 12:00:00",2.1402,2.1876,2.1154,2.1732,1336659
40,"2021-06-14, 16:00:00",2.1733,2.1737,2.1274,2.1324,1062307
41,"2021-06-14, 20:00:00",2.1331,2.2349,2.1227,2.232,2379583
42,"2021-06-15, 00:00:00",2.232,2.2527,2.172,2.201,1681795
43,"2021-06-15, 04:00:00",2.2012,2.2436,2.1896,2.24,997077
44,"2021-06-15, 08:00:00",2.2407,2.2584,2.1925,2.2266,1433501
45,"2021-06-15, 12:00:00",2.2263,2.2463,2.202,2.2312,959847
46,"2021-06-15, 16:00:00",2.2312,2.2391,2.1499,2.1705,1335153
47,"2021-06-15, 20:00:00",2.1705,2.1962,2.1229,2.1556,966896
48,"2021-06-16, 00:00:00",2.1551,2.21,2.1448,2.16,982907
49,"2021-06-16, 04:00:00",2.1585,2.2094,2.1373,2.1751,915899
50,"2021-06-16, 08:00:00",2.1747,2.204,2.1373,2.1486,1647639
51,"2021-06-16, 12:00:00",2.1487,2.2025,2.1423,2.1986,807216
52,"2021-06-16, 16:00:00",2.1971,2.2026,2.0641,2.0758,1222504
53,"2021-06-16, 20:00:00",2.0767,2.1037,2.0537,2.0876,839187
54,"2021-06-17, 00:00:00",2.0865,2.1535,2.0612,2.1064,1711518
55,"2021-06-17, 04:00:00",2.1071,2.1351,2.0312,2.0599,1050006
56,"2021-06-17, 08:00:00",2.0597,2.1731,2.0495,2.1177,1761257
57,"2021-06-17, 12:00:00",2.1178,2.1281,2.0912,2.1114,563838
58,"2021-06-17, 16:00:00",2.111,2.1184,2.0802,2.0802,745143
59,"2021-06-17, 20:00:00",2.0802,2.0826,2.0338,2.0797,965389
60,"2021-06-18, 00:00:00",2.0791,2.0817,1.9903,2.048,2131505
61,"2021-06-18, 04:00:00",2.0458,2.064,2.0026,2.052,1092518
62,"2021-06-18, 08:00:00",2.0518,2.0947,1.9425,1.9771,1984764
63,"2021-06-18, 12:00:00",1.9782,1.9807,1.9254,1.9469,1148845
64,"2021-06-18, 16:00:00",1.9476,1.9641,1.8947,1.9289,1603492
65,"2021-06-18, 20:00:00",1.9274,1.9369,1.8173,1.8188,1361168
66,"2021-06-19, 00:00:00",1.8192,1.8894,1.7732,1.8022,1433320
67,"2021-06-19, 04:00:00",1.8025,1.8507,1.797,1.8447,974293
68,"2021-06-19, 08:00:00",1.8447,1.8776,1.7576,1.7711,1176190
69,"2021-06-19, 12:00:00",1.7694,1.8342,1.748,1.816,1227080
70,"2021-06-19, 16:00:00",1.816,1.8254,1.7911,1.8045,838752
71,"2021-06-19, 20:00:00",1.8046,1.8349,1.7864,1.8246,1007287
72,"2021-06-20, 00:00:00",1.8248,1.8414,1.7656,1.7916,804855
73,"2021-06-20, 04:00:00",1.7916,1.8241,1.7515,1.7539,665265
74,"2021-06-20, 08:00:00",1.7538,1.8306,1.7015,1.8281,1754997
75,"2021-06-20, 12:00:00",1.829,1.8328,1.7501,1.756,2030796
76,"2021-06-20, 16:00:00",1.756,1.7606,1.5544,1.5584,3409435
77,"2021-06-20, 20:00:00",1.5586,1.6126,1.5327,1.5996,4537205
78,"2021-06-21, 00:00:00",1.5998,1.6941,1.5962,1.6914,2445136
79,"2021-06-21, 04:00:00",1.6917,1.7127,1.6541,1.683,2965345
80,"2021-06-21, 08:00:00",1.6833,1.7018,1.5516,1.5644,3081144
81,"2021-06-21, 12:00:00",1.5644,1.573,1.4373,1.4701,6126643
82,"2021-06-21, 16:00:00",1.4695,1.4867,1.3151,1.3777,6738793
83,"2021-06-21, 20:00:00",1.3763,1.4065,1.3106,1.3647,4017381
84,"2021-06-22, 00:00:00",1.365,1.382,1.2713,1.3024,3449423
85,"2021-06-22, 04:00:00",1.3022,1.3245,1.1534,1.1661,5412359
86,"2021-06-22, 08:00:00",1.1657,1.2636,1.076,1.2325,7306262
87,"2021-06-22, 12:00:00",1.2335,1.2386,1.1457,1.1792,3938562
88,"2021-06-22, 16:00:00",1.1798,1.1837,1.0044,1.007,11166876
89,"2021-06-22, 20:00:00",1.0069,1.0502,0.8948,1.0364,18843607
90,"2021-06-23, 00:00:00",1.0373,1.1312,1.0326,1.0488,10779721
91,"2021-06-23, 04:00:00",1.049,1.1174,1.0267,1.0486,5397979
92,"2021-06-23, 08:00:00",1.0489,1.1646,1.0001,1.119,5984460
93,"2021-06-23, 12:00:00",1.1191,1.17,1.117,1.1465,4886851
94,"2021-06-23, 16:00:00",1.147,1.1641,1.1115,1.1302,3308915
95,"2021-06-23, 20:00:00",1.1292,1.1826,1.0971,1.106,3930322
96,"2021-06-24, 00:00:00",1.1079,1.1459,1.0796,1.0806,2596805
97,"2021-06-24, 04:00:00",1.0799,1.1614,1.0642,1.1419,2573894
98,"2021-06-24, 08:00:00",1.1435,1.1907,1.123,1.181,4163629
99,"2021-06-24, 12:00:00",1.181,1.3219,1.1472,1.2775,13777599
100,"2021-06-24, 16:00:00",1.2775,1.3497,1.2732,1.3327,11495971
101,"2021-06-24, 20:00:00",1.3314,1.364,1.2953,1.3074,11016509
102,"2021-06-25, 00:00:00",1.3084,1.3682,1.2905,1.322,7530721
103,"2021-06-25, 04:00:00",1.322,1.3476,1.2865,1.3047,4354634
104,"2021-06-25, 08:00:00",1.3064,1.4357,1.29,1.435,10427071
105,"2021-06-25, 12:00:00",1.4348,1.4793,1.4,1.4277,15679085
106,"2021-06-25, 16:00:00",1.427,1.452,1.3856,1.4083,12091934
107,"2021-06-25, 20:00:00",1.408,1.437,1.335,1.3401,12879680
108,"2021-06-26, 00:00:00",1.3408,1.3555,1.2783,1.3035,9513739
109,"2021-06-26, 04:00:00",1.3028,1.3269,1.2584,1.2585,6567300
110,"2021-06-26, 08:00:00",1.2588,1.2856,1.2166,1.2572,6367604
111,"2021-06-26, 12:00:00",1.2572,1.294,1.1928,1.1973,3724326
112,"2021-06-26, 16:00:00",1.1978,1.2281,1.1663,1.2246,4392333
113,"2021-06-26, 20:00:00",1.2246,1.2332,1.1772,1.2108,3690360
114,"2021-06-27, 00:00:00",1.2105,1.2222,1.1735,1.2014,2767874
115,"2021-06-27, 04:00:00",1.2019,1.2544,1.1763,1.2537,1876159
