,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",1.6443,1.6667,1.605,1.6248,1374772
1,"2021-06-08, 04:00:00",1.6247,1.63,1.4996,1.5192,1673046
2,"2021-06-08, 08:00:00",1.5193,1.5471,1.4123,1.4519,2068324
3,"2021-06-08, 12:00:00",1.4517,1.5068,1.409,1.4769,4686905
4,"2021-06-08, 16:00:00",1.4772,1.5021,1.4211,1.4646,2493779
5,"2021-06-08, 20:00:00",1.4639,1.476,1.321,1.3791,5919944
6,"2021-06-09, 00:00:00",1.3802,1.4478,1.3663,1.4438,2569357
7,"2021-06-09, 04:00:00",1.4446,1.5094,1.435,1.4687,3542424
8,"2021-06-09, 08:00:00",1.4686,1.4793,1.3763,1.3898,2409093
9,"2021-06-09, 12:00:00",1.3896,1.4678,1.3659,1.4471,2285597
10,"2021-06-09, 16:00:00",1.4475,1.4892,1.4125,1.4784,2067555
11,"2021-06-09, 20:00:00",1.479,1.5097,1.4157,1.5037,2445363
12,"2021-06-10, 00:00:00",1.5038,1.5888,1.4821,1.5298,3976892
13,"2021-06-10, 04:00:00",1.5296,1.5971,1.5212,1.5971,1699453
14,"2021-06-10, 08:00:00",1.5971,1.5994,1.5275,1.5304,1643891
15,"2021-06-10, 12:00:00",1.5301,1.5692,1.506,1.5619,1738986
16,"2021-06-10, 16:00:00",1.5625,1.5856,1.5051,1.5424,2429778
17,"2021-06-10, 20:00:00",1.5424,1.5442,1.4847,1.4955,1765928
18,"2021-06-11, 00:00:00",1.4959,1.5361,1.4705,1.5153,1600223
19,"2021-06-11, 04:00:00",1.5152,1.5209,1.464,1.4969,1243359
20,"2021-06-11, 08:00:00",1.4974,1.5077,1.419,1.4629,1545445
21,"2021-06-11, 12:00:00",1.4629,1.4752,1.429,1.4566,1114385
22,"2021-06-11, 16:00:00",1.4577,1.5229,1.4455,1.5159,1816043
23,"2021-06-11, 20:00:00",1.5169,1.555,1.4842,1.4945,1956328
24,"2021-06-12, 00:00:00",1.4936,1.5216,1.4683,1.4886,1696039
25,"2021-06-12, 04:00:00",1.4888,1.5138,1.4351,1.4627,1659521
26,"2021-06-12, 08:00:00",1.4645,1.4684,1.3582,1.3822,1930871
27,"2021-06-12, 12:00:00",1.3825,1.4347,1.3476,1.4237,2439612
28,"2021-06-12, 16:00:00",1.4237,1.49,1.3983,1.4604,4463331
29,"2021-06-12, 20:00:00",1.4597,1.4866,1.4387,1.4783,2707029
30,"2021-06-13, 00:00:00",1.4788,1.5142,1.4546,1.4595,1846858
31,"2021-06-13, 04:00:00",1.4596,1.4856,1.4247,1.4368,1338519
32,"2021-06-13, 08:00:00",1.4364,1.4946,1.4177,1.4188,2449376
33,"2021-06-13, 12:00:00",1.4185,1.5184,1.413,1.4971,3895325
34,"2021-06-13, 16:00:00",1.4971,1.5347,1.4913,1.5159,3976224
35,"2021-06-13, 20:00:00",1.5158,1.5175,1.4659,1.484,2847683
36,"2021-06-14, 00:00:00",1.4838,1.5326,1.4716,1.4949,2269999
37,"2021-06-14, 04:00:00",1.4951,1.5488,1.4936,1.519,1472278
38,"2021-06-14, 08:00:00",1.5192,1.55,1.4996,1.532,1646605
39,"2021-06-14, 12:00:00",1.5322,1.5792,1.525,1.5583,1310911
40,"2021-06-14, 16:00:00",1.5587,1.5788,1.5179,1.522,2501236
41,"2021-06-14, 20:00:00",1.5212,1.607,1.5067,1.6063,3857824
42,"2021-06-15, 00:00:00",1.6065,1.6329,1.56,1.5822,2335317
43,"2021-06-15, 04:00:00",1.5828,1.6288,1.5757,1.6173,1429383
44,"2021-06-15, 08:00:00",1.6176,1.6505,1.5973,1.6161,1339916
45,"2021-06-15, 12:00:00",1.6161,1.7156,1.6101,1.6791,2977002
46,"2021-06-15, 16:00:00",1.6789,1.7377,1.6703,1.6856,5022576
47,"2021-06-15, 20:00:00",1.6857,1.8,1.6825,1.777,8098329
48,"2021-06-16, 00:00:00",1.7764,1.8606,1.7436,1.8137,5426821
49,"2021-06-16, 04:00:00",1.8132,1.8944,1.807,1.8169,7616265
50,"2021-06-16, 08:00:00",1.8171,1.8689,1.7832,1.7977,3780507
51,"2021-06-16, 12:00:00",1.7981,1.932,1.7968,1.9155,6704349
52,"2021-06-16, 16:00:00",1.9164,1.9364,1.8271,1.8647,7635276
53,"2021-06-16, 20:00:00",1.8641,1.87,1.799,1.851,5403307
54,"2021-06-17, 00:00:00",1.8501,1.9061,1.8092,1.8789,6826166
55,"2021-06-17, 04:00:00",1.8787,1.882,1.8136,1.8342,5000767
56,"2021-06-17, 08:00:00",1.8333,1.8673,1.8014,1.8411,2925556
57,"2021-06-17, 12:00:00",1.8425,1.8905,1.8378,1.8642,2438118
58,"2021-06-17, 16:00:00",1.8645,1.8879,1.8399,1.8699,2227435
59,"2021-06-17, 20:00:00",1.8699,1.9834,1.8337,1.9603,5037095
60,"2021-06-18, 00:00:00",1.9595,1.9627,1.8722,1.8759,3844506
61,"2021-06-18, 04:00:00",1.8759,1.9294,1.8638,1.9283,2466843
62,"2021-06-18, 08:00:00",1.9277,1.9764,1.8908,1.9067,6383238
63,"2021-06-18, 12:00:00",1.9073,1.9119,1.8453,1.8514,2520064
64,"2021-06-18, 16:00:00",1.8518,1.8633,1.8025,1.8148,3661627
65,"2021-06-18, 20:00:00",1.8149,1.8186,1.735,1.7437,3016945
66,"2021-06-19, 00:00:00",1.7442,1.8032,1.7312,1.7481,3012009
67,"2021-06-19, 04:00:00",1.7469,1.8575,1.7445,1.8271,3357532
68,"2021-06-19, 08:00:00",1.8277,1.8811,1.7955,1.8022,2109316
69,"2021-06-19, 12:00:00",1.804,1.848,1.7859,1.8375,1843322
70,"2021-06-19, 16:00:00",1.8377,1.8766,1.8217,1.8537,2460616
71,"2021-06-19, 20:00:00",1.8544,1.8936,1.8066,1.8312,2526083
72,"2021-06-20, 00:00:00",1.8312,1.839,1.7699,1.7832,1455919
73,"2021-06-20, 04:00:00",1.7831,1.7902,1.7326,1.7392,1092478
74,"2021-06-20, 08:00:00",1.7389,1.774,1.7271,1.768,1836887
75,"2021-06-20, 12:00:00",1.768,1.79,1.7403,1.7436,1525184
76,"2021-06-20, 16:00:00",1.7435,1.7455,1.6383,1.6395,2698804
77,"2021-06-20, 20:00:00",1.6404,1.6813,1.6081,1.6802,2950118
78,"2021-06-21, 00:00:00",1.6797,1.767,1.6713,1.7655,2315782
79,"2021-06-21, 04:00:00",1.7659,1.7885,1.7597,1.7834,1268371
80,"2021-06-21, 08:00:00",1.7837,1.798,1.7301,1.7303,1458163
81,"2021-06-21, 12:00:00",1.7303,1.8182,1.672,1.6908,5561022
82,"2021-06-21, 16:00:00",1.6905,1.7337,1.5852,1.6825,4847159
83,"2021-06-21, 20:00:00",1.6811,1.7517,1.6215,1.681,6450464
84,"2021-06-22, 00:00:00",1.6809,1.6985,1.597,1.6273,4858504
85,"2021-06-22, 04:00:00",1.6288,1.643,1.4631,1.4747,3844666
86,"2021-06-22, 08:00:00",1.475,1.5769,1.4381,1.5557,3097669
87,"2021-06-22, 12:00:00",1.5556,1.5673,1.5059,1.5196,2844766
88,"2021-06-22, 16:00:00",1.5206,1.5223,1.3421,1.3429,6501780
89,"2021-06-22, 20:00:00",1.3437,1.3944,1.2366,1.3898,6189572
90,"2021-06-23, 00:00:00",1.3897,1.4655,1.3822,1.4169,3762809
91,"2021-06-23, 04:00:00",1.4147,1.48,1.41,1.4434,2623086
92,"2021-06-23, 08:00:00",1.4434,1.55,1.3834,1.5153,3562687
93,"2021-06-23, 12:00:00",1.5142,1.5491,1.4976,1.5349,1990399
94,"2021-06-23, 16:00:00",1.536,1.5846,1.5255,1.5525,4120421
95,"2021-06-23, 20:00:00",1.5527,1.6197,1.4951,1.5048,3555128
96,"2021-06-24, 00:00:00",1.5045,1.5453,1.473,1.4735,1530228
97,"2021-06-24, 04:00:00",1.4737,1.5754,1.4704,1.5701,1090249
98,"2021-06-24, 08:00:00",1.5713,1.5905,1.4457,1.4613,2496770
99,"2021-06-24, 12:00:00",1.4602,1.4843,1.4309,1.4518,3755255
100,"2021-06-24, 16:00:00",1.4525,1.4862,1.4449,1.4824,2505552
101,"2021-06-24, 20:00:00",1.4835,1.4996,1.458,1.4664,1699352
102,"2021-06-25, 00:00:00",1.4665,1.4993,1.4564,1.4943,2186231
103,"2021-06-25, 04:00:00",1.4944,1.4972,1.443,1.4521,1817608
104,"2021-06-25, 08:00:00",1.4519,1.469,1.4111,1.4527,2351813
105,"2021-06-25, 12:00:00",1.4521,1.4522,1.3759,1.3913,2037085
106,"2021-06-25, 16:00:00",1.3903,1.423,1.3595,1.3694,2328699
107,"2021-06-25, 20:00:00",1.3705,1.3996,1.342,1.3549,1994104
108,"2021-06-26, 00:00:00",1.3558,1.3777,1.3048,1.346,2424947
109,"2021-06-26, 04:00:00",1.3464,1.3735,1.306,1.3492,1300276
110,"2021-06-26, 08:00:00",1.3492,1.4002,1.3205,1.3764,2990980
111,"2021-06-26, 12:00:00",1.3762,1.399,1.2798,1.2856,2510217
112,"2021-06-26, 16:00:00",1.2859,1.3168,1.2657,1.3129,4286269
113,"2021-06-26, 20:00:00",1.3128,1.3343,1.2542,1.2965,3305452
114,"2021-06-27, 00:00:00",1.2969,1.3212,1.2581,1.3111,2288510
115,"2021-06-27, 04:00:00",1.3112,1.3355,1.2804,1.3325,1331580
116,"2021-06-27, 08:00:00",1.3329,1.3523,1.3156,1.3397,2283500
117,"2021-06-27, 12:00:00",1.3397,1.3918,1.3131,1.3892,2924102
118,"2021-06-27, 16:00:00",1.3886,1.4158,1.3701,1.411,4951818
119,"2021-06-27, 20:00:00",1.4111,1.4156,1.364,1.3836,3599696
120,"2021-06-28, 00:00:00",1.3836,1.4015,1.3582,1.3915,2676317
121,"2021-06-28, 04:00:00",1.3915,1.435,1.3584,1.4336,2374982
122,"2021-06-28, 08:00:00",1.4341,1.4402,1.4137,1.4158,1177088
123,"2021-06-28, 12:00:00",1.4158,1.457,1.4041,1.455,1202208
124,"2021-06-28, 16:00:00",1.4547,1.4589,1.4173,1.4425,1397097
125,"2021-06-28, 20:00:00",1.4428,1.4986,1.4341,1.4986,1571540
126,"2021-06-29, 00:00:00",1.4983,1.512,1.4769,1.4894,1272429
127,"2021-06-29, 04:00:00",1.4889,1.5252,1.4484,1.4615,1526824
128,"2021-06-29, 08:00:00",1.4615,1.5237,1.4547,1.4936,1633123
129,"2021-06-29, 12:00:00",1.4933,1.5578,1.493,1.5272,1785874
130,"2021-06-29, 16:00:00",1.5271,1.6231,1.5257,1.6116,2107109
131,"2021-06-29, 20:00:00",1.6114,1.71,1.6088,1.6813,2506921
132,"2021-06-30, 00:00:00",1.6828,1.7472,1.6637,1.7433,1931139
133,"2021-06-30, 04:00:00",1.7434,1.7708,1.6758,1.7569,3559982
134,"2021-06-30, 08:00:00",1.7572,1.804,1.6765,1.6925,3784012
135,"2021-06-30, 12:00:00",1.6925,1.7561,1.6727,1.725,4618283
136,"2021-06-30, 16:00:00",1.7252,1.7515,1.6547,1.6837,3598965
137,"2021-06-30, 20:00:00",1.6837,1.6904,1.5926,1.6152,3294959
138,"2021-07-01, 00:00:00",1.6151,1.6998,1.5987,1.6986,1315782
139,"2021-07-01, 04:00:00",1.6981,1.7276,1.6655,1.6861,1447348
140,"2021-07-01, 08:00:00",1.6862,1.688,1.6187,1.6187,1132236
141,"2021-07-01, 12:00:00",1.6187,1.6608,1.5825,1.5841,2246119
142,"2021-07-01, 16:00:00",1.5847,1.625,1.5614,1.624,1723625
143,"2021-07-01, 20:00:00",1.6227,1.6479,1.5879,1.6236,1266010
144,"2021-07-02, 00:00:00",1.6239,1.6466,1.5978,1.6331,1533167
145,"2021-07-02, 04:00:00",1.6331,1.71,1.632,1.6546,3448000
146,"2021-07-02, 08:00:00",1.654,1.682,1.5973,1.6019,1483168
147,"2021-07-02, 12:00:00",1.6013,1.6375,1.5818,1.6365,1828591
