,date,open,high,low,close,volume
0,"2021-06-08, 00:00:00",1.058,1.0653,1.0151,1.0245,2769382.5
1,"2021-06-08, 04:00:00",1.0237,1.0284,0.9421,0.9521,5145824.7
2,"2021-06-08, 08:00:00",0.9525,0.9678,0.8747,0.903,5814983.7
3,"2021-06-08, 12:00:00",0.903,0.9235,0.8795,0.9159,4152917.2
4,"2021-06-08, 16:00:00",0.9152,0.9324,0.89,0.9226,3351239.4
5,"2021-06-08, 20:00:00",0.9225,0.9269,0.8276,0.8585,6298432.1
6,"2021-06-09, 00:00:00",0.8585,0.9142,0.852,0.9115,4682656.6
7,"2021-06-09, 04:00:00",0.9116,0.9566,0.9078,0.9507,4846694.6
8,"2021-06-09, 08:00:00",0.9505,0.9698,0.9211,0.9603,7327357.7
9,"2021-06-09, 12:00:00",0.9601,0.9836,0.9452,0.9489,6483626.0
10,"2021-06-09, 16:00:00",0.9488,0.9683,0.9276,0.9616,5797954.3
11,"2021-06-09, 20:00:00",0.9622,0.9712,0.9262,0.9634,5426332.4
12,"2021-06-10, 00:00:00",0.9639,0.9725,0.9336,0.9404,3523022.4
13,"2021-06-10, 04:00:00",0.9409,0.9652,0.9323,0.9652,2690746.0
14,"2021-06-10, 08:00:00",0.9653,0.9758,0.9483,0.9545,3852433.9
15,"2021-06-10, 12:00:00",0.9546,0.9846,0.9435,0.9666,4166476.4
16,"2021-06-10, 16:00:00",0.9666,0.979,0.9354,0.9661,4263881.0
17,"2021-06-10, 20:00:00",0.9659,0.9665,0.9216,0.9308,3785578.3
18,"2021-06-11, 00:00:00",0.9307,0.9416,0.9157,0.9292,3736197.8
19,"2021-06-11, 04:00:00",0.9293,0.9489,0.9102,0.9339,3070699.8
20,"2021-06-11, 08:00:00",0.934,0.9447,0.8888,0.9172,4006120.5
21,"2021-06-11, 12:00:00",0.9171,0.9271,0.905,0.9262,2222175.5
22,"2021-06-11, 16:00:00",0.926,0.9489,0.9215,0.9292,2978155.1
23,"2021-06-11, 20:00:00",0.9293,0.9379,0.8901,0.8928,3151011.4
24,"2021-06-12, 00:00:00",0.8928,0.9001,0.8688,0.8767,2998254.7
25,"2021-06-12, 04:00:00",0.8773,0.8892,0.8501,0.8635,5693940.9
26,"2021-06-12, 08:00:00",0.8638,0.8638,0.8107,0.8221,4910093.3
27,"2021-06-12, 12:00:00",0.822,0.8428,0.8011,0.837,3935387.6
28,"2021-06-12, 16:00:00",0.837,0.8649,0.819,0.8633,3978070.8
29,"2021-06-12, 20:00:00",0.8634,0.8897,0.8608,0.8648,4533043.9
30,"2021-06-13, 00:00:00",0.8651,0.8875,0.8587,0.867,2528256.3
31,"2021-06-13, 04:00:00",0.867,0.874,0.8447,0.8508,1917631.1
32,"2021-06-13, 08:00:00",0.8509,0.8638,0.829,0.83,1892907.4
33,"2021-06-13, 12:00:00",0.8293,0.837,0.8176,0.8278,2482497.3
34,"2021-06-13, 16:00:00",0.8275,0.8419,0.8179,0.8287,3177696.5
35,"2021-06-13, 20:00:00",0.8283,0.8342,0.8071,0.8211,2965045.9
36,"2021-06-14, 00:00:00",0.8211,0.8601,0.8176,0.8483,5596006.0
37,"2021-06-14, 04:00:00",0.8487,0.8997,0.8486,0.8948,6510461.2
38,"2021-06-14, 08:00:00",0.8944,0.9068,0.8815,0.8934,3326987.6
39,"2021-06-14, 12:00:00",0.8938,0.8988,0.8813,0.8841,3119548.3
40,"2021-06-14, 16:00:00",0.8842,0.8854,0.8654,0.8714,2540956.5
41,"2021-06-14, 20:00:00",0.8714,0.928,0.8669,0.9268,5191460.2
42,"2021-06-15, 00:00:00",0.9266,0.9334,0.8908,0.9096,3145958.0
43,"2021-06-15, 04:00:00",0.9097,0.9305,0.902,0.9096,2683549.6
44,"2021-06-15, 08:00:00",0.9098,0.9378,0.903,0.9237,3143128.6
45,"2021-06-15, 12:00:00",0.9239,0.9513,0.9214,0.9483,2829144.6
46,"2021-06-15, 16:00:00",0.9487,0.9573,0.9203,0.9306,6679500.3
47,"2021-06-15, 20:00:00",0.9308,0.9495,0.8997,0.9076,5628671.2
48,"2021-06-16, 00:00:00",0.9077,0.9251,0.9001,0.9024,2747382.5
49,"2021-06-16, 04:00:00",0.9023,0.9034,0.8869,0.8918,2863529.2
50,"2021-06-16, 08:00:00",0.8918,0.8971,0.8725,0.8949,3837850.5
51,"2021-06-16, 12:00:00",0.8949,0.9169,0.8938,0.9114,2471207.6
52,"2021-06-16, 16:00:00",0.9117,0.9398,0.8826,0.8848,4343135.0
53,"2021-06-16, 20:00:00",0.8847,0.8917,0.8657,0.8744,3162061.3
54,"2021-06-17, 00:00:00",0.8742,0.8881,0.8592,0.884,3163289.9
55,"2021-06-17, 04:00:00",0.884,0.8853,0.8543,0.8659,1825438.0
56,"2021-06-17, 08:00:00",0.866,0.89,0.862,0.8894,2062250.9
57,"2021-06-17, 12:00:00",0.8899,0.8991,0.8889,0.8923,1618875.4
58,"2021-06-17, 16:00:00",0.8922,0.895,0.8804,0.8933,2239470.4
59,"2021-06-17, 20:00:00",0.8932,0.8939,0.8718,0.8828,1936414.4
60,"2021-06-18, 00:00:00",0.8829,0.8844,0.848,0.8543,4452527.0
61,"2021-06-18, 04:00:00",0.8543,0.8766,0.8496,0.8748,1930414.4
62,"2021-06-18, 08:00:00",0.8747,0.8761,0.8408,0.8635,2139875.0
63,"2021-06-18, 12:00:00",0.8637,0.8787,0.8591,0.8733,1598768.0
64,"2021-06-18, 16:00:00",0.8734,0.882,0.8437,0.8585,2182197.1
65,"2021-06-18, 20:00:00",0.8584,0.86,0.807,0.8087,2852224.1
66,"2021-06-19, 00:00:00",0.8093,0.8291,0.7792,0.7864,5426524.6
67,"2021-06-19, 04:00:00",0.7861,0.8162,0.7838,0.8155,2438302.0
68,"2021-06-19, 08:00:00",0.8159,0.8191,0.7835,0.7892,1832301.6
69,"2021-06-19, 12:00:00",0.789,0.8185,0.7882,0.8136,1381401.7
70,"2021-06-19, 16:00:00",0.8138,0.8188,0.8028,0.8129,1481153.5
71,"2021-06-19, 20:00:00",0.813,0.8296,0.8094,0.8285,3324882.6
72,"2021-06-20, 00:00:00",0.8283,0.8309,0.7971,0.8119,2214251.6
73,"2021-06-20, 04:00:00",0.812,0.8161,0.7842,0.7871,1574951.4
74,"2021-06-20, 08:00:00",0.7874,0.7895,0.7696,0.7777,2394485.9
75,"2021-06-20, 12:00:00",0.7782,0.7933,0.7746,0.7803,1508057.8
76,"2021-06-20, 16:00:00",0.7802,0.7818,0.7313,0.7318,4953215.4
77,"2021-06-20, 20:00:00",0.7318,0.7593,0.7237,0.756,3037474.3
78,"2021-06-21, 00:00:00",0.7563,0.7777,0.7473,0.7754,3024841.0
79,"2021-06-21, 04:00:00",0.7753,0.797,0.7735,0.7898,3043537.6
80,"2021-06-21, 08:00:00",0.7899,0.7978,0.7477,0.7485,2949928.1
81,"2021-06-21, 12:00:00",0.7481,0.7531,0.698,0.7074,7014240.6
82,"2021-06-21, 16:00:00",0.7073,0.7192,0.6501,0.6718,8675866.0
83,"2021-06-21, 20:00:00",0.6719,0.6829,0.6412,0.668,7555799.6
84,"2021-06-22, 00:00:00",0.668,0.6735,0.6399,0.6566,4520718.2
85,"2021-06-22, 04:00:00",0.6566,0.6639,0.5986,0.6009,7767373.1
86,"2021-06-22, 08:00:00",0.601,0.6439,0.5828,0.6399,7381156.6
87,"2021-06-22, 12:00:00",0.64,0.6421,0.61,0.6152,3668582.7
88,"2021-06-22, 16:00:00",0.6152,0.6164,0.5485,0.5493,8644899.7
89,"2021-06-22, 20:00:00",0.549,0.5785,0.4972,0.5733,12098348.6
90,"2021-06-23, 00:00:00",0.5732,0.6047,0.5691,0.5786,8320770.8
91,"2021-06-23, 04:00:00",0.578,0.6046,0.5652,0.5767,5465031.4
92,"2021-06-23, 08:00:00",0.5767,0.6401,0.5523,0.637,5795468.7
93,"2021-06-23, 12:00:00",0.6366,0.6496,0.6251,0.6414,4405029.6
94,"2021-06-23, 16:00:00",0.6414,0.6517,0.6308,0.6387,3704463.4
95,"2021-06-23, 20:00:00",0.6388,0.659,0.6275,0.6289,6671008.6
96,"2021-06-24, 00:00:00",0.6288,0.6421,0.6062,0.6063,5314550.0
97,"2021-06-24, 04:00:00",0.6062,0.6432,0.6059,0.6414,3687170.7
98,"2021-06-24, 08:00:00",0.6413,0.6498,0.6077,0.6199,4585744.6
99,"2021-06-24, 12:00:00",0.6198,0.6488,0.6109,0.6397,5096992.2
100,"2021-06-24, 16:00:00",0.64,0.6714,0.6396,0.6679,7624307.9
101,"2021-06-24, 20:00:00",0.6679,0.6776,0.6599,0.6655,4986205.2
102,"2021-06-25, 00:00:00",0.6656,0.6829,0.6613,0.6705,4467944.9
103,"2021-06-25, 04:00:00",0.6706,0.6729,0.655,0.6625,2498198.6
104,"2021-06-25, 08:00:00",0.6626,0.6755,0.6463,0.6738,4994740.4
105,"2021-06-25, 12:00:00",0.6735,0.683,0.6546,0.6583,6739788.6
106,"2021-06-25, 16:00:00",0.6584,0.6585,0.6165,0.6212,6831210.0
107,"2021-06-25, 20:00:00",0.6216,0.6363,0.61,0.6143,6453417.6
108,"2021-06-26, 00:00:00",0.6143,0.637,0.5922,0.6227,9021002.0
109,"2021-06-26, 04:00:00",0.6226,0.6291,0.5953,0.6012,5372110.9
110,"2021-06-26, 08:00:00",0.6012,0.623,0.5945,0.6124,7314777.1
111,"2021-06-26, 12:00:00",0.6125,0.6242,0.5838,0.5842,5792717.4
112,"2021-06-26, 16:00:00",0.5842,0.6029,0.5669,0.5995,8184517.9
113,"2021-06-26, 20:00:00",0.5991,0.6094,0.5752,0.585,8813606.5
114,"2021-06-27, 00:00:00",0.5854,0.594,0.5665,0.5887,5924856.6
115,"2021-06-27, 04:00:00",0.5889,0.6007,0.5722,0.6002,3952838.3
116,"2021-06-27, 08:00:00",0.5999,0.6256,0.5921,0.613,6781774.4
117,"2021-06-27, 12:00:00",0.613,0.6175,0.6007,0.6129,3657855.6
118,"2021-06-27, 16:00:00",0.6128,0.6183,0.5892,0.5976,4786660.5
119,"2021-06-27, 20:00:00",0.5977,0.6021,0.5893,0.596,3866180.6
120,"2021-06-28, 00:00:00",0.596,0.5995,0.5815,0.5894,4451452.7
121,"2021-06-28, 04:00:00",0.5894,0.6367,0.5807,0.6367,6542090.2
122,"2021-06-28, 08:00:00",0.6366,0.6428,0.6285,0.6427,4661843.9
123,"2021-06-28, 12:00:00",0.6426,0.6545,0.6368,0.6545,5123792.6
124,"2021-06-28, 16:00:00",0.6544,0.66,0.64,0.6591,6472262.8
125,"2021-06-28, 20:00:00",0.6591,0.7025,0.6525,0.6983,16312336.9
126,"2021-06-29, 00:00:00",0.6984,0.7085,0.6821,0.7065,8987147.5
127,"2021-06-29, 04:00:00",0.7067,0.7162,0.6881,0.7019,6807525.4
128,"2021-06-29, 08:00:00",0.7025,0.7154,0.6917,0.7061,7945199.9
129,"2021-06-29, 12:00:00",0.7061,0.7246,0.7051,0.715,8504679.1
130,"2021-06-29, 16:00:00",0.715,0.7287,0.6987,0.7278,9311077.3
131,"2021-06-29, 20:00:00",0.7274,0.7496,0.7207,0.733,7323354.4
132,"2021-06-30, 00:00:00",0.7333,0.7377,0.7139,0.7236,4982329.5
133,"2021-06-30, 04:00:00",0.7236,0.7304,0.7034,0.7253,5434905.0
134,"2021-06-30, 08:00:00",0.725,0.741,0.7083,0.7102,7329855.0
135,"2021-06-30, 12:00:00",0.7102,0.7154,0.693,0.7113,5541997.6
136,"2021-06-30, 16:00:00",0.7113,0.7151,0.6848,0.6972,6156856.1
137,"2021-06-30, 20:00:00",0.6975,0.7058,0.6723,0.6782,6161990.6
138,"2021-07-01, 00:00:00",0.6783,0.7038,0.6699,0.7028,3666811.0
139,"2021-07-01, 04:00:00",0.7028,0.7414,0.7021,0.7412,3782388.1
140,"2021-07-01, 08:00:00",0.7412,0.7656,0.728,0.731,9144120.6
141,"2021-07-01, 12:00:00",0.7306,0.7581,0.7201,0.7211,7069793.3
142,"2021-07-01, 16:00:00",0.7216,0.7283,0.7012,0.719,6865194.9
143,"2021-07-01, 20:00:00",0.7187,0.7187,0.6821,0.697,6451275.9
144,"2021-07-02, 00:00:00",0.6969,0.6987,0.6752,0.6809,4903886.3
145,"2021-07-02, 04:00:00",0.681,0.6963,0.681,0.6887,3014671.5
146,"2021-07-02, 08:00:00",0.6878,0.6971,0.6622,0.6651,4392516.8
147,"2021-07-02, 12:00:00",0.6654,0.6747,0.6576,0.6728,4174294.6
148,"2021-07-02, 16:00:00",0.6724,0.6771,0.6535,0.6572,3252043.6
149,"2021-07-02, 20:00:00",0.6573,0.6838,0.6536,0.6833,2857633.5
150,"2021-07-03, 00:00:00",0.6834,0.6844,0.6618,0.6648,2508761.1
151,"2021-07-03, 04:00:00",0.6649,0.6961,0.6574,0.6901,2824608.4
152,"2021-07-03, 08:00:00",0.69,0.6913,0.6665,0.6702,3012365.7
153,"2021-07-03, 12:00:00",0.6707,0.6955,0.6685,0.6917,2984463.1
154,"2021-07-03, 16:00:00",0.6918,0.7047,0.6896,0.6942,3360133.1
155,"2021-07-03, 20:00:00",0.6941,0.7025,0.6916,0.702,1860260.4
156,"2021-07-04, 00:00:00",0.702,0.713,0.6984,0.7085,1868638.8
157,"2021-07-04, 04:00:00",0.7087,0.7102,0.6907,0.7024,1726977.1
158,"2021-07-04, 08:00:00",0.7024,0.7031,0.6797,0.6865,1925396.3
159,"2021-07-04, 12:00:00",0.6864,0.7151,0.6862,0.7129,2304183.3
160,"2021-07-04, 16:00:00",0.7131,0.7182,0.7072,0.7167,1650756.5
161,"2021-07-04, 20:00:00",0.7166,0.7284,0.7037,0.7284,2716622.2
162,"2021-07-05, 00:00:00",0.7285,0.737,0.7245,0.7341,2170603.7
163,"2021-07-05, 04:00:00",0.7341,0.7417,0.7192,0.724,2264472.7
164,"2021-07-05, 08:00:00",0.7239,0.7243,0.703,0.7066,2898979.8
165,"2021-07-05, 12:00:00",0.7067,0.7216,0.6903,0.6955,5689092.8
166,"2021-07-05, 16:00:00",0.6955,0.7074,0.6714,0.6756,3949189.5
167,"2021-07-05, 20:00:00",0.6758,0.6901,0.6737,0.6782,3093757.5
168,"2021-07-06, 00:00:00",0.6782,0.6998,0.6691,0.6991,3485583.9
169,"2021-07-06, 04:00:00",0.6991,0.7027,0.6904,0.6919,2373013.9
170,"2021-07-06, 08:00:00",0.6918,0.7132,0.6901,0.7132,4075286.6
171,"2021-07-06, 12:00:00",0.7132,0.7327,0.7127,0.7308,2471132.6
172,"2021-07-06, 16:00:00",0.7307,0.7458,0.7095,0.7209,5066740.7
173,"2021-07-06, 20:00:00",0.7211,0.7403,0.7156,0.7271,4227166.7
174,"2021-07-07, 00:00:00",0.7273,0.7366,0.7141,0.7262,3084865.5
175,"2021-07-07, 04:00:00",0.7261,0.7296,0.6974,0.7114,2731110.6
176,"2021-07-07, 08:00:00",0.7112,0.7471,0.7034,0.7437,4389250.2
177,"2021-07-07, 12:00:00",0.7437,0.7851,0.7407,0.7734,8721046.3
178,"2021-07-07, 16:00:00",0.7734,0.7988,0.7717,0.7802,6529017.4
179,"2021-07-07, 20:00:00",0.7802,0.8164,0.7726,0.7993,9508949.1
180,"2021-07-08, 00:00:00",0.7993,0.8248,0.7868,0.8162,6066093.4
181,"2021-07-08, 04:00:00",0.8162,0.8264,0.7788,0.7886,6155107.4
182,"2021-07-08, 08:00:00",0.7885,0.7956,0.7476,0.7567,7388090.8
183,"2021-07-08, 12:00:00",0.7566,0.7566,0.7126,0.7192,6726410.8
184,"2021-07-08, 16:00:00",0.7188,0.7313,0.7063,0.7298,8752846.8
185,"2021-07-08, 20:00:00",0.7298,0.7409,0.7193,0.739,3941129.2
186,"2021-07-09, 00:00:00",0.7392,0.76,0.7357,0.7593,5244305.0
187,"2021-07-09, 04:00:00",0.7594,0.8445,0.7327,0.8412,12093934.4
188,"2021-07-09, 08:00:00",0.8417,0.8446,0.7645,0.8019,23700375.4
189,"2021-07-09, 12:00:00",0.8018,0.8398,0.7998,0.823,16321460.7
190,"2021-07-09, 16:00:00",0.8231,0.8829,0.8119,0.86,52956788.6
191,"2021-07-09, 20:00:00",0.8601,0.9042,0.8484,0.8821,52950758.2
192,"2021-07-10, 00:00:00",0.8822,0.8882,0.8267,0.8427,23749159.0
193,"2021-07-10, 04:00:00",0.8429,0.8482,0.825,0.8356,9548508.5
194,"2021-07-10, 08:00:00",0.8357,0.8563,0.8078,0.823,10002468.4
195,"2021-07-10, 12:00:00",0.8231,0.829,0.8044,0.8135,5893891.9
196,"2021-07-10, 16:00:00",0.8138,0.8182,0.8008,0.8129,6392429.6
197,"2021-07-10, 20:00:00",0.8128,0.8334,0.8077,0.8287,13441260.6
198,"2021-07-11, 00:00:00",0.8285,0.8341,0.7806,0.7835,14651028.9
199,"2021-07-11, 04:00:00",0.7833,0.7929,0.7724,0.7898,6940091.9
200,"2021-07-11, 08:00:00",0.7896,0.7956,0.7662,0.7689,6059977.5
201,"2021-07-11, 12:00:00",0.7688,0.7836,0.7623,0.7796,4577364.3
