date,statusList,zscore,ADAUSDT_position,ADAUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03348,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03269,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03417,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.03434,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0346,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03732,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.037,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03631,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.03616,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03693,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03678,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03792,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.03682,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.04161,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04275,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.04168,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0449,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04489,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.042,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,2,1.3253051236457896,0.0,0.04378,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,2,2.1199606296010436,0.0,0.04602,0.0,0.002514,200000,200000.0,0.0,1.0
2020-01-22,2,1.76852053405181,0.0,0.04575,0.0,0.002515,200000,200000.0,0.0,1.0
2020-01-23,0,0.9997285561425236,0.0,0.04318,0.0,0.002492,200000,200000.0,0.0,1.0
2020-01-24,2,1.6296258331197941,0.0,0.04495,0.0,0.002449,200000,200000.0,0.0,1.0
2020-01-25,0,0.7488483566543913,0.0,0.04314,0.0,0.002489,200000,200000.0,0.0,1.0
2020-01-26,1,1.1067586563202167,-2233638.597274961,0.04477,40000000.0,0.0025,200000,200000.0,0.0,1.0
2020-01-27,2,1.5037546686799352,0.0,0.04796,0.0,0.002574,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-01-28,2,2.3850072661723867,0.0,0.0529,0.0,0.0026,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-01-29,2,2.5224536131022632,0.0,0.05329,0.0,0.002481,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-01-30,2,2.4684966264276964,0.0,0.05614,0.0,0.002498,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-01-31,2,1.807884822277897,0.0,0.0539,0.0,0.002482,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-02-01,2,1.881483735896944,0.0,0.0561,0.0,0.002496,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-02-02,2,1.5208610070928663,0.0,0.0557,0.0,0.002528,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-02-03,2,1.4702155313810021,0.0,0.05696,0.0,0.002553,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-02-04,0,0.519886358290255,0.0,0.05601,0.0,0.002754,200000,204165.30712530715,4165.307125307154,1.0208265356265358
2020-02-05,0,0.5584772873264181,0.0,0.05933,0.0,0.002882,200000,204165.30712530715,4165.307125307154,1.0208265356265358
