date,statusList,zscore,ADAUSDT_position,ADAUSDT_price,WAVESUSDT_position,WAVESUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03348,0.0,1.0446,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03269,0.0,0.9459,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03417,0.0,0.9526,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.03434,0.0,0.9458,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0346,0.0,0.8872,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03732,0.0,0.8949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.037,0.0,0.8853,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03631,0.0,0.851,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.03616,0.0,0.8231,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03693,0.0,0.8244,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03678,0.0,0.8561,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03792,0.0,0.8447,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.03682,0.0,0.86,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.04161,0.0,0.8637,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04275,0.0,0.896,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.04168,0.0,0.8809,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0449,0.0,0.9,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04489,0.0,0.8783,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.042,0.0,0.8889,200000,200000.0,0.0,1.0
2020-01-20,2,1.320500455956536,0.0,0.04378,0.0,0.8673,200000,200000.0,0.0,1.0
2020-01-21,2,1.6323395118252029,0.0,0.04602,0.0,0.8723,200000,200000.0,0.0,1.0
2020-01-22,2,1.3235856794671297,0.0,0.04575,0.0,0.8862,200000,200000.0,0.0,1.0
2020-01-23,0,0.8189161924242232,0.0,0.04318,0.0,0.8726,200000,200000.0,0.0,1.0
2020-01-24,2,1.443550888976863,0.0,0.04495,0.0,0.8552,200000,200000.0,0.0,1.0
2020-01-25,0,0.9155917618880878,0.0,0.04314,0.0,0.8512,200000,200000.0,0.0,1.0
2020-01-26,1,1.0001885827016654,-2233638.597274961,0.04477,114705.20761642579,0.8718,200000,200000.0,0.0,1.0
2020-01-27,2,1.8405055097321734,0.0,0.04796,0.0,0.868,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-01-28,2,2.458978197923787,0.0,0.0529,0.0,0.8856,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-01-29,2,2.298686618956922,0.0,0.05329,0.0,0.8699,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-01-30,2,2.3791456422153674,0.0,0.05614,0.0,0.8696,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-01-31,2,1.5827578227433716,0.0,0.0539,0.0,0.8824,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-01,2,1.4907958644021366,0.0,0.0561,0.0,0.9111,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-02,0,0.8157091068471819,0.0,0.0557,0.0,0.9594,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-03,0,0.7367612468658802,0.0,0.05696,0.0,0.9809,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-04,0,0.6616441096271625,0.0,0.05601,0.0,0.9643,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-05,0,0.9234508263452658,0.0,0.05933,0.0,0.9899,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-06,0,0.4692735051968781,0.0,0.06008,0.0,1.0364,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-07,0,-0.20710782308108916,0.0,0.05987,0.0,1.092,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-08,0,0.09667379843000228,0.0,0.06002,0.0,1.058,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-09,0,-0.195465326965533,0.0,0.06188,0.0,1.11,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-10,-2,-2.6736494305491294,0.0,0.06029,0.0,1.4376,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-11,-2,-1.8775772241955206,0.0,0.06335,0.0,1.4117,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-12,-2,-1.3607570378411287,0.0,0.06817,0.0,1.4324,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-13,-1,-1.0762830915405341,1511294.502069678,0.06867,-73928.33270916426,1.4038,200000,207561.18691424956,7561.186914249556,1.0378059345712478
2020-02-14,-2,-1.5128972035970076,0.0,0.07074,0.0,1.5529,200000,215455.5217019017,15455.521701901715,1.0772776085095086
2020-02-15,-2,-1.6210943970320204,0.0,0.06426,0.0,1.4686,200000,215455.5217019017,15455.521701901715,1.0772776085095086
2020-02-16,-2,-1.3567618047599652,0.0,0.06146,0.0,1.3809,200000,215455.5217019017,15455.521701901715,1.0772776085095086
2020-02-17,-1,-1.1555036326922852,1789794.9966929865,0.06019,-80598.35466927342,1.3366,200000,215455.5217019017,15455.521701901715,1.0772776085095086
2020-02-18,-2,-1.321763260296088,0.0,0.06274,0.0,1.4693,200000,221586.94612494716,21586.946124947164,1.1079347306247358
2020-02-19,-2,-1.3209188056625192,0.0,0.05737,0.0,1.3717,200000,221586.94612494716,21586.946124947164,1.1079347306247358
2020-02-20,-2,-1.5126055360098616,0.0,0.05815,0.0,1.4854,200000,221586.94612494716,21586.946124947164,1.1079347306247358
2020-02-21,-2,-1.2204402955359919,0.0,0.05853,0.0,1.4459,200000,221586.94612494716,21586.946124947164,1.1079347306247358
2020-02-22,-1,-1.038896254255025,1902033.872317143,0.05825,-78034.56336277898,1.4198,200000,221586.94612494716,21586.946124947164,1.1079347306247358
2020-02-23,-1,-0.7429276268998605,1902033.872317143,0.06145,-78034.56336277898,1.4439,200000,229554.087493405,29554.087493405008,1.147770437467025
2020-02-24,-1,-0.6028714217815071,1902033.872317143,0.05906,-78034.56336277898,1.3735,200000,219514.59327782737,19514.59327782737,1.097572966389137
2020-02-25,-1,-0.6290282243818327,1902033.872317143,0.05603,-78034.56336277898,1.3215,200000,209693.63334984196,9693.633349841955,1.0484681667492097
