date,statusList,zscore,ATOMUSDT_position,ATOMUSDT_price,ETHUSDT_position,ETHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.38,0.0,130.77,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.096,0.0,127.19,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.237,0.0,134.35,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.25,0.0,134.2,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.2,0.0,135.37,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,4.111,0.0,144.15,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.075,0.0,142.8,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,3.995,0.0,140.72,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,4.245,0.0,137.74,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,4.27,0.0,144.84,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,4.264,0.0,142.38,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,4.253,0.0,146.54,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,4.245,0.0,143.58,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,4.53,0.0,165.64,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,4.573,0.0,166.4,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,5.097,0.0,164.21,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,5.015,0.0,169.85,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,4.625,0.0,174.14,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,4.516,0.0,166.79,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.2954963913285769,0.0,4.505,0.0,166.87,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.0433975872905656,21551.724137931036,4.64,-590.0053100477904,169.49,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.779213023022028,21551.724137931036,4.657,-590.0053100477904,168.07,200000,199528.571770077,-471.4282299230108,0.997642858850385
2020-01-23,-1,-0.8781191880740437,21551.724137931036,4.463,-590.0053100477904,162.81,200000,192244.10935646697,-7755.890643533028,0.9612205467823348
2020-01-24,-1,-0.6799695423794797,21551.724137931036,4.488,-590.0053100477904,162.54,200000,192623.60102620235,-7376.398973797652,0.9631180051310118
2020-01-25,-1,-0.7720731612225004,21551.724137931036,4.39,-590.0053100477904,160.35,200000,189219.42043168045,-10780.579568319547,0.9460971021584023
2020-01-26,-1,-1.1873102965720117,21551.724137931036,4.478,-590.0053100477904,167.86,200000,195546.91203427728,-4453.08796572272,0.9777345601713864
2020-01-27,-1,-1.1647574204924966,21551.724137931036,4.515,-590.0053100477904,170.08,200000,197654.1376156868,-2345.8623843131936,0.988270688078434
2020-01-28,-2,-1.3526870359015668,0.0,4.577,0.0,175.64,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-01-29,-2,-1.6831153021447245,0.0,4.401,0.0,173.72,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-01-30,-2,-2.203693549093256,0.0,4.41,0.0,184.69,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-01-31,-2,-1.6690603614401232,0.0,4.397,0.0,179.99,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-01,-2,-1.7260523891177129,0.0,4.388,0.0,183.6,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-02,-2,-1.7845059026305763,0.0,4.403,0.0,188.44,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-03,-2,-1.9116213829129434,0.0,4.263,0.0,189.69,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-04,-2,-1.708257933132423,0.0,4.22,0.0,188.91,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-05,-2,-2.0175052250397707,0.0,4.33,0.0,203.78,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-06,-2,-1.7149267445718226,0.0,4.589,0.0,213.19,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-07,-2,-1.481446477447053,0.0,4.825,0.0,223.33,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-08,-2,-1.6175156891771247,0.0,4.629,0.0,223.05,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-09,-2,-1.4150678088709177,0.0,4.757,0.0,228.49,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-10,-1,-1.0706824771860113,21473.527265606914,4.773,-459.8373441551518,222.89,200000,204986.29127748357,4986.291277483571,1.024931456387418
2020-02-11,-1,-0.920020536126491,21473.527265606914,5.105,-459.8373441551518,236.69,200000,218461.2576790062,18461.2576790062,1.092306288395031
2020-02-12,-2,-1.6760326096322073,0.0,5.109,0.0,265.74,200000,217475.2163132879,17475.216313287907,1.0873760815664395
2020-02-13,-2,-1.8339731939213841,0.0,4.906,0.0,268.32,200000,217475.2163132879,17475.216313287907,1.0873760815664395
2020-02-14,-2,-1.7822815772446774,0.0,5.111,0.0,285.15,200000,217475.2163132879,17475.216313287907,1.0873760815664395
2020-02-15,-2,-1.78061088801404,0.0,4.608,0.0,264.88,200000,217475.2163132879,17475.216313287907,1.0873760815664395
2020-02-16,-2,-1.7720364399794057,0.0,4.382,0.0,258.85,200000,217475.2163132879,17475.216313287907,1.0873760815664395
2020-02-17,-2,-1.9169893825930948,0.0,4.27,0.0,267.85,200000,217475.2163132879,17475.216313287907,1.0873760815664395
2020-02-18,-2,-1.7888661284257428,0.0,4.441,0.0,282.61,200000,217475.2163132879,17475.216313287907,1.0873760815664395
