date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,0,0.998006064933909,0.0,109.91,0.0,0.1511,200000,200000.0,0.0,1.0
2020-01-21,0,0.7743405741694421,0.0,110.5,0.0,0.157,200000,200000.0,0.0,1.0
2020-01-22,0,0.6103904891101464,0.0,107.8,0.0,0.1564,200000,200000.0,0.0,1.0
2020-01-23,0,0.5232784726218862,0.0,102.72,0.0,0.1495,200000,200000.0,0.0,1.0
2020-01-24,0,0.3043042369641969,0.0,100.11,0.0,0.1507,200000,200000.0,0.0,1.0
2020-01-25,0,0.1679833435341882,0.0,101.31,0.0,0.155,200000,200000.0,0.0,1.0
2020-01-26,0,-0.003925650350109063,0.0,111.01,0.0,0.1738,200000,200000.0,0.0,1.0
2020-01-27,0,-0.10138179450814525,0.0,112.78,0.0,0.1775,200000,200000.0,0.0,1.0
2020-01-28,0,-0.2861343520971212,0.0,115.91,0.0,0.186,200000,200000.0,0.0,1.0
2020-01-29,0,-0.8035129248583069,0.0,121.97,0.0,0.2112,200000,200000.0,0.0,1.0
2020-01-30,-2,-1.4617787426386666,0.0,121.9,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-31,-2,-1.913722700397286,0.0,115.85,0.0,0.2589,200000,200000.0,0.0,1.0
2020-02-01,-2,-1.9063039297768296,0.0,116.7,0.0,0.2751,200000,200000.0,0.0,1.0
2020-02-02,-2,-2.08222925528727,0.0,114.29,0.0,0.3176,200000,200000.0,0.0,1.0
2020-02-03,-2,-2.033563143892249,0.0,115.34,0.0,0.3705,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.2818103276448887,0.0,110.87,0.0,0.5091,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.7146167252523163,0.0,122.98,0.0,0.4369,200000,200000.0,0.0,1.0
2020-02-06,-2,-1.6086105488617333,0.0,120.32,0.0,0.4574,200000,200000.0,0.0,1.0
2020-02-07,-2,-1.3082246348677324,0.0,118.68,0.0,0.4123,200000,200000.0,0.0,1.0
2020-02-08,-1,-1.0649634938516455,791.8283316177052,126.29,-246548.3234714004,0.4056,200000,200000.0,0.0,1.0
2020-02-09,-1,-1.0596891348022295,791.8283316177052,128.51,-246548.3234714004,0.438,200000,209746.02457666467,9746.02457666467,1.0487301228833235
2020-02-10,-1,-0.8595427522461004,791.8283316177052,127.58,-246548.3234714004,0.4077,200000,201539.21002707677,1539.2100270767696,1.0076960501353838
2020-02-11,-1,-0.7901541935208377,791.8283316177052,129.2,-246548.3234714004,0.4161,200000,204892.97784145724,4892.977841457236,1.024464889207286
2020-02-12,-1,-0.6812953093375618,791.8283316177052,133.53,-246548.3234714004,0.423,200000,210022.77794931456,10022.777949314564,1.0501138897465727
2020-02-13,-1,-0.4417773163045161,791.8283316177052,131.18,-246548.3234714004,0.3843,200000,198620.56125166974,-1379.4387483302562,0.9931028062583487
2020-02-14,-1,-0.4406247752267002,791.8283316177052,133.34,-246548.3234714004,0.4036,200000,205089.29309096202,5089.293090962019,1.02544646545481
2020-02-15,-1,-0.31872096710985953,791.8283316177052,120.73,-246548.3234714004,0.3595,200000,184231.556764174,-15768.44323582601,0.92115778382087
2020-02-16,-1,-0.40057932315179445,791.8283316177052,110.73,-246548.3234714004,0.35,200000,173971.06437501864,-26028.935624981357,0.8698553218750932
2020-02-17,0,-0.1434895009582391,0.0,114.66,0.0,0.3455,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-18,0,-0.4308452072266403,0.0,115.56,0.0,0.3826,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-19,0,-0.605838264245075,0.0,104.87,0.0,0.3633,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-20,0,-0.9940518708357651,0.0,104.82,0.0,0.3896,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-21,-2,-1.414411806440729,0.0,107.39,0.0,0.4222,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-22,-2,-1.2872331817584073,0.0,103.79,0.0,0.4067,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-23,0,-0.8103442379213183,0.0,108.09,0.0,0.4033,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-24,0,-0.525215180488554,0.0,103.41,0.0,0.365,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-25,0,-0.21143925481256984,0.0,95.52,0.0,0.3266,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-26,0,-0.782711190798358,0.0,84.29,0.0,0.3027,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
2020-02-27,0,-0.34560676206255186,0.0,89.88,0.0,0.3099,200000,194391.40925608273,-5608.590743917273,0.9719570462804137
