date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,2,1.458080703331403,0.0,109.91,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,2,1.2981902087945425,0.0,110.5,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,1,1.043644449333492,-927.643784786642,107.8,18308311.97363603,0.005462,200000,200000.0,0.0,1.0
2020-01-23,1,0.9075255144771381,-927.643784786642,102.72,18308311.97363603,0.005258,200000,191552.6739306621,-8447.326069337898,0.9577633696533105
2020-01-24,1,0.7652823713981431,-927.643784786642,100.11,18308311.97363603,0.005196,200000,187996.40831000355,-12003.59168999645,0.9399820415500177
2020-01-25,1,0.7349798069136514,-927.643784786642,101.31,18308311.97363603,0.005198,200000,189146.19747569482,-10853.802524305182,0.945730987378474
2020-01-26,1,0.9088354634787332,-927.643784786642,111.01,18308311.97363603,0.005384,200000,201549.6882152215,1549.6882152215112,1.0077484410761075
2020-01-27,1,0.8610494049978762,-927.643784786642,112.78,18308311.97363603,0.005428,200000,203997.18344113388,3997.1834411338787,1.0199859172056693
2020-01-28,1,0.6903758672761457,-927.643784786642,115.91,18308311.97363603,0.005681,200000,211532.71141684597,11532.711416845967,1.0576635570842299
2020-01-29,1,0.9830558973997932,-927.643784786642,121.97,18308311.97363603,0.005607,200000,215799.41766660393,15799.417666603928,1.0789970883330195
2020-01-30,1,0.9352335399653592,-927.643784786642,121.9,18308311.97363603,0.005599,200000,215588.0161058798,15588.016105879797,1.077940080529399
2020-01-31,1,0.417059387974329,-927.643784786642,115.85,18308311.97363603,0.005674,200000,211348.8946059433,11348.894605943293,1.0567444730297164
2020-02-01,0,0.02539725465278508,0.0,116.7,0.0,0.005922,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-02,0,-0.6858014651067935,0.0,114.29,0.0,0.00609,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-03,0,-0.9372317110913672,0.0,115.34,0.0,0.006128,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-04,-2,-2.2768710283531295,0.0,110.87,0.0,0.006656,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-05,0,-0.9030880955126098,0.0,122.98,0.0,0.006681,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-06,-2,-1.8241530935124448,0.0,120.32,0.0,0.007113,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-07,-2,-2.1000723497157785,0.0,118.68,0.0,0.007299,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-08,0,-0.9931835469818876,0.0,126.29,0.0,0.007077,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-09,-2,-1.408373199151038,0.0,128.51,0.0,0.007598,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-10,-1,-1.1784972896721135,783.172151499955,127.58,-13372203.304117274,0.007472,200000,199834.20617672853,-165.79382327146595,0.9991710308836427
2020-02-11,-1,-1.1001256720547017,783.172151499955,129.2,-13372203.304117274,0.007594,200000,202734.35386526075,2734.353865260753,1.0136717693263038
2020-02-12,-1,-1.10624166384001,783.172151499955,133.53,-13372203.304117274,0.007946,200000,210832.50484430487,10832.504844304873,1.0541625242215245
2020-02-13,-1,-0.9800179544627059,783.172151499955,131.18,-13372203.304117274,0.007778,200000,206745.52013318826,6745.520133188256,1.0337276006659413
2020-02-14,-2,-1.3068443651386628,0.0,133.34,0.0,0.008343,200000,206970.32366197492,6970.323661974922,1.0348516183098746
2020-02-15,-1,-1.007975475823969,857.16194674884,120.73,-14018580.578567795,0.007382,200000,206970.32366197492,6970.323661974922,1.0348516183098746
2020-02-16,-1,-0.8091431920671052,857.16194674884,110.73,-14018580.578567795,0.006682,200000,188585.69778948906,-11414.302210510941,0.9429284889474453
2020-02-17,-1,-0.2092478421205564,857.16194674884,114.66,-14018580.578567795,0.006532,200000,189851.55715342684,-10148.442846573162,0.9492577857671342
2020-02-18,-1,-0.4296486406036429,857.16194674884,115.56,-14018580.578567795,0.006785,200000,194169.70379187845,-5830.296208121552,0.9708485189593923
2020-02-19,-1,-0.4557020033873802,857.16194674884,104.87,-14018580.578567795,0.006205,200000,176875.86584556403,-23124.134154435975,0.8843793292278201
2020-02-20,-1,-0.3445234409122828,857.16194674884,104.82,-14018580.578567795,0.006189,200000,176608.7104589695,-23391.289541030506,0.8830435522948474
2020-02-21,-1,-0.269872603920361,857.16194674884,107.39,-14018580.578567795,0.006347,200000,181026.55239352773,-18973.44760647227,0.9051327619676387
2020-02-22,-1,-0.5057931765117863,857.16194674884,103.79,-14018580.578567795,0.006222,200000,176188.44681291093,-23811.55318708907,0.8809422340645546
2020-02-23,-1,-0.22386178917771832,857.16194674884,108.09,-14018580.578567795,0.006432,200000,182818.1451054302,-17181.854894569813,0.914090725527151
2020-02-24,-1,-0.2947059829694281,857.16194674884,103.41,-14018580.578567795,0.006165,200000,175063.66618016802,-24936.333819831983,0.8753183309008401
2020-02-25,0,0.514236649994685,0.0,95.52,0.0,0.005595,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-02-26,0,-0.39638264264279566,0.0,84.29,0.0,0.00505,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-02-27,0,0.7377171885584419,0.0,89.88,0.0,0.00523,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-02-28,0,-0.21802036312096404,0.0,88.09,0.0,0.005251,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-02-29,0,-0.46135823996813996,0.0,85.35,0.0,0.005115,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-03-01,0,-0.20323241595830305,0.0,84.59,0.0,0.005049,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-03-02,0,0.8276003940641324,0.0,90.26,0.0,0.005283,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-03-03,0,0.7471978762599613,0.0,88.56,0.0,0.005186,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-03-04,-2,-2.33900922682755,0.0,86.88,0.0,0.005471,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-03-05,-1,-1.1062680306764665,1132.3476846868393,89.87,-18593840.018784262,0.005473,200000,203528.1728456125,3528.172845612513,1.0176408642280625
2020-03-06,-1,-1.0489054624453236,1132.3476846868393,93.94,-18593840.018784262,0.00571,200000,212543.5680067398,12543.568006739806,1.062717840033699
2020-03-07,-2,-1.2434788329858748,0.0,88.12,0.0,0.005386,200000,203892.11721218028,3892.117212180281,1.0194605860609014
2020-03-08,-2,-2.121803644941699,0.0,73.7,0.0,0.004615,200000,203892.11721218028,3892.117212180281,1.0194605860609014
2020-03-09,0,-0.8894839652803591,0.0,73.65,0.0,0.004498,200000,203892.11721218028,3892.117212180281,1.0194605860609014
2020-03-10,0,-0.8629936524559877,0.0,74.6,0.0,0.004562,200000,203892.11721218028,3892.117212180281,1.0194605860609014
2020-03-11,-1,-1.0237874649689738,1411.213435853961,72.24,-22940157.20209049,0.004444,200000,203892.11721218028,3892.117212180281,1.0194605860609014
2020-03-12,0,3.6722137149995393,0.0,44.4,0.0,0.002293,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-13,2,3.019898427787423,0.0,51.16,0.0,0.002562,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-14,0,0.7103619334565732,0.0,45.97,0.0,0.002599,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-15,0,0.15392142977801523,0.0,47.31,0.0,0.002761,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-16,0,0.7905897950393741,0.0,43.12,0.0,0.002417,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-17,0,0.9662718521065606,0.0,45.57,0.0,0.002515,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-18,2,3.6325796506720778,0.0,62.64,0.0,0.00251,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-19,2,2.1787492084094757,0.0,65.47,0.0,0.002847,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-20,2,1.7999016032186905,0.0,71.78,0.0,0.003146,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-21,0,0.9340982532746099,0.0,71.37,0.0,0.003433,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-22,0,0.9562618205800072,0.0,62.44,0.0,0.002959,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-23,1,1.0809600245816673,-1367.5463604110194,70.87,29747701.216184452,0.003258,200000,193836.02112465788,-6163.978875342116,0.9691801056232894
2020-03-24,1,0.656993787048971,-1367.5463604110194,69.53,29747701.216184452,0.003346,200000,194621.30670873134,-5378.693291268661,0.9731065335436567
2020-03-25,1,0.8599100468192316,-1367.5463604110194,67.72,29747701.216184452,0.003137,200000,185928.77824220486,-14071.221757795138,0.9296438912110243
2020-03-26,1,0.7748748594284072,-1367.5463604110194,68.23,29747701.216184452,0.003161,200000,187340.17171520292,-12659.828284797084,0.9367008585760146
2020-03-27,1,1.0948049254961194,-1367.5463604110194,67.59,29747701.216184452,0.00297,200000,180783.13111224864,-19216.868887751363,0.9039156555612432
2020-03-28,1,0.749716354398468,-1367.5463604110194,65.21,29747701.216184452,0.002958,200000,177171.39835987618,-22828.601640123816,0.8858569917993809
2020-03-29,1,0.670623091364283,-1367.5463604110194,60.46,29747701.216184452,0.002743,200000,164279.79738644417,-35720.202613555826,0.8213989869322209
2020-03-30,1,0.7805909417088049,-1367.5463604110194,65.81,29747701.216184452,0.002925,200000,177010.25203598873,-22989.747964011272,0.8850512601799436
2020-03-31,1,0.22050946021606357,-1367.5463604110194,64.97,29747701.216184452,0.003034,200000,179104.01252580754,-20895.987474192458,0.8955200626290377
2020-04-01,1,0.3303542063279219,-1367.5463604110194,66.03,29747701.216184452,0.003036,200000,180613.1070702756,-19386.89292972439,0.903065535351378
2020-04-02,1,0.22916422935541544,-1367.5463604110194,67.51,29747701.216184452,0.003122,200000,185195.37798827578,-14804.62201172422,0.9259768899413789
2020-04-03,0,-0.04057343402243313,0.0,67.4,0.0,0.003169,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-04,0,-0.2711562033694247,0.0,68.46,0.0,0.003241,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-05,0,-0.4067623329286192,0.0,66.89,0.0,0.003157,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-06,0,-0.8922541854269208,0.0,73.19,0.0,0.00349,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-07,0,-0.5899628029017653,0.0,72.22,0.0,0.003395,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-08,0,-0.7104710792763858,0.0,75.52,0.0,0.003571,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-09,2,2.9126751444896164,0.0,82.83,0.0,0.003491,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-10,2,2.0531218703724754,0.0,74.1,0.0,0.003169,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-11,2,2.125048087918604,0.0,74.97,0.0,0.00315,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-12,2,1.4745777922889276,0.0,74.1,0.0,0.003169,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-13,1,1.028840173623126,-1310.9406581585677,73.13,30223546.76265323,0.003172,200000,191738.1806622721,-8261.81933772791,0.9586909033113604
2020-04-14,1,0.7537709227348519,-1310.9406581585677,72.32,30223546.76265323,0.003163,200000,190404.30680829976,-9595.693191700237,0.9520215340414988
2020-04-15,1,1.185497390695446,-1310.9406581585677,70.7,30223546.76265323,0.003021,200000,183988.83930178615,-16011.160698213847,0.9199441965089308
2020-04-16,1,0.9453010656693893,-1310.9406581585677,76.09,30223546.76265323,0.003279,200000,198852.48451402536,-1147.51548597464,0.9942624225701268
2020-04-17,1,1.0476222247684677,-1310.9406581585677,76.31,30223546.76265323,0.00326,200000,198566.64407032984,-1433.355929670157,0.9928332203516492
2020-04-18,1,1.071202554451564,-1310.9406581585677,80.16,30223546.76265323,0.003405,200000,207996.17988482502,7996.179884825018,1.039980899424125
2020-04-19,2,1.7055711836227236,0.0,80.23,0.0,0.003277,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-20,2,1.409942476208595,0.0,74.29,0.0,0.003052,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-21,2,1.3503387174860868,0.0,74.48,0.0,0.003044,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-22,2,1.8196336866083165,0.0,80.8,0.0,0.003178,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-23,0,0.9336591084852828,0.0,81.26,0.0,0.003336,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-24,0,-0.42084661532193424,0.0,81.37,0.0,0.003587,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-25,0,0.8232226416198036,0.0,85.78,0.0,0.003527,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-26,0,0.026986494685898962,0.0,84.12,0.0,0.003577,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-27,0,-0.23508610215624956,0.0,82.75,0.0,0.003538,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-28,0,-0.5252829901172759,0.0,82.21,0.0,0.00352,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
2020-04-29,-2,-2.3160045581778066,0.0,85.36,0.0,0.003922,200000,197872.38692511935,-2127.6130748806463,0.9893619346255967
