date,statusList,zscore,DASHUSDT_position,DASHUSDT_price,XLMUSDT_position,XLMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,41.84,0.0,0.04529,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,40.04,0.0,0.04361,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,43.92,0.0,0.04566,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,46.19,0.0,0.04565,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,51.17,0.0,0.04544,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,56.57,0.0,0.05046,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,54.62,0.0,0.04839,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,52.42,0.0,0.04768,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,50.54,0.0,0.04718,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,56.88,0.0,0.04802,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,63.46,0.0,0.04825,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,66.19,0.0,0.04905,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,69.43,0.0,0.04813,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,89.28,0.0,0.0528,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,133.6,0.0,0.0548,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,127.45,0.0,0.05367,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,113.04,0.0,0.06072,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,101.15,0.0,0.06149,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,104.92,0.0,0.06004,200000,200000.0,0.0,1.0
2020-01-20,0,0.757287899974763,0.0,109.91,0.0,0.06274,200000,200000.0,0.0,1.0
2020-01-21,0,0.6959035501078369,0.0,110.5,0.0,0.06279,200000,200000.0,0.0,1.0
2020-01-22,0,0.6135167931919153,0.0,107.8,0.0,0.06136,200000,200000.0,0.0,1.0
2020-01-23,0,0.5496221484381388,0.0,102.72,0.0,0.05833,200000,200000.0,0.0,1.0
2020-01-24,0,0.45684723032139735,0.0,100.11,0.0,0.05714,200000,200000.0,0.0,1.0
2020-01-25,0,0.5251627401975325,0.0,101.31,0.0,0.05604,200000,200000.0,0.0,1.0
2020-01-26,0,0.683840264051869,0.0,111.01,0.0,0.05841,200000,200000.0,0.0,1.0
2020-01-27,0,0.5774392808556912,0.0,112.78,0.0,0.05971,200000,200000.0,0.0,1.0
2020-01-28,0,0.55802637081636,0.0,115.91,0.0,0.06072,200000,200000.0,0.0,1.0
2020-01-29,0,0.7765999047466907,0.0,121.97,0.0,0.06083,200000,200000.0,0.0,1.0
2020-01-30,0,0.493422108037673,0.0,121.9,0.0,0.0628,200000,200000.0,0.0,1.0
2020-01-31,0,0.3061725464656179,0.0,115.85,0.0,0.0606,200000,200000.0,0.0,1.0
2020-02-01,0,0.06235355699877299,0.0,116.7,0.0,0.06224,200000,200000.0,0.0,1.0
2020-02-02,0,-0.38487715836247405,0.0,114.29,0.0,0.06345,200000,200000.0,0.0,1.0
2020-02-03,0,-0.45591139645847034,0.0,115.34,0.0,0.0643,200000,200000.0,0.0,1.0
2020-02-04,-1,-1.1276837406721132,901.9572472264814,110.87,-1507386.1923424783,0.06634,200000,200000.0,0.0,1.0
2020-02-05,-1,-0.38769310329849704,901.9572472264814,122.98,-1507386.1923424783,0.06908,200000,215052.9404309311,15052.940430931107,1.0752647021546555
2020-02-06,-2,-1.2121015871205176,0.0,120.32,0.0,0.07113,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-07,-2,-1.6473588480943315,0.0,118.68,0.0,0.07188,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-08,0,-0.3000401419196919,0.0,126.29,0.0,0.0709,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-09,0,-0.5911386150618344,0.0,128.51,0.0,0.07327,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-10,0,-0.029284223668427672,0.0,127.58,0.0,0.07051,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-11,0,-0.7082159136706674,0.0,129.2,0.0,0.07404,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-12,-2,-1.4038460481672927,0.0,133.53,0.0,0.08004,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-13,-2,-2.0031749230298646,0.0,131.18,0.0,0.08325,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-14,-2,-1.97039173017476,0.0,133.34,0.0,0.08671,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-15,-2,-1.7591740800847526,0.0,120.73,0.0,0.07892,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-16,-2,-1.7801180179918554,0.0,110.73,0.0,0.07437,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-17,-1,-1.0616801074365283,866.4612065019634,114.66,-1366177.6944102738,0.07272,200000,198696.88387503024,-1303.1161249697616,0.9934844193751512
2020-02-18,-2,-1.366444996765956,0.0,115.56,0.0,0.07603,200000,202439.11695767648,2439.1169576764805,1.0121955847883823
2020-02-19,-2,-1.4280009964998295,0.0,104.87,0.0,0.07013,200000,202439.11695767648,2439.1169576764805,1.0121955847883823
2020-02-20,-2,-1.3663797331100396,0.0,104.82,0.0,0.0704,200000,202439.11695767648,2439.1169576764805,1.0121955847883823
2020-02-21,-1,-1.0896555902607568,942.5417495003095,107.39,-1425828.4051111178,0.07099,200000,202439.11695767648,2439.1169576764805,1.0121955847883823
2020-02-22,-2,-1.2620717315881504,0.0,103.79,0.0,0.0703,200000,204848.4456563509,4848.445656350901,1.0242422282817545
2020-02-23,-1,-1.116753348521856,947.5827812764867,108.09,-1403263.7735056235,0.07299,200000,204848.4456563509,4848.445656350901,1.0242422282817545
2020-02-24,-1,-0.8964331520350433,947.5827812764867,103.41,-1403263.7735056235,0.06911,200000,194969.09479877513,-5030.905201224872,0.9748454739938757
2020-02-25,-1,-0.8487771165941913,947.5827812764867,95.52,-1403263.7735056235,0.06402,200000,180350.05404736003,-19649.945952639973,0.9017502702368001
2020-02-26,-2,-1.212030149123885,0.0,84.29,0.0,0.05873,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-02-27,0,-0.6947938443201853,0.0,89.88,0.0,0.06045,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-02-28,0,-0.4348498901419136,0.0,88.09,0.0,0.05841,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-02-29,0,-0.445848115178608,0.0,85.35,0.0,0.05694,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-03-01,0,-0.1566011306599684,0.0,84.59,0.0,0.05582,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-03-02,0,-0.0503577815684595,0.0,90.26,0.0,0.05968,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-03-03,0,0.4670145750967398,0.0,88.56,0.0,0.05816,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-03-04,0,-0.6862166187734583,0.0,86.88,0.0,0.05857,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-03-05,0,0.18278353082712076,0.0,89.87,0.0,0.05966,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-03-06,1,1.0687874832710587,-1103.8448714101612,93.94,1689672.2701689838,0.06137,200000,207390.37444054108,7390.3744405410835,1.0369518722027053
2020-03-07,1,0.34523077636929245,-1103.8448714101612,88.12,1689672.2701689838,0.05828,200000,195744.90997411177,-4255.090025888232,0.9787245498705588
2020-03-08,0,-0.6889621281081441,0.0,73.7,0.0,0.04969,200000,204783.92635877314,4783.92635877314,1.0239196317938657
2020-03-09,-2,-2.959635102911252,0.0,73.65,0.0,0.05235,200000,204783.92635877314,4783.92635877314,1.0239196317938657
2020-03-10,-2,-1.715399168180104,0.0,74.6,0.0,0.05198,200000,204783.92635877314,4783.92635877314,1.0239196317938657
2020-03-11,-2,-1.5803730412758341,0.0,72.24,0.0,0.05042,200000,204783.92635877314,4783.92635877314,1.0239196317938657
2020-03-12,-2,-2.1238555623899886,0.0,44.4,0.0,0.03174,200000,204783.92635877314,4783.92635877314,1.0239196317938657
2020-03-13,-2,-3.1447273334118027,0.0,51.16,0.0,0.03962,200000,204783.92635877314,4783.92635877314,1.0239196317938657
2020-03-14,-2,-2.7741384974931442,0.0,45.97,0.0,0.03677,200000,204783.92635877314,4783.92635877314,1.0239196317938657
