date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.5035,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.2283,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.5768,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.7598,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.8784,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,5.0333,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.8344,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,4.9521,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,5.1848,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,5.36,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,5.5704,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,5.5765,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,5.4677,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,6.7895,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,7.9911,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,8.414,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,9.4792,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,8.2944,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,8.5268,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.7585430026836004,0.0,8.6347,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.6262034361469466,0.0,8.943,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,2,1.473469491110095,0.0,9.3457,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,1,1.076816989499461,-11845.393918574762,8.4421,2649006.622516556,0.03775,200000,200000.0,0.0,1.0
2020-01-24,1,0.9287982296184856,-11845.393918574762,8.6118,2649006.622516556,0.03893,200000,205135.99116255168,5135.991162551683,1.0256799558127585
2020-01-25,1,0.6074214456152546,-11845.393918574762,8.3966,2649006.622516556,0.03989,200000,205129.90874889027,5129.908748890273,1.0256495437444513
2020-01-26,1,1.1110049138987026,-11845.393918574762,9.19,2649006.622516556,0.03889,200000,211879.03766137094,11879.037661370938,1.0593951883068546
2020-01-27,2,1.6662170732520607,0.0,10.4161,0.0,0.03892,200000,220283.4698469222,20283.469846922206,1.101417349234611
2020-01-28,2,2.1098908322764087,0.0,11.3697,0.0,0.03767,200000,220283.4698469222,20283.469846922206,1.101417349234611
2020-01-29,2,2.2755843978383328,0.0,12.2231,0.0,0.03698,200000,220283.4698469222,20283.469846922206,1.101417349234611
2020-01-30,2,1.8184729698084512,0.0,12.2842,0.0,0.0383,200000,220283.4698469222,20283.469846922206,1.101417349234611
2020-01-31,1,1.1591505761316638,-9714.388333344603,11.338,2831407.06744116,0.0389,200000,220283.4698469222,20283.469846922206,1.101417349234611
2020-02-01,2,1.2016999474084609,0.0,11.5282,0.0,0.03862,200000,222923.94048680784,22923.94048680784,1.1146197024340392
2020-02-02,0,0.9473457219183672,0.0,11.3658,0.0,0.0394,200000,222923.94048680784,22923.94048680784,1.1146197024340392
2020-02-03,0,0.8248752944988621,0.0,11.7782,0.0,0.04111,200000,222923.94048680784,22923.94048680784,1.1146197024340392
2020-02-04,0,0.5268474854203555,0.0,11.4111,0.0,0.04117,200000,222923.94048680784,22923.94048680784,1.1146197024340392
