date,statusList,zscore,ETCUSDT_position,ETCUSDT_price,THETAUSDT_position,THETAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,4.5035,0.0,0.08656,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,4.2283,0.0,0.08443,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,4.5768,0.0,0.08771,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,4.7598,0.0,0.09394,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,4.8784,0.0,0.09421,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,5.0333,0.0,0.09987,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,4.8344,0.0,0.09608,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,4.9521,0.0,0.09873,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,5.1848,0.0,0.09294,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,5.36,0.0,0.09509,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,5.5704,0.0,0.09437,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,5.5765,0.0,0.09589,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,5.4677,0.0,0.09703,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,6.7895,0.0,0.10598,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,7.9911,0.0,0.10438,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,8.414,0.0,0.10368,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,9.4792,0.0,0.11193,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,8.2944,0.0,0.10876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,8.5268,0.0,0.1126,200000,200000.0,0.0,1.0
2020-01-20,2,1.384141865486386,0.0,8.6347,0.0,0.10998,200000,200000.0,0.0,1.0
2020-01-21,2,1.3631116816774143,0.0,8.943,0.0,0.11136,200000,200000.0,0.0,1.0
2020-01-22,1,1.1057639988164765,-10700.108071091518,9.3457,840336.1344537815,0.119,200000,200000.0,0.0,1.0
2020-01-23,1,0.9450788659589452,-10700.108071091518,8.4421,840336.1344537815,0.10858,200000,181575.0798259533,-18424.92017404671,0.9078753991297664
2020-01-24,1,1.159583424230541,-10700.108071091518,8.6118,840336.1344537815,0.10494,200000,180332.0646362058,-19667.93536379421,0.901660323181029
2020-01-25,1,1.0762103826900895,-10700.108071091518,8.3966,840336.1344537815,0.10189,200000,175466.3761692228,-24533.623830777186,0.8773318808461141
2020-01-26,2,1.5021620975876633,0.0,9.19,0.0,0.10222,200000,212434.83350946548,12434.833509465476,1.0621741675473273
2020-01-27,2,1.9748095337138536,0.0,10.4161,0.0,0.10459,200000,212434.83350946548,12434.833509465476,1.0621741675473273
2020-01-28,2,2.0209007379635384,0.0,11.3697,0.0,0.10936,200000,212434.83350946548,12434.833509465476,1.0621741675473273
2020-01-29,2,2.407422934239423,0.0,12.2231,0.0,0.10434,200000,212434.83350946548,12434.833509465476,1.0621741675473273
2020-01-30,2,2.0835238206386073,0.0,12.2842,0.0,0.10431,200000,212434.83350946548,12434.833509465476,1.0621741675473273
2020-01-31,2,1.2976696209004257,0.0,11.338,0.0,0.10638,200000,212434.83350946548,12434.833509465476,1.0621741675473273
2020-02-01,2,1.3416720952265113,0.0,11.5282,0.0,0.10527,200000,212434.83350946548,12434.833509465476,1.0621741675473273
2020-02-02,1,1.1564193632843118,-9345.353319144515,11.3658,1007277.5415337386,0.10545,200000,212434.83350946545,12434.833509465447,1.0621741675473273
2020-02-03,1,1.122622077485228,-9345.353319144515,11.7782,1007277.5415337386,0.10829,200000,219149.52543623646,19149.525436236465,1.0957476271811823
2020-02-04,0,0.06352693222190221,0.0,11.4111,0.0,0.122,200000,196187.73470243934,-3812.2652975606616,0.9809386735121967
2020-02-05,0,0.5145263826998242,0.0,12.3345,0.0,0.122,200000,196187.73470243934,-3812.2652975606616,0.9809386735121967
2020-02-06,0,0.22512802618961114,0.0,12.1132,0.0,0.12425,200000,196187.73470243934,-3812.2652975606616,0.9809386735121967
2020-02-07,0,-0.08461509400740981,0.0,11.6967,0.0,0.1245,200000,196187.73470243934,-3812.2652975606616,0.9809386735121967
2020-02-08,0,0.3165036830353672,0.0,11.6984,0.0,0.1164,200000,196187.73470243934,-3812.2652975606616,0.9809386735121967
