date,statusList,zscore,FETUSDT_position,FETUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.03832,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.03642,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.03906,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.04027,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.03847,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.03949,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0372,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.03686,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.0374,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.03619,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.03779,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.03987,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.04063,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.03899,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.04001,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.03962,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0422,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.04109,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.03771,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.3867442738321498,0.0,0.03734,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.4409384938950314,0.0,0.03802,0.0,0.01732,200000,200000.0,0.0,1.0
2020-01-22,-1,-1.0405888569369426,2530364.3724696357,0.03952,-5737234.652897303,0.01743,200000,200000.0,0.0,1.0
2020-01-23,-1,-0.7522071766347325,2530364.3724696357,0.03775,-5737234.652897303,0.01628,200000,188923.43520989682,-11076.564790103177,0.9446171760494841
