date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,ETCUSDT_position,ETCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,4.5035,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,4.2283,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,4.5768,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,4.7598,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,4.8784,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,5.0333,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,4.8344,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,4.9521,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,5.1848,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,5.36,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,5.5704,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,5.5765,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,5.4677,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,6.7895,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,7.9911,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,8.414,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,9.4792,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,8.2944,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,8.5268,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.5161339594444365,0.0,0.0006756,0.0,8.6347,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.4745949259046323,0.0,0.0006651,0.0,8.943,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.4096768380810851,0.0,0.0006688,0.0,9.3457,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.1699996661997867,157903047.5288173,0.0006333,-11845.393918574762,8.4421,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.108868023606986,157903047.5288173,0.0006346,-11845.393918574762,8.6118,200000,202215.43730976962,2215.4373097696225,1.0110771865488482
2020-01-25,-1,-0.9986502891017961,157903047.5288173,0.000621,-11845.393918574762,8.3966,200000,197518.8270921004,-2481.1729078995995,0.987594135460502
2020-01-26,-1,-1.085517689769162,157903047.5288173,0.0006347,-11845.393918574762,9.19,200000,209080.2343782424,9080.2343782424,1.045401171891212
2020-01-27,-2,-1.242423608711638,0.0,0.0006521,0.0,10.4161,200000,220414.23030172483,20414.230301724834,1.1020711515086241
2020-01-28,-2,-1.3657206182135635,0.0,0.000648,0.0,11.3697,200000,220414.23030172483,20414.230301724834,1.1020711515086241
2020-01-29,-2,-1.4025829807374965,0.0,0.0006531,0.0,12.2231,200000,220414.23030172483,20414.230301724834,1.1020711515086241
2020-01-30,-2,-1.3767577598906773,0.0,0.000638,0.0,12.2842,200000,220414.23030172483,20414.230301724834,1.1020711515086241
2020-01-31,-1,-1.1155709695151417,174130376.28513575,0.0006329,-9720.154802510357,11.338,200000,220414.23030172483,20414.230301724834,1.1020711515086241
2020-02-01,-1,-1.0708610539959202,174130376.28513575,0.0006448,-9720.154802510357,11.5282,200000,224335.1552229554,24335.155222955393,1.1216757761147769
2020-02-02,-1,-0.9100867571287684,174130376.28513575,0.0006719,-9720.154802510357,11.3658,200000,227475.5352803549,27475.535280354903,1.1373776764017745
2020-02-03,-1,-1.107417365595867,174130376.28513575,0.0006619,-9720.154802510357,11.7782,200000,229742.82335805884,29742.823358058842,1.1487141167902941
2020-02-04,-1,-0.6296505142236964,174130376.28513575,0.000695,-9720.154802510357,11.4111,200000,231938.26998509525,31938.26998509525,1.1596913499254762
2020-02-05,-1,-0.9528167429263242,174130376.28513575,0.0006959,-9720.154802510357,12.3345,200000,241070.57826838997,41070.578268389974,1.2053528913419498
2020-02-06,-1,-0.44032367447644405,174130376.28513575,0.00074,-9720.154802510357,12.1132,200000,246598.65760476893,46598.65760476893,1.2329932880238446
2020-02-07,0,0.18006901707316378,0.0,0.0007744,0.0,11.6967,200000,199261.40158503863,-738.598414961365,0.9963070079251932
2020-02-08,0,0.594241367397225,0.0,0.000808,0.0,11.6984,200000,199261.40158503863,-738.598414961365,0.9963070079251932
2020-02-09,0,0.616305667536464,0.0,0.0008003,0.0,11.7025,200000,199261.40158503863,-738.598414961365,0.9963070079251932
2020-02-10,0,0.14612055972622554,0.0,0.0007595,0.0,11.8387,200000,199261.40158503863,-738.598414961365,0.9963070079251932
2020-02-11,0,0.24531235212293515,0.0,0.000771,0.0,11.96,200000,199261.40158503863,-738.598414961365,0.9963070079251932
2020-02-12,1,1.0687814548716976,-117240175.09122066,0.0008498,8161.500466317096,12.2074,200000,199261.40158503863,-738.598414961365,0.9963070079251932
2020-02-13,2,1.504464681545716,0.0,0.0008714,0.0,12.055,200000,203037.60203807574,3037.60203807574,1.0151880101903787
2020-02-14,2,1.7913549659065224,0.0,0.0008915,0.0,12.0094,200000,203037.60203807574,3037.60203807574,1.0151880101903787
2020-02-15,2,2.3904420791858025,0.0,0.000849,0.0,10.4066,200000,203037.60203807574,3037.60203807574,1.0151880101903787
2020-02-16,2,2.367601063443582,0.0,0.0008258,0.0,9.5637,200000,203037.60203807574,3037.60203807574,1.0151880101903787
2020-02-17,2,1.6314421224649553,0.0,0.0007907,0.0,9.6792,200000,203037.60203807574,3037.60203807574,1.0151880101903787
2020-02-18,2,1.3735829779608277,0.0,0.0007956,0.0,9.8629,200000,203037.60203807574,3037.60203807574,1.0151880101903787
2020-02-19,2,1.424431444588111,0.0,0.0007284,0.0,8.813,200000,203037.60203807574,3037.60203807574,1.0151880101903787
2020-02-20,1,1.1929317414257898,-140316241.90606478,0.0007235,11444.928075921385,8.8702,200000,203037.60203807574,3037.60203807574,1.0151880101903787
2020-02-21,1,0.7426053045286921,-140316241.90606478,0.0007332,11444.928075921385,9.4157,200000,210641.87784997968,10641.877849979675,1.0532093892498984
2020-02-22,1,0.5664749034388443,-140316241.90606478,0.0007301,11444.928075921385,9.4958,200000,211123.63623895217,11123.636238952167,1.055618181194761
2020-02-23,1,0.5014452510870635,-140316241.90606478,0.0007501,11444.928075921385,9.7439,200000,216769.44773270958,16769.44773270958,1.0838472386635478
2020-02-24,0,0.13848779330662964,0.0,0.0006961,0.0,9.3481,200000,193723.4058823667,-6276.5941176333,0.9686170294118335
2020-02-25,0,-0.371298647074714,0.0,0.0006552,0.0,9.1742,200000,193723.4058823667,-6276.5941176333,0.9686170294118335
2020-02-26,0,0.857228401155611,0.0,0.0006203,0.0,7.6823,200000,193723.4058823667,-6276.5941176333,0.9686170294118335
2020-02-27,1,1.1348581755634715,-150640284.5119492,0.000643,12552.380963271824,7.7166,200000,193723.4058823667,-6276.5941176333,0.9686170294118335
2020-02-28,2,1.2622482442697365,0.0,0.0006341,0.0,7.4529,200000,195692.77021022514,-4307.229789774865,0.9784638510511257
2020-02-29,1,1.0202731060329253,-158097245.28213373,0.0006189,13305.192426585882,7.354,200000,195692.77021022514,-4307.229789774865,0.9784638510511257
2020-03-01,0,0.12388892387521483,0.0,0.0006107,0.0,7.7346,200000,189332.41656135308,-10667.583438646921,0.9466620828067653
2020-03-02,0,-0.6706151539686503,0.0,0.0006394,0.0,8.456,200000,189332.41656135308,-10667.583438646921,0.9466620828067653
2020-03-03,-1,-1.0558973726767447,150025686.65717357,0.000631,-11165.83806476334,8.4782,200000,189332.41656135308,-10667.583438646921,0.9466620828067653
2020-03-04,0,0.24872815996540246,0.0,0.0006388,0.0,7.9381,200000,182131.54706664843,-17868.452933351567,0.9106577353332421
2020-03-05,0,-0.0027219570750962856,0.0,0.0006517,0.0,8.1748,200000,182131.54706664843,-17868.452933351567,0.9106577353332421
2020-03-06,0,-0.18505335732532652,0.0,0.0006483,0.0,8.2189,200000,182131.54706664843,-17868.452933351567,0.9106577353332421
2020-03-07,0,0.5229326086656743,0.0,0.0006335,0.0,7.8017,200000,182131.54706664843,-17868.452933351567,0.9106577353332421
2020-03-08,1,1.1845536658846774,-168671556.83149514,0.0005399,14131.431912933213,6.4442,200000,182131.54706664843,-17868.452933351567,0.9106577353332421
2020-03-09,0,-0.6425825233768276,0.0,0.0005328,0.0,6.9302,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-10,0,0.13635065589851256,0.0,0.0005435,0.0,6.8285,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-11,0,0.157958580346179,0.0,0.0005245,0.0,6.5922,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-12,0,-0.8427689623869277,0.0,0.0002819,0.0,3.7168,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-13,-2,-2.6029514185405263,0.0,0.0003223,0.0,4.8432,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-14,-2,-2.0719024361536893,0.0,0.0003081,0.0,4.5898,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-15,-2,-2.4629360229981865,0.0,0.0003117,0.0,5.0484,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-16,-2,-2.0523509683080077,0.0,0.0002807,0.0,4.4987,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-17,-2,-1.5512520271896657,0.0,0.0002965,0.0,4.6047,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-18,-2,-1.2982507348747043,0.0,0.0003,0.0,4.6039,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-19,-1,-1.1340249109246403,263417226.24615514,0.0003304,-17267.434785971003,5.0403,200000,174066.10310345932,-25933.896896540682,0.8703305155172966
2020-03-20,-1,-0.8931498145557998,263417226.24615514,0.0003259,-17267.434785971003,4.8869,200000,170231.90108918367,-29768.098910816334,0.8511595054459183
2020-03-21,-1,-1.0597710189877396,263417226.24615514,0.0003237,-17267.434785971003,5.008,200000,171743.46954402322,-28256.530455976783,0.8587173477201161
2020-03-22,-1,-0.7629491850186119,263417226.24615514,0.0003046,-17267.434785971003,4.5935,200000,159554.84880393662,-40445.15119606338,0.7977742440196831
2020-03-23,-1,-0.7514859279922596,263417226.24615514,0.0003273,-17267.434785971003,4.9669,200000,171982.07998880593,-28017.920011194074,0.8599103999440296
2020-03-24,-1,-0.6561853741486733,263417226.24615514,0.0003345,-17267.434785971003,5.0657,200000,175584.7065746322,-24415.293425367796,0.877923532873161
2020-03-25,-1,-0.8755912343078884,263417226.24615514,0.0003198,-17267.434785971003,5.0181,200000,170890.5434530015,-29109.456546998495,0.8544527172650075
2020-03-26,-1,-0.783348642692173,263417226.24615514,0.0003251,-17267.434785971003,5.0968,200000,173645.60186976206,-26354.39813023794,0.8682280093488103
2020-03-27,-1,-0.7841623421473413,263417226.24615514,0.0003112,-17267.434785971003,4.9209,200000,166946.76064608817,-33053.239353911835,0.8347338032304408
2020-03-28,-1,-0.2392142001636214,263417226.24615514,0.0003188,-17267.434785971003,4.8133,200000,167090.7555825885,-32909.24441741151,0.8354537779129425
2020-03-29,-1,-0.5238162492013198,263417226.24615514,0.0003091,-17267.434785971003,4.8126,200000,164523.5212836506,-35476.478716349404,0.822617606418253
2020-03-30,0,0.07163283468539003,0.0,0.0003298,0.0,4.9529,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-03-31,0,0.937739029479777,0.0,0.0003378,0.0,4.9341,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-01,0,0.6076735312474645,0.0,0.0003331,0.0,5.0254,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-02,0,-0.25119216130746114,0.0,0.0003299,0.0,5.0957,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-03,0,-0.13402085771827274,0.0,0.0003317,0.0,5.1164,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-04,0,-0.8369837322025262,0.0,0.0003292,0.0,5.1474,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-05,0,0.008193620758467749,0.0,0.0003285,0.0,5.0296,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-06,-2,-1.7906030809621725,0.0,0.0003525,0.0,5.6197,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-07,-2,-1.6123698314848947,0.0,0.0003431,0.0,5.4749,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-08,-2,-1.977903484719896,0.0,0.0003585,0.0,5.8256,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-09,-2,-1.5474987919745358,0.0,0.0003647,0.0,5.8893,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-10,0,0.22463059852885547,0.0,0.0003415,0.0,5.2478,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-11,0,-0.2470486147659132,0.0,0.0003387,0.0,5.2804,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-12,0,-0.8439612697960982,0.0,0.0003346,0.0,5.3145,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-13,0,0.39897676263713716,0.0,0.000337,0.0,5.1805,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-14,0,-0.2257135848533635,0.0,0.0003357,0.0,5.2449,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-15,0,-0.19294288924200287,0.0,0.0003268,0.0,5.1002,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-16,-2,-1.6050982925859394,0.0,0.0003363,0.0,5.4755,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-17,0,-0.7247339083554004,0.0,0.0003376,0.0,5.3707,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-18,-2,-1.6703996028125727,0.0,0.0003437,0.0,5.6573,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-19,-2,-1.3493467292410823,0.0,0.0003348,0.0,5.4796,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-20,-2,-2.001202836630327,0.0,0.000312,0.0,5.2249,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-21,-2,-1.4293612898823833,0.0,0.0003146,0.0,5.1993,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-22,-2,-1.8447333812607538,0.0,0.0003193,0.0,5.3867,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-23,-2,-2.1074459364422147,0.0,0.0003251,0.0,5.6028,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-24,-2,-1.2080526118255155,0.0,0.0003333,0.0,5.5931,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-25,-2,-1.2302627472821202,0.0,0.000341,0.0,5.75,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-26,-2,-2.3839057644826114,0.0,0.0003455,0.0,6.2159,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-27,-2,-1.6922689675822837,0.0,0.0003457,0.0,6.103,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-28,-2,-1.7415854640587078,0.0,0.0003426,0.0,6.1423,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
2020-04-29,-2,-2.0509519011260906,0.0,0.0003616,0.0,6.7433,200000,172714.97963891312,-27285.020361086878,0.8635748981945657
