date,statusList,zscore,HOTUSDT_position,HOTUSDT_price,MITHUSDT_position,MITHUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.0006275,0.0,0.00757,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0006035,0.0,0.00699,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.0006794,0.0,0.00739,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.0006796,0.0,0.00728,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.0006708,0.0,0.00734,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.000703,0.0,0.00741,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.0006815,0.0,0.00705,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0006721,0.0,0.00678,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.000671,0.0,0.00664,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.0006865,0.0,0.00655,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00067,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.0006813,0.0,0.00671,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.000674,0.0,0.00669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0007056,0.0,0.00679,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.0007118,0.0,0.00715,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.0006959,0.0,0.00716,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.0007304,0.0,0.00723,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.0007145,0.0,0.00732,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0006752,0.0,0.00704,200000,200000.0,0.0,1.0
2020-01-20,0,0.13404962970765402,0.0,0.0006756,0.0,0.00692,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.2454590535284549,0.0,0.0006651,0.0,0.00727,200000,200000.0,0.0,1.0
2020-01-22,-2,-2.2199081916984884,0.0,0.0006688,0.0,0.00767,200000,200000.0,0.0,1.0
2020-01-23,-2,-2.1261050704086415,0.0,0.0006333,0.0,0.00734,200000,200000.0,0.0,1.0
