date,statusList,zscore,IOSTUSDT_position,IOSTUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.004817,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.004605,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.004819,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.004869,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.004916,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00512,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00496,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.004716,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.004766,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.005095,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.004983,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.005361,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.005108,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.005758,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.005815,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.005884,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.006125,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.005849,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.005483,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,0,0.589716549806564,0.0,0.005363,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,0,0.9365167122396477,0.0,0.005409,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,0,0.9294711612466209,0.0,0.005462,0.0,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,1,1.0978755815903067,-19018638.26550019,0.005258,157903047.5288173,0.0006333,200000,200000.0,0.0,1.0
2020-01-24,1,0.7755543749577878,-19018638.26550019,0.005196,157903047.5288173,0.0006346,200000,199026.11838932644,-973.8816106735612,0.9951305919466322
2020-01-25,1,1.0559074061877645,-19018638.26550019,0.005198,157903047.5288173,0.000621,200000,196916.67421946555,-3083.3257805344474,0.9845833710973277
2020-01-26,1,1.176968110679748,-19018638.26550019,0.005384,157903047.5288173,0.0006347,200000,202617.41268799338,2617.4126879933756,1.013087063439967
