date,statusList,zscore,LINKUSDT_position,LINKUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.8111,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.7366,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.804,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.8242,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.7957,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.9374,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,2.1033,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,2.1892,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,2.1886,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,2.2257,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,2.2734,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,2.2383,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,2.1901,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,2.3751,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,2.3953,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,2.4925,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.7006,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.7709,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,2.6212,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,0,0.4179015659460025,0.0,2.688,0.0,0.1511,200000,200000.0,0.0,1.0
2020-01-21,0,-0.3127242824231651,0.0,2.6716,0.0,0.157,200000,200000.0,0.0,1.0
2020-01-22,0,-0.49112018582766187,0.0,2.6426,0.0,0.1564,200000,200000.0,0.0,1.0
2020-01-23,0,-0.9210227202733531,0.0,2.4698,0.0,0.1495,200000,200000.0,0.0,1.0
2020-01-24,0,-0.8984270726032294,0.0,2.5024,0.0,0.1507,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.7302113751245316,0.0,2.4468,0.0,0.155,200000,200000.0,0.0,1.0
2020-01-26,-2,-2.4682614699976853,0.0,2.5764,0.0,0.1738,200000,200000.0,0.0,1.0
2020-01-27,-2,-2.1364478877877344,0.0,2.6055,0.0,0.1775,200000,200000.0,0.0,1.0
2020-01-28,-2,-2.0685742020384454,0.0,2.6558,0.0,0.186,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.346793406433264,0.0,2.7773,0.0,0.2112,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.361316629405939,0.0,2.9156,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-31,-2,-2.4743630032223276,0.0,2.8259,0.0,0.2589,200000,200000.0,0.0,1.0
2020-02-01,-2,-2.255832726874013,0.0,2.8378,0.0,0.2751,200000,200000.0,0.0,1.0
2020-02-02,-2,-2.2945524289892787,0.0,2.8267,0.0,0.3176,200000,200000.0,0.0,1.0
2020-02-03,-2,-2.2598261625792806,0.0,2.771,0.0,0.3705,200000,200000.0,0.0,1.0
2020-02-04,-2,-2.317461807724044,0.0,2.7395,0.0,0.5091,200000,200000.0,0.0,1.0
2020-02-05,-2,-1.746287657724612,0.0,2.839,0.0,0.4369,200000,200000.0,0.0,1.0
2020-02-06,-2,-1.576498516001486,0.0,2.89,0.0,0.4574,200000,200000.0,0.0,1.0
2020-02-07,-1,-1.069108476986177,30237.058538945334,3.3072,-242541.8384671356,0.4123,200000,200000.0,0.0,1.0
2020-02-08,-1,-0.8835378804670885,30237.058538945334,3.4171,-242541.8384671356,0.4056,200000,201698.0224157003,1698.0224157003104,1.0084901120785015
2020-02-09,-1,-0.9009564037394554,30237.058538945334,3.4945,-242541.8384671356,0.438,200000,211896.72631294985,11896.726312949846,1.0594836315647491
2020-02-10,-1,-0.7386730741498884,30237.058538945334,3.3862,-242541.8384671356,0.4077,200000,201273.03516762785,1273.0351676278515,1.0063651758381393
