date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,ICXUSDT_position,ICXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,0.1146,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,0.1096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,0.1142,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,0.1139,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,0.1135,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,0.1248,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,0.1201,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,0.1171,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,0.1167,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,0.1188,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,0.1202,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,0.1215,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,0.1229,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,0.1394,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,0.143,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,0.1455,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,0.1527,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,0.1532,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,0.1462,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.4820729062805975,0.0,0.00692,0.0,0.1511,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.2881695549863605,0.0,0.00727,0.0,0.157,200000,200000.0,0.0,1.0
2020-01-22,0,-0.7851298672548842,0.0,0.00767,0.0,0.1564,200000,200000.0,0.0,1.0
2020-01-23,0,-0.702580636171339,0.0,0.00734,0.0,0.1495,200000,200000.0,0.0,1.0
2020-01-24,0,-0.769681215037795,0.0,0.00728,0.0,0.1507,200000,200000.0,0.0,1.0
2020-01-25,0,-0.8123339469633446,0.0,0.00742,0.0,0.155,200000,200000.0,0.0,1.0
2020-01-26,0,-0.974719714815169,0.0,0.00813,0.0,0.1738,200000,200000.0,0.0,1.0
2020-01-27,-2,-1.508472231813082,0.0,0.00781,0.0,0.1775,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.8703256511702655,0.0,0.00776,0.0,0.186,200000,200000.0,0.0,1.0
2020-01-29,-2,-2.604900669548097,0.0,0.00764,0.0,0.2112,200000,200000.0,0.0,1.0
2020-01-30,-2,-2.7637681687097277,0.0,0.00742,0.0,0.238,200000,200000.0,0.0,1.0
2020-01-31,-2,-2.3438403325266486,0.0,0.00794,0.0,0.2589,200000,200000.0,0.0,1.0
2020-02-01,-2,-2.2064093026080616,0.0,0.00792,0.0,0.2751,200000,200000.0,0.0,1.0
2020-02-02,-2,-2.250549637177737,0.0,0.00799,0.0,0.3176,200000,200000.0,0.0,1.0
