date,statusList,zscore,MITHUSDT_position,MITHUSDT_price,IOTAUSDT_position,IOTAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00757,0.0,0.1606,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.00699,0.0,0.1584,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00739,0.0,0.1664,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00728,0.0,0.1734,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00734,0.0,0.1718,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00741,0.0,0.1826,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00705,0.0,0.1857,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.00678,0.0,0.1811,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00664,0.0,0.177,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00655,0.0,0.1902,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00669,0.0,0.1918,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00671,0.0,0.1913,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00669,0.0,0.1884,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.00679,0.0,0.2105,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00715,0.0,0.2335,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00716,0.0,0.2279,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00723,0.0,0.2383,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00732,0.0,0.2461,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00704,0.0,0.2462,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.514950148412521,0.0,0.00692,0.0,0.2523,200000,200000.0,0.0,1.0
2020-01-21,-1,-1.159235911989414,13755158.184319118,0.00727,-399520.5753096284,0.2503,200000,200000.0,0.0,1.0
2020-01-22,-1,-0.7571406774656213,13755158.184319118,0.00767,-399520.5753096284,0.249,200000,204982.68652582512,4982.68652582512,1.0249134326291256
2020-01-23,-1,-0.6532334962062004,13755158.184319118,0.00734,-399520.5753096284,0.2369,200000,195609.2853637533,-4390.714636246703,0.9780464268187665
2020-01-24,-1,-0.6385502574626962,13755158.184319118,0.00728,-399520.5753096284,0.237,200000,194823.9279302251,-5176.072069774906,0.9741196396511255
2020-01-25,-1,-0.33186647961816557,13755158.184319118,0.00742,-399520.5753096284,0.2344,200000,195710.89658022474,-4289.10341977526,0.9785544829011237
2020-01-26,0,0.19720777018190305,0.0,0.00813,0.0,0.2457,200000,186332.76931506128,-13667.230684938724,0.9316638465753064
2020-01-27,0,-0.40748302792951613,0.0,0.00781,0.0,0.2522,200000,186332.76931506128,-13667.230684938724,0.9316638465753064
2020-01-28,-2,-1.6295394030558372,0.0,0.00776,0.0,0.2863,200000,186332.76931506128,-13667.230684938724,0.9316638465753064
2020-01-29,-2,-2.125581685815023,0.0,0.00764,0.0,0.3041,200000,186332.76931506128,-13667.230684938724,0.9316638465753064
2020-01-30,-2,-1.8139735473555547,0.0,0.00742,0.0,0.294,200000,186332.76931506128,-13667.230684938724,0.9316638465753064
