date,statusList,zscore,NEOUSDT_position,NEOUSDT_price,TFUELUSDT_position,TFUELUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,8.85,0.0,0.002383,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,8.462,0.0,0.002297,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,8.888,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,9.077,0.0,0.002429,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,9.02,0.0,0.002412,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,9.757,0.0,0.002461,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,9.801,0.0,0.002382,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,9.448,0.0,0.002511,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,9.387,0.0,0.002395,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,9.862,0.0,0.002402,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,9.696,0.0,0.002403,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,10.271,0.0,0.002452,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,10.0,0.0,0.002456,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,11.204,0.0,0.002572,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,11.412,0.0,0.002567,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,11.271,0.0,0.002584,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,11.848,0.0,0.002598,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,11.876,0.0,0.002591,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,11.245,0.0,0.00246,200000,200000.0,0.0,1.0
2020-01-20,0,0.6764717074967818,0.0,11.114,0.0,0.002579,200000,200000.0,0.0,1.0
2020-01-21,1,1.062850838552206,-8907.892392659896,11.226,39777247.41447891,0.002514,200000,200000.0,0.0,1.0
2020-01-22,1,0.9900204300336098,-8907.892392659896,11.247,39777247.41447891,0.002515,200000,200226.84298766032,226.8429876603186,1.0011342149383016
2020-01-23,1,0.21622099988706653,-8907.892392659896,10.621,39777247.41447891,0.002492,200000,193735.6256593222,-6264.3743406778085,0.9686781282966109
2020-01-24,1,0.24272233017928022,-8907.892392659896,10.511,39777247.41447891,0.002449,200000,191045.335857307,-8954.664142692985,0.955226679286535
2020-01-25,0,-0.39365400678375656,0.0,10.35,0.0,0.002489,200000,193191.1174493919,-6808.882550608105,0.9659555872469595
2020-01-26,0,0.22859351609174325,0.0,10.797,0.0,0.0025,200000,193191.1174493919,-6808.882550608105,0.9659555872469595
2020-01-27,0,0.12737100757520584,0.0,11.082,0.0,0.002574,200000,193191.1174493919,-6808.882550608105,0.9659555872469595
2020-01-28,0,0.333281407801346,0.0,11.36,0.0,0.0026,200000,193191.1174493919,-6808.882550608105,0.9659555872469595
2020-01-29,1,1.067564114754448,-8623.833472430671,11.201,38934122.82333573,0.002481,200000,193191.11744939192,-6808.882550608076,0.9659555872469596
2020-01-30,2,1.888288865226036,0.0,11.735,0.0,0.002498,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-01-31,2,1.3241237364191247,0.0,11.453,0.0,0.002482,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-02-01,0,0.9919834739089868,0.0,11.422,0.0,0.002496,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-02-02,2,1.9269275511589408,0.0,12.016,0.0,0.002528,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-02-03,1,1.1649178112311054,-8296.900860087255,11.88,38608375.330135755,0.002553,200000,197134.36443567317,-2865.6355643268325,0.9856718221783658
2020-02-04,0,-0.2550035316957321,0.0,12.177,0.0,0.002754,200000,191838.26054976182,-8161.739450238179,0.9591913027488091
2020-02-05,0,-0.23696045299463334,0.0,12.762,0.0,0.002882,200000,191838.26054976182,-8161.739450238179,0.9591913027488091
2020-02-06,-1,-1.098012803291228,7427.530608245386,12.914,-31719289.11206379,0.003024,200000,191838.26054976182,-8161.739450238179,0.9591913027488091
2020-02-07,-2,-2.23014478286469,0.0,12.792,0.0,0.0032,200000,198327.014167691,-1672.9858323090011,0.991635070838455
2020-02-08,-1,-1.1184803040693643,7815.534921488454,12.688,-32716432.558180634,0.003031,200000,198327.014167691,-1672.9858323090011,0.991635070838455
2020-02-09,-1,-0.7158905317709864,7815.534921488454,14.201,-32716432.558180634,0.003333,200000,220032.28113647358,20032.281136473583,1.1001614056823679
2020-02-10,-2,-2.0690416257654656,0.0,13.551,0.0,0.003465,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-11,-2,-1.9012266698024505,0.0,13.791,0.0,0.003563,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-12,-2,-1.3224095148972428,0.0,14.822,0.0,0.00372,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-13,-2,-1.5794717086784054,0.0,15.141,0.0,0.003918,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-14,0,0.10764500517107553,0.0,16.676,0.0,0.003836,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-15,0,0.19529260095222487,0.0,15.127,0.0,0.003458,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-16,0,0.49474019844497125,0.0,14.625,0.0,0.003274,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-17,0,0.4525413333143841,0.0,15.027,0.0,0.003369,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-18,0,0.8149544680825883,0.0,15.5,0.0,0.003394,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-19,0,0.7965601695641203,0.0,14.043,0.0,0.003088,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-20,0,0.6015564245541977,0.0,14.03,0.0,0.003129,200000,205781.13926069686,5781.139260696858,1.0289056963034844
2020-02-21,0,0.5879951024242056,0.0,14.017,0.0,0.003134,200000,205781.13926069686,5781.139260696858,1.0289056963034844
