date,statusList,zscore,OMGUSDT_position,OMGUSDT_price,ATOMUSDT_position,ATOMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.6214,0.0,4.38,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.595,0.0,4.096,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.6248,0.0,4.237,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.6246,0.0,4.25,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.6367,0.0,4.2,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.6864,0.0,4.111,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.6706,0.0,4.075,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.6603,0.0,3.995,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.6373,0.0,4.245,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.6559,0.0,4.27,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.6701,0.0,4.264,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.6943,0.0,4.253,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.6669,0.0,4.245,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.735,0.0,4.53,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.7959,0.0,4.573,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.7749,0.0,5.097,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.885,0.0,5.015,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8392,0.0,4.625,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.7998,0.0,4.516,200000,200000.0,0.0,1.0
2020-01-20,1,1.1250396548172685,-127730.23374632775,0.7829,22197.558268590456,4.505,200000,200000.0,0.0,1.0
2020-01-21,2,1.5392268538004519,0.0,0.838,0.0,4.64,200000,204041.26551316294,4041.2655131629435,1.0202063275658146
2020-01-22,0,0.999582436822493,0.0,0.8165,0.0,4.657,200000,204041.26551316294,4041.2655131629435,1.0202063275658146
2020-01-23,0,0.5594960788389538,0.0,0.7638,0.0,4.463,200000,204041.26551316294,4041.2655131629435,1.0202063275658146
2020-01-24,0,0.634462061068555,0.0,0.7754,0.0,4.488,200000,204041.26551316294,4041.2655131629435,1.0202063275658146
2020-01-25,0,0.6083914845323104,0.0,0.7607,0.0,4.39,200000,204041.26551316294,4041.2655131629435,1.0202063275658146
2020-01-26,0,0.8766611460654045,0.0,0.7905,0.0,4.478,200000,204041.26551316294,4041.2655131629435,1.0202063275658146
2020-01-27,1,1.0108044765642235,-126356.988799333,0.8074,22595.931950516384,4.515,200000,204041.26551316294,4041.2655131629435,1.0202063275658146
2020-01-28,1,0.9624201731705804,-126356.988799333,0.8205,22595.931950516384,4.577,200000,207097.48984736623,7097.489847366232,1.0354874492368311
2020-01-29,2,1.883317215505192,0.0,0.8402,0.0,4.401,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-01-30,2,2.3975235192873736,0.0,0.888,0.0,4.41,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-01-31,2,2.251780286989757,0.0,0.901,0.0,4.397,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-01,2,2.1273205986669583,0.0,0.9168,0.0,4.388,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-02,2,2.3661994683731673,0.0,0.968,0.0,4.403,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-03,2,2.326239664043437,0.0,0.9721,0.0,4.263,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-04,2,2.0822619239187423,0.0,0.9776,0.0,4.22,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-05,2,2.1124926459647986,0.0,1.0358,0.0,4.33,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-06,2,1.9482602424842936,0.0,1.1183,0.0,4.589,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-07,2,1.4053445397574706,0.0,1.1322,0.0,4.825,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-08,2,1.7481751290591685,0.0,1.1608,0.0,4.629,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-09,1,1.1663818110916824,-93067.96387359353,1.1323,22152.797034700434,4.757,200000,210761.7109881399,10761.710988139908,1.0538085549406995
2020-02-10,1,0.9713975925009565,-93067.96387359353,1.1236,22152.797034700434,4.773,200000,210306.46445499483,10306.464454994828,1.0515323222749742
2020-02-11,1,0.8547858234462342,-93067.96387359353,1.1979,22152.797034700434,5.105,200000,224576.1427863234,24576.142786323413,1.122880713931617
2020-02-12,1,1.1032636153331932,-93067.96387359353,1.2495,22152.797034700434,5.109,200000,229467.06091033964,29467.060910339642,1.1473353045516983
2020-02-13,2,1.5646066146601725,0.0,1.2846,0.0,4.906,200000,221635.19512791786,21635.19512791786,1.1081759756395893
2020-02-14,2,1.6294063587009844,0.0,1.371,0.0,5.111,200000,221635.19512791786,21635.19512791786,1.1081759756395893
2020-02-15,2,1.8207244477648212,0.0,1.2868,0.0,4.608,200000,221635.19512791786,21635.19512791786,1.1081759756395893
2020-02-16,2,1.3725996423952636,0.0,1.182,0.0,4.382,200000,221635.19512791786,21635.19512791786,1.1081759756395893
2020-02-17,2,1.4703482700465524,0.0,1.1726,0.0,4.27,200000,221635.19512791786,21635.19512791786,1.1081759756395893
2020-02-18,1,1.1919025765576854,-92548.51976278514,1.1974,24953.29825804074,4.441,200000,221635.19512791786,21635.19512791786,1.1081759756395893
2020-02-19,1,0.9158403450060737,-92548.51976278514,1.0986,24953.29825804074,4.146,200000,205130.17838923266,5130.178389232664,1.0256508919461633
2020-02-20,0,-0.2397995937670469,0.0,1.081,0.0,4.461,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-21,-2,-1.4586085023321749,0.0,1.0929,0.0,4.953,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-22,-2,-1.4757203528655,0.0,1.1046,0.0,5.011,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-23,0,-0.584700281557184,0.0,1.1389,0.0,4.794,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-24,0,-0.32596773672836427,0.0,1.0671,0.0,4.393,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-25,0,-0.2679103552975744,0.0,0.9893,0.0,4.051,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-26,0,-0.7528730434823472,0.0,0.856,0.0,3.641,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-27,0,-0.36642053099146427,0.0,0.8951,0.0,3.692,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-28,0,-0.41997973534087485,0.0,0.855,0.0,3.548,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-02-29,0,-0.5418823624597131,0.0,0.8225,0.0,3.443,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-01,0,0.11858048595638081,0.0,0.841,0.0,3.347,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-02,0,-0.48363880488736355,0.0,0.8949,0.0,3.709,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-03,0,-0.28615550793276506,0.0,0.8864,0.0,3.623,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-04,0,-0.5195197194733105,0.0,0.8969,0.0,3.743,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-05,0,-0.06080853356620772,0.0,0.9253,0.0,3.756,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-06,0,-0.12912006644988472,0.0,0.9392,0.0,3.854,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-07,0,0.42970390733467345,0.0,0.9058,0.0,3.618,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-08,0,0.45096904720080766,0.0,0.7655,0.0,3.081,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-09,2,1.6835987677960969,0.0,0.7883,0.0,3.026,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-10,2,1.5913150281772728,0.0,0.7904,0.0,3.062,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-11,0,0.828103670317444,0.0,0.7522,0.0,2.994,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-12,0,0.8544888256887315,0.0,0.4069,0.0,1.615,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-13,2,3.1733680886788234,0.0,0.5034,0.0,1.804,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-14,0,0.6803218309435409,0.0,0.4684,0.0,1.837,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-15,0,0.8159991120717351,0.0,0.4939,0.0,1.921,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-16,1,1.0288398398421688,-241852.7034517922,0.4349,62945.386433982305,1.671,200000,210363.48146236886,10363.481462368858,1.0518174073118443
2020-03-17,2,1.4772338208974676,0.0,0.4697,0.0,1.763,200000,212988.97999056487,12988.979990564869,1.0649448999528244
2020-03-18,0,0.43453194202647083,0.0,0.4644,0.0,1.811,200000,212988.97999056487,12988.979990564869,1.0649448999528244
2020-03-19,0,0.9561833602759016,0.0,0.5429,0.0,2.067,200000,212988.97999056487,12988.979990564869,1.0649448999528244
2020-03-20,0,-0.9061898283649653,0.0,0.53,0.0,2.165,200000,212988.97999056487,12988.979990564869,1.0649448999528244
2020-03-21,-1,-1.17642152563537,203583.42572219926,0.5231,-49121.07472107123,2.168,200000,212988.97999056487,12988.979990564869,1.0649448999528244
2020-03-22,-1,-0.4701755535842654,203583.42572219926,0.477,-49121.07472107123,1.917,200000,191274.3943097826,-8725.605690217402,0.956371971548913
2020-03-23,-2,-1.3659860652226392,0.0,0.5057,0.0,2.111,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-03-24,0,-0.602215955086497,0.0,0.531,0.0,2.143,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-03-25,0,-0.872044420207624,0.0,0.5096,0.0,2.079,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-03-26,-2,-1.385441463685887,0.0,0.5208,0.0,2.173,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-03-27,0,-0.07487929358867502,0.0,0.5032,0.0,1.992,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-03-28,0,0.2607696039038698,0.0,0.5051,0.0,1.971,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-03-29,0,-0.02917308402833254,0.0,0.4682,0.0,1.85,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-03-30,0,0.6483732679247146,0.0,0.5082,0.0,1.957,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-03-31,1,1.0581511759386641,-207104.09916572677,0.516,54802.930856161554,1.95,200000,213731.43033903005,13731.430339030048,1.0686571516951502
2020-04-01,2,1.507299709750717,0.0,0.5337,0.0,1.969,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-02,2,2.2489909358781226,0.0,0.5527,0.0,1.982,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-03,2,1.6476445222306908,0.0,0.5439,0.0,1.978,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-04,2,1.3107186019769606,0.0,0.5513,0.0,2.022,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-05,0,0.45131045593814295,0.0,0.5416,0.0,2.064,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-06,0,-0.5988802844286684,0.0,0.599,0.0,2.407,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-07,0,-0.005642069895853171,0.0,0.6005,0.0,2.346,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-08,0,-0.4333025921738117,0.0,0.6238,0.0,2.493,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-09,-2,-1.4926494164263997,0.0,0.608,0.0,2.573,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-10,-1,-1.1265017051072386,194704.74910726812,0.5556,-46891.18274989084,2.307,200000,216355.91720799633,16355.917207996332,1.0817795860399817
2020-04-11,-1,-0.8298132576992907,194704.74910726812,0.5631,-46891.18274989084,2.306,200000,217769.31164355096,17769.31164355096,1.088846558217755
2020-04-12,-1,-0.7623714238225587,194704.74910726812,0.5646,-46891.18274989084,2.299,200000,217733.13048796263,17733.130487962626,1.088665652439813
