date,statusList,zscore,OMGUSDT_position,OMGUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.6214,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.595,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.6248,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.6246,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.6367,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.6864,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.6706,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.6603,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.6373,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.6559,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.6701,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.6943,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.6669,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.735,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.7959,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.7749,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.885,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8392,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.7998,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,2,1.5630551321450303,0.0,0.7829,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,2,1.8520996508974223,0.0,0.838,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,1,1.0375601816058753,-122473.9742804654,0.8165,2530364.3724696357,0.03952,200000,200000.0,0.0,1.0
2020-01-23,1,0.7377947123214182,-122473.9742804654,0.7638,2530364.3724696357,0.03775,200000,189066.87661614822,-10933.12338385178,0.9453343830807411
2020-01-24,1,0.4950449725225867,-122473.9742804654,0.7754,2530364.3724696357,0.03893,200000,193473.4046773158,-6526.59532268421,0.967367023386579
2020-01-25,0,-0.07559870648404018,0.0,0.7607,0.0,0.03989,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-01-26,0,0.6265752567716674,0.0,0.7905,0.0,0.03889,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-01-27,0,0.80695319446775,0.0,0.8074,0.0,0.03892,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-01-28,2,1.313079999725296,0.0,0.8205,0.0,0.03767,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-01-29,2,1.7065892168139476,0.0,0.8402,0.0,0.03698,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-01-30,2,1.7387127416358465,0.0,0.888,0.0,0.0383,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-01-31,2,1.5507658243371527,0.0,0.901,0.0,0.0389,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-02-01,2,1.7126228780781885,0.0,0.9168,0.0,0.03862,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-02-02,2,2.1196796037150256,0.0,0.968,0.0,0.0394,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-02-03,2,1.3984008143606497,0.0,0.9721,0.0,0.04111,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-02-04,2,1.3093656375434648,0.0,0.9776,0.0,0.04117,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-02-05,2,1.9500388931660968,0.0,1.0358,0.0,0.04095,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-02-06,1,1.0235293712893996,-85947.29384661371,1.1183,2051982.4660262195,0.04684,200000,192229.71741733624,-7770.282582663756,0.9611485870866812
2020-02-07,1,1.114605376937619,-85947.29384661371,1.1322,2051982.4660262195,0.04669,200000,193116.58743190026,-6883.412568099739,0.9655829371595013
2020-02-08,2,1.750890215390949,0.0,1.1608,0.0,0.04483,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-09,0,0.16005033922676395,0.0,1.1323,0.0,0.04946,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-10,0,0.2667968275936366,0.0,1.1236,0.0,0.04853,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-11,0,0.3225785481270675,0.0,1.1979,0.0,0.05124,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-12,0,0.3542772441815435,0.0,1.2495,0.0,0.05301,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-13,0,0.3214945261401309,0.0,1.2846,0.0,0.05431,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-14,2,1.3294829319074617,0.0,1.371,0.0,0.05425,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-15,2,1.6646451796242274,0.0,1.2868,0.0,0.04983,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-16,2,1.3232557250680217,0.0,1.182,0.0,0.0465,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-17,2,1.399858284275008,0.0,1.1726,0.0,0.0458,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-18,0,0.7536498465647067,0.0,1.1974,0.0,0.04787,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-19,2,1.5971173413295492,0.0,1.0986,0.0,0.04213,200000,200006.96216253005,6.962162530049682,1.0000348108126502
2020-02-20,2,1.6456311262796053,0.0,1.081,0.0,0.04101,200000,200006.96216253005,6.962162530049682,1.0000348108126502
