date,statusList,zscore,OMGUSDT_position,OMGUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.6214,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.595,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.6248,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.6246,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.6367,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.6864,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.6706,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.6603,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.6373,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.6559,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.6701,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.6943,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.6669,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.735,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.7959,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.7749,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.885,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8392,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.7998,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,2,1.7414247192680279,0.0,0.7829,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,2,2.1380142851160935,0.0,0.838,0.0,0.1062,200000,200000.0,0.0,1.0
2020-01-22,2,1.4482049564546444,0.0,0.8165,0.0,0.107,200000,200000.0,0.0,1.0
