date,statusList,zscore,ONEUSDT_position,ONEUSDT_price,MATICUSDT_position,MATICUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.00466,0.0,0.01496,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.0047,0.0,0.01467,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.00478,0.0,0.01512,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.00475,0.0,0.01484,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.00466,0.0,0.01483,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.00476,0.0,0.01554,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.00455,0.0,0.01509,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.0046,0.0,0.01499,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.00458,0.0,0.01459,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.00463,0.0,0.01486,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.00462,0.0,0.01479,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.00464,0.0,0.01496,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.00477,0.0,0.01548,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.0049,0.0,0.01564,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.00504,0.0,0.01639,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.00493,0.0,0.01614,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.00518,0.0,0.0187,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.00506,0.0,0.01748,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.0048,0.0,0.01643,200000,200000.0,0.0,1.0
2020-01-20,-1,-1.0242563220671022,20080321.285140563,0.00498,-5934718.100890208,0.01685,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.5277061848924425,0.0,0.00493,0.0,0.01713,200000,202665.73713250627,2665.7371325062704,1.0133286856625314
2020-01-22,-2,-1.4843960886516734,0.0,0.00489,0.0,0.01708,200000,202665.73713250627,2665.7371325062704,1.0133286856625314
2020-01-23,2,1.6866629663884434,0.0,0.00522,0.0,0.01605,200000,202665.73713250627,2665.7371325062704,1.0133286856625314
2020-01-24,2,1.3079118134298748,0.0,0.0052,0.0,0.01622,200000,202665.73713250627,2665.7371325062704,1.0133286856625314
2020-01-25,1,1.0938561827992856,-19869189.914951593,0.0051,6325397.538467737,0.01602,200000,202665.73713250627,2665.7371325062704,1.0133286856625314
2020-01-26,1,0.33116322776741913,-19869189.914951593,0.00508,6325397.538467737,0.01645,200000,204988.27427574835,4988.27427574835,1.0249413713787416
2020-01-27,0,-0.3115715837904996,0.0,0.00508,0.0,0.0169,200000,196702.00350035564,-3297.9964996443596,0.9835100175017782
2020-01-28,0,-0.5532682339073562,0.0,0.00509,0.0,0.01714,200000,196702.00350035564,-3297.9964996443596,0.9835100175017782
2020-01-29,0,-0.707662385441607,0.0,0.00501,0.0,0.01704,200000,196702.00350035564,-3297.9964996443596,0.9835100175017782
2020-01-30,-2,-1.7218616867280931,0.0,0.00516,0.0,0.01859,200000,196702.00350035564,-3297.9964996443596,0.9835100175017782
2020-01-31,0,-0.800675730596258,0.0,0.00519,0.0,0.01795,200000,196702.00350035564,-3297.9964996443596,0.9835100175017782
2020-02-01,-1,-1.0393675691965192,18913654.182726506,0.0052,-5377310.101157891,0.01829,200000,196702.00350035564,-3297.9964996443596,0.9835100175017782
2020-02-02,-2,-1.4202843348327097,0.0,0.00526,0.0,0.01903,200000,199546.39372424892,-453.60627575108083,0.9977319686212446
2020-02-03,-2,-2.0257208123347468,0.0,0.00576,0.0,0.02199,200000,199546.39372424892,-453.60627575108083,0.9977319686212446
2020-02-04,-2,-1.5144374198484671,0.0,0.0056,0.0,0.02098,200000,199546.39372424892,-453.60627575108083,0.9977319686212446
