date,statusList,zscore,QTUMUSDT_position,QTUMUSDT_price,IOSTUSDT_position,IOSTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.603,0.0,0.004817,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,1.533,0.0,0.004605,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,1.629,0.0,0.004819,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,1.642,0.0,0.004869,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,1.631,0.0,0.004916,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,1.747,0.0,0.00512,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,1.735,0.0,0.00496,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,1.683,0.0,0.004716,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,1.634,0.0,0.004766,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,1.734,0.0,0.005095,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,1.74,0.0,0.004983,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,1.754,0.0,0.005361,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,1.701,0.0,0.005108,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,1.915,0.0,0.005758,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,1.974,0.0,0.005815,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,1.932,0.0,0.005884,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,2.092,0.0,0.006125,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,2.035,0.0,0.005849,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,1.931,0.0,0.005483,200000,200000.0,0.0,1.0
2020-01-20,2,1.942525045904647,0.0,1.923,0.0,0.005363,200000,200000.0,0.0,1.0
2020-01-21,2,1.8427750620878798,0.0,1.95,0.0,0.005409,200000,200000.0,0.0,1.0
2020-01-22,2,1.9460318726776789,0.0,1.994,0.0,0.005462,200000,200000.0,0.0,1.0
2020-01-23,2,1.2844023663431177,0.0,1.89,0.0,0.005258,200000,200000.0,0.0,1.0
2020-01-24,2,1.4662143731295327,0.0,1.89,0.0,0.005196,200000,200000.0,0.0,1.0
