date,statusList,zscore,TFUELUSDT_position,TFUELUSDT_price,BNBUSDT_position,BNBUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.002383,0.0,13.7184,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.002297,0.0,13.0105,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.002403,0.0,13.6474,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.002429,0.0,13.8092,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.002412,0.0,14.0532,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.002461,0.0,14.9471,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.002382,0.0,15.0226,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.002511,0.0,14.5334,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.002395,0.0,14.3978,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.002402,0.0,15.07,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.002403,0.0,14.9177,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.002452,0.0,15.3366,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.002456,0.0,15.1736,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.002572,0.0,16.6371,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.002567,0.0,17.6655,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.002584,0.0,17.0333,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.002598,0.0,18.0724,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.002591,0.0,17.8088,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.00246,0.0,17.388,200000,200000.0,0.0,1.0
2020-01-20,0,-0.993985982327888,0.0,0.002579,0.0,17.3235,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.636962972192059,0.0,0.002514,0.0,18.1166,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.322393601871462,0.0,0.002515,0.0,17.8344,200000,200000.0,0.0,1.0
2020-01-23,0,-0.8182131347441101,0.0,0.002492,0.0,17.0524,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.0089377929899916,40832993.05839118,0.002449,-5842.896206791783,17.1148,200000,200000.0,0.0,1.0
2020-01-25,-1,-0.5861065994763509,40832993.05839118,0.002489,-5842.896206791783,16.9555,200000,200702.54635659372,702.5463565937243,1.0035127317829686
2020-01-26,-1,-0.8924653719698706,40832993.05839118,0.0025,-5842.896206791783,17.499,200000,204327.32336862735,4327.323368627345,1.0216366168431368
2020-01-27,-1,-0.539163590519572,40832993.05839118,0.002574,-5842.896206791783,17.67,200000,208348.10010630972,8348.100106309721,1.0417405005315485
2020-01-28,-1,-0.6697421738771095,40832993.05839118,0.0026,-5842.896206791783,18.0662,200000,211724.71340295876,11724.713402958761,1.0586235670147939
2020-01-29,-2,-1.268435652839219,0.0,0.002481,0.0,17.9134,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-01-30,-2,-1.606117477219011,0.0,0.002498,0.0,18.5555,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-01-31,-2,-1.347119700631998,0.0,0.002482,0.0,18.2644,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-02-01,-1,-1.186136813231657,40737075.547451,0.002496,-5563.810002978773,18.2752,200000,203359.48113287537,3359.4811328753713,1.016797405664377
2020-02-02,-1,-1.1304454237882642,40737075.547451,0.002528,-5563.810002978773,18.4333,200000,205542.7059118647,5542.705911864701,1.0277135295593236
2020-02-03,-1,-0.8630692927404152,40737075.547451,0.002553,-5563.810002978773,18.46,200000,206709.68652763055,6709.686527630547,1.0335484326381528
2020-02-04,0,1.7682255656706112,0.0,0.002754,0.0,18.1778,200000,192307.4005473429,-7692.599452657101,0.9615370027367145
2020-02-05,2,1.467251299330899,0.0,0.002882,0.0,19.262,200000,192307.4005473429,-7692.599452657101,0.9615370027367145
2020-02-06,0,0.7493907189854297,0.0,0.003024,0.0,20.6675,200000,192307.4005473429,-7692.599452657101,0.9615370027367145
2020-02-07,0,0.5050612408632347,0.0,0.0032,0.0,22.0555,200000,192307.4005473429,-7692.599452657101,0.9615370027367145
2020-02-08,0,-0.6810765657694378,0.0,0.003031,0.0,21.7888,200000,192307.4005473429,-7692.599452657101,0.9615370027367145
