date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,NEOUSDT_position,NEOUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,8.85,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,8.462,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,8.888,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,9.077,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,9.02,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,9.757,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,9.801,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,9.448,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,9.387,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,9.862,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,9.696,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,10.271,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,10.0,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,11.204,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,11.412,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,11.271,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,11.848,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,11.876,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,11.245,200000,200000.0,0.0,1.0
2020-01-20,0,0.29262502029819165,0.0,0.10998,0.0,11.114,200000,200000.0,0.0,1.0
2020-01-21,0,0.3341846113763029,0.0,0.11136,0.0,11.226,200000,200000.0,0.0,1.0
2020-01-22,2,1.7333870280195522,0.0,0.119,0.0,11.247,200000,200000.0,0.0,1.0
2020-01-23,0,0.8665224231469569,0.0,0.10858,0.0,10.621,200000,200000.0,0.0,1.0
2020-01-24,0,0.3897138775903521,0.0,0.10494,0.0,10.511,200000,200000.0,0.0,1.0
2020-01-25,0,0.1478961126868954,0.0,0.10189,0.0,10.35,200000,200000.0,0.0,1.0
2020-01-26,0,-0.6909785596015879,0.0,0.10222,0.0,10.797,200000,200000.0,0.0,1.0
2020-01-27,0,-0.7095236864527481,0.0,0.10459,0.0,11.082,200000,200000.0,0.0,1.0
2020-01-28,0,-0.15946521997765373,0.0,0.10936,0.0,11.36,200000,200000.0,0.0,1.0
2020-01-29,0,-0.9081724855867362,0.0,0.10434,0.0,11.201,200000,200000.0,0.0,1.0
2020-01-30,-2,-1.7667162232457647,0.0,0.10431,0.0,11.735,200000,200000.0,0.0,1.0
2020-01-31,0,-0.7362668680403806,0.0,0.10638,0.0,11.453,200000,200000.0,0.0,1.0
2020-02-01,0,-0.8838546520715331,0.0,0.10527,0.0,11.422,200000,200000.0,0.0,1.0
2020-02-02,-2,-1.6717340004845762,0.0,0.10545,0.0,12.016,200000,200000.0,0.0,1.0
