date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,TRXUSDT_position,TRXUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,0.01322,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,0.01284,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,0.01344,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,0.01353,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,0.01472,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,0.01434,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,0.01402,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,0.01398,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,0.01469,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,0.0146,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,0.01503,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,0.01464,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,0.01677,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,0.01729,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,0.01734,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,0.01758,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,0.01766,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,0.01665,200000,200000.0,0.0,1.0
2020-01-20,0,0.24979209711565156,0.0,0.10998,0.0,0.01661,200000,200000.0,0.0,1.0
2020-01-21,0,-0.3847265730486388,0.0,0.11136,0.0,0.01732,200000,200000.0,0.0,1.0
2020-01-22,0,0.9070807381173176,0.0,0.119,0.0,0.01743,200000,200000.0,0.0,1.0
2020-01-23,0,0.35641805855568953,0.0,0.10858,0.0,0.01628,200000,200000.0,0.0,1.0
2020-01-24,0,-0.45587162387131197,0.0,0.10494,0.0,0.01639,200000,200000.0,0.0,1.0
2020-01-25,0,-0.6793760555293175,0.0,0.10189,0.0,0.01613,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.419760185026829,0.0,0.10222,0.0,0.01684,200000,200000.0,0.0,1.0
2020-01-27,-1,-1.1629016179436833,956114.3512764126,0.10459,-5837711.617046118,0.01713,200000,200000.0,0.0,1.0
2020-01-28,-2,-1.834177778427091,0.0,0.10936,0.0,0.0186,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-01-29,-2,-2.325788140377483,0.0,0.10434,0.0,0.01866,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-01-30,-2,-2.4149740415052046,0.0,0.10431,0.0,0.0195,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-01-31,-2,-1.3366259816548027,0.0,0.10638,0.0,0.01867,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-02-01,-2,-1.563874755318981,0.0,0.10527,0.0,0.01907,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-02-02,-2,-1.389273285702902,0.0,0.10545,0.0,0.01909,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-02-03,-1,-1.0203922316039744,942011.1303974019,0.10829,-5313040.901600763,0.0192,200000,204020.7706214693,4020.7706214693026,1.0201038531073465
2020-02-04,0,0.4990320396997145,0.0,0.122,0.0,0.01925,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-05,0,-0.5089420221447299,0.0,0.122,0.0,0.02076,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-06,-2,-1.2577089364014713,0.0,0.12425,0.0,0.02271,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-07,0,-0.8114542098534139,0.0,0.1245,0.0,0.02204,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-08,-2,-1.3265360205484622,0.0,0.1164,0.0,0.02179,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-09,0,-0.7634226659212019,0.0,0.12284,0.0,0.02206,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-10,0,0.0197135223671086,0.0,0.13064,0.0,0.02216,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-11,0,-0.49661139925062914,0.0,0.12814,0.0,0.02272,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-12,0,-0.01458999323889395,0.0,0.13827,0.0,0.02393,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-13,2,3.1764838005466007,0.0,0.17192,0.0,0.02391,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-14,0,0.4582825272527695,0.0,0.15827,0.0,0.02639,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
2020-02-15,0,0.9505520280204044,0.0,0.14694,0.0,0.02364,200000,191371.45006880094,-8628.549931199057,0.9568572503440047
