date,statusList,zscore,THETAUSDT_position,THETAUSDT_price,XLMUSDT_position,XLMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.08656,0.0,0.04529,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.08443,0.0,0.04361,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.08771,0.0,0.04566,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.09394,0.0,0.04565,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.09421,0.0,0.04544,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.09987,0.0,0.05046,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.09608,0.0,0.04839,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.09873,0.0,0.04768,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.09294,0.0,0.04718,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.09509,0.0,0.04802,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.09437,0.0,0.04825,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.09589,0.0,0.04905,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.09703,0.0,0.04813,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.10598,0.0,0.0528,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.10438,0.0,0.0548,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.10368,0.0,0.05367,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.11193,0.0,0.06072,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.10876,0.0,0.06149,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.1126,0.0,0.06004,200000,200000.0,0.0,1.0
2020-01-20,-2,-2.192327528592893,0.0,0.10998,0.0,0.06274,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.723889813512089,0.0,0.11136,0.0,0.06279,200000,200000.0,0.0,1.0
2020-01-22,0,0.013618351877735501,0.0,0.119,0.0,0.06136,200000,200000.0,0.0,1.0
2020-01-23,0,-0.7603519385645928,0.0,0.10858,0.0,0.05833,200000,200000.0,0.0,1.0
2020-01-24,0,-0.924055057180204,0.0,0.10494,0.0,0.05714,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.0275472326988666,981450.5839630975,0.10189,-1784439.6859386154,0.05604,200000,200000.0,0.0,1.0
2020-01-26,-2,-1.5616305392461478,0.0,0.10222,0.0,0.05841,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-01-27,-2,-1.3770926508369161,0.0,0.10459,0.0,0.05971,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-01-28,0,-0.8088511645801433,0.0,0.10936,0.0,0.06072,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-01-29,-2,-1.5485927744043817,0.0,0.10434,0.0,0.06083,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-01-30,-2,-1.8416526759557013,0.0,0.10431,0.0,0.0628,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-01-31,0,-0.8140151185736353,0.0,0.10638,0.0,0.0606,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-01,-2,-1.317354466508713,0.0,0.10527,0.0,0.06224,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-02,-2,-1.5073041269749212,0.0,0.10545,0.0,0.06345,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-03,-2,-1.221217764117531,0.0,0.10829,0.0,0.0643,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-04,0,0.6488064787268144,0.0,0.122,0.0,0.06634,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-05,0,-0.1504847514100735,0.0,0.122,0.0,0.06908,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-06,0,-0.3499500805276719,0.0,0.12425,0.0,0.07113,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-07,0,-0.5218784977822029,0.0,0.1245,0.0,0.07188,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-08,-2,-1.5628353529381647,0.0,0.1164,0.0,0.0709,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-09,-1,-1.0177718943704266,829962.7294161783,0.12284,-1391464.7424796417,0.07327,200000,203905.2433629667,3905.243362966692,1.0195262168148334
2020-02-10,0,1.1676719411438885,0.0,0.13064,0.0,0.07051,200000,193591.0913842767,-6408.9086157233105,0.9679554569213834
2020-02-11,0,-0.26391478064879326,0.0,0.12814,0.0,0.07404,200000,193591.0913842767,-6408.9086157233105,0.9679554569213834
2020-02-12,0,-0.23008990282079095,0.0,0.13827,0.0,0.08004,200000,193591.0913842767,-6408.9086157233105,0.9679554569213834
2020-02-13,2,3.3139299899797803,0.0,0.17192,0.0,0.08325,200000,193591.0913842767,-6408.9086157233105,0.9679554569213834
2020-02-14,0,0.7580920703256577,0.0,0.15827,0.0,0.08671,200000,193591.0913842767,-6408.9086157233105,0.9679554569213834
2020-02-15,1,1.0530203246120315,-658741.974221712,0.14694,1226502.0994949106,0.07892,200000,193591.0913842767,-6408.9086157233105,0.9679554569213834
2020-02-16,1,0.47799760576702677,-658741.974221712,0.13454,1226502.0994949106,0.07437,200000,179842.10635122564,-20157.893648774363,0.8992105317561282
2020-02-17,1,1.1785555956924607,-658741.974221712,0.13716,1226502.0994949106,0.07272,200000,179544.28185951992,-20455.71814048008,0.8977214092975996
2020-02-18,1,0.8301489298851774,-658741.974221712,0.14134,1226502.0994949106,0.07603,200000,186357.5452610948,-13642.454738905188,0.931787726305474
2020-02-19,1,0.2500323174884528,-658741.974221712,0.12664,1226502.0994949106,0.07013,200000,169437.67585301568,-30562.32414698432,0.8471883792650784
2020-02-20,1,0.9282105404235562,-658741.974221712,0.13247,1226502.0994949106,0.0704,200000,173609.2971295919,-26390.702870408102,0.8680464856479595
2020-02-21,0,0.07099019422314527,0.0,0.12776,0.0,0.07099,200000,190682.5819676989,-9317.418032301095,0.9534129098384945
2020-02-22,0,0.27919814484567484,0.0,0.12846,0.0,0.0703,200000,190682.5819676989,-9317.418032301095,0.9534129098384945
2020-02-23,2,1.312630190361549,0.0,0.14149,0.0,0.07299,200000,190682.5819676989,-9317.418032301095,0.9534129098384945
2020-02-24,2,2.6290274190496445,0.0,0.14836,0.0,0.06911,200000,190682.5819676989,-9317.418032301095,0.9534129098384945
2020-02-25,2,1.929517139827678,0.0,0.13481,0.0,0.06402,200000,190682.5819676989,-9317.418032301095,0.9534129098384945
2020-02-26,1,1.136564340316849,-805315.4065702293,0.11839,1623383.1258956147,0.05873,200000,190682.5819676989,-9317.418032301095,0.9534129098384945
2020-02-27,1,1.0341678142800999,-805315.4065702293,0.12192,1623383.1258956147,0.06045,200000,196317.56432943227,-3682.4356705677346,0.9815878216471613
2020-02-28,2,1.2980878728719054,0.0,0.12082,0.0,0.05841,200000,193158.98100595115,-6841.018994048849,0.9657949050297557
2020-02-29,1,1.1175372452489591,-824619.9667262259,0.11712,1696162.460536979,0.05694,200000,193158.98100595115,-6841.018994048849,0.9657949050297557
2020-03-01,2,1.283447496883937,0.0,0.11707,0.0,0.05582,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-02,2,1.524181053763316,0.0,0.1284,0.0,0.05968,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-03,2,2.056009594290332,0.0,0.1317,0.0,0.05816,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-04,2,1.7455995634431503,0.0,0.13182,0.0,0.05857,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-05,2,2.0912655735947325,0.0,0.14123,0.0,0.05966,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-06,0,0.9835385399424352,0.0,0.13477,0.0,0.06137,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-07,2,1.5668608511482236,0.0,0.13575,0.0,0.05828,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-08,0,0.8526197167252247,0.0,0.11028,0.0,0.04969,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-09,0,-0.048688478885612584,0.0,0.10849,0.0,0.05235,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-10,0,0.155310890090976,0.0,0.11022,0.0,0.05198,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-11,0,-0.9178717592755175,0.0,0.09894,0.0,0.05042,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-12,-2,-2.69941032737823,0.0,0.05167,0.0,0.03174,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-13,-2,-2.596872619372366,0.0,0.06151,0.0,0.03962,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-14,-2,-1.8306339713292499,0.0,0.061,0.0,0.03677,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-15,-2,-1.6731617637547413,0.0,0.06199,0.0,0.03786,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-16,-2,-1.895156573244547,0.0,0.05307,0.0,0.03534,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-17,-2,-1.5935511742421593,0.0,0.05667,0.0,0.03718,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-18,-2,-1.3896806683401428,0.0,0.05667,0.0,0.0369,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-19,-1,-1.1097487379401374,1487093.579101847,0.06557,-2358701.64445351,0.04134,200000,195017.45196341624,-4982.5480365837575,0.9750872598170812
2020-03-20,-1,-0.3650610344911516,1487093.579101847,0.07224,-2358701.64445351,0.03995,200000,201657.77085023516,1657.7708502351597,1.0082888542511759
2020-03-21,-1,-0.22194090077876846,1487093.579101847,0.07283,-2358701.64445351,0.03956,200000,201615.26242056838,1615.2624205683824,1.008076312102842
2020-03-22,-1,-0.5330745522190172,1487093.579101847,0.06342,-2358701.64445351,0.03679,200000,181088.1082860838,-18911.891713916208,0.905440541430419
2020-03-23,-1,-0.3111485446825377,1487093.579101847,0.06977,-2358701.64445351,0.03938,200000,196640.1897725151,-3359.810227484908,0.9832009488625755
2020-03-24,-1,-0.2582490330059518,1487093.579101847,0.07122,-2358701.64445351,0.04031,200000,200990.06799155453,990.0679915545334,1.0049503399577726
2020-03-25,-1,-0.35470628655218644,1487093.579101847,0.06956,-2358701.64445351,0.04052,200000,199016.8199955807,-983.1800044192933,0.9950840999779035
2020-03-26,-1,-0.392040829769479,1487093.579101847,0.07231,-2358701.64445351,0.04284,200000,208578.51515324294,8578.515153242945,1.0428925757662146
