date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,ADAUSDT_position,ADAUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,0.03348,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.03269,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.03417,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.03434,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.0346,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.03732,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.037,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.03631,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.03616,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.03693,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.03678,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.03792,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.03682,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.04161,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.04275,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.04168,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.0449,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.04489,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.042,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.9801620836276812,0.0,0.01661,0.0,0.04378,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.9927752397966714,0.0,0.01732,0.0,0.04602,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.3222885635266048,0.0,0.01743,0.0,0.04575,200000,200000.0,0.0,1.0
2020-01-23,-2,-1.5517893136089487,0.0,0.01628,0.0,0.04318,200000,200000.0,0.0,1.0
2020-01-24,-2,-2.267760671616646,0.0,0.01639,0.0,0.04495,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.3237193185508993,0.0,0.01613,0.0,0.04314,200000,200000.0,0.0,1.0
2020-01-26,-1,-1.0360241787265028,5938242.280285035,0.01684,-2233638.597274961,0.04477,200000,200000.0,0.0,1.0
2020-01-27,-2,-2.110010227210378,0.0,0.01713,0.0,0.04796,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-01-28,-2,-2.074424939163726,0.0,0.0186,0.0,0.0529,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-01-29,-2,-1.847623805680972,0.0,0.01866,0.0,0.05329,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-01-30,-2,-1.7292514579838594,0.0,0.0195,0.0,0.05614,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-01-31,-2,-1.561209105004791,0.0,0.01867,0.0,0.0539,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-02-01,-2,-1.6332832968489406,0.0,0.01907,0.0,0.0561,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-02-02,-2,-1.3473261242387649,0.0,0.01909,0.0,0.0557,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-02-03,-2,-1.4340897139711644,0.0,0.0192,0.0,0.05696,200000,205403.2168640245,5403.216864024493,1.0270160843201224
2020-02-04,-1,-1.0505816934050984,5335148.489974663,0.01925,-1833629.8595253036,0.05601,200000,205403.21686402452,5403.216864024522,1.0270160843201226
2020-02-05,-1,-0.717429265839268,5335148.489974663,0.02076,-1833629.8595253036,0.05933,200000,219546.94221751025,19546.94221751025,1.0977347110875513
2020-02-06,0,0.8023231535802768,0.0,0.02271,0.0,0.06008,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-07,0,0.3654508281894992,0.0,0.02204,0.0,0.05987,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-08,0,0.1890766209332973,0.0,0.02179,0.0,0.06002,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-09,0,-0.1753949064696514,0.0,0.02206,0.0,0.06188,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-10,0,0.637890949048839,0.0,0.02216,0.0,0.06029,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-11,0,0.08937776173803733,0.0,0.02272,0.0,0.06335,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-12,0,-0.42009143186132714,0.0,0.02393,0.0,0.06817,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-13,0,-0.5876379560640421,0.0,0.02391,0.0,0.06867,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-14,2,1.4620758355293846,0.0,0.02639,0.0,0.07074,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-15,1,1.127375133232387,-4111812.1111882436,0.02364,1512655.4358619682,0.06426,200000,194406.47661698016,-5593.523383019841,0.9720323830849008
2020-02-16,1,0.5662834321380915,-4111812.1111882436,0.02223,1512655.4358619682,0.06146,200000,184373.38631979123,-15626.613680208771,0.9218669315989562
2020-02-17,1,0.5459689660775693,-4111812.1111882436,0.02179,1512655.4358619682,0.06019,200000,180643.1165873237,-19356.88341267631,0.9032155829366184
2020-02-18,1,0.3751456562059954,-4111812.1111882436,0.02262,1512655.4358619682,0.06274,200000,187913.19200105796,-12086.807998942037,0.9395659600052898
2020-02-19,0,-0.374198918963994,0.0,0.0202,0.0,0.05737,200000,190684.03890758153,-9315.961092418467,0.9534201945379077
