date,statusList,zscore,TRXUSDT_position,TRXUSDT_price,XRPUSDT_position,XRPUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.01322,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.01284,0.0,0.1875,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.01344,0.0,0.19338,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.01344,0.0,0.19305,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.01353,0.0,0.19453,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.01472,0.0,0.2231,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.01434,0.0,0.21335,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.01402,0.0,0.2075,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.01398,0.0,0.20373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.01469,0.0,0.21284,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.0146,0.0,0.21121,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.01503,0.0,0.21539,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.01464,0.0,0.21134,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.01677,0.0,0.23464,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.01729,0.0,0.23367,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.01734,0.0,0.229,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.01758,0.0,0.23921,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.01766,0.0,0.24357,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.01665,0.0,0.23558,200000,200000.0,0.0,1.0
2020-01-20,0,0.48895934445090183,0.0,0.01661,0.0,0.23314,200000,200000.0,0.0,1.0
2020-01-21,1,1.0981724803325192,-5773672.055427252,0.01732,421478.5467419708,0.23726,200000,200000.0,0.0,1.0
2020-01-22,1,1.1501496216596063,-5773672.055427252,0.01743,421478.5467419708,0.23733,200000,200664.60742436897,664.6074243689654,1.003323037121845
2020-01-23,1,0.55709939810203,-5773672.055427252,0.01628,421478.5467419708,0.22586,200000,189190.5256294972,-10809.474370502809,0.9459526281474859
2020-01-24,1,1.1031492486291092,-5773672.055427252,0.01639,421478.5467419708,0.22222,200000,188291.44764545342,-11708.552354546584,0.9414572382272671
2020-01-25,1,0.9138634725597073,-5773672.055427252,0.01613,421478.5467419708,0.21946,200000,185627.0121220345,-14372.987877965497,0.9281350606101725
2020-01-26,1,0.5808960474886666,-5773672.055427252,0.01684,421478.5467419708,0.23131,200000,194720.8400602802,-5279.159939719801,0.973604200301401
2020-01-27,1,1.09422763948472,-5773672.055427252,0.01713,421478.5467419708,0.23077,200000,196167.60654111343,-3832.393458886567,0.9808380327055671
2020-01-28,2,2.2971536712428167,0.0,0.0186,0.0,0.23906,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-01-29,2,2.3816534409089454,0.0,0.01866,0.0,0.23539,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-01-30,2,2.211558458499645,0.0,0.0195,0.0,0.24376,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-01-31,2,1.3905001862242965,0.0,0.01867,0.0,0.23946,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-02-01,2,1.549959451156655,0.0,0.01907,0.0,0.24141,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-02-02,0,0.5195753205531651,0.0,0.01909,0.0,0.25093,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-02-03,0,0.23071946762440299,0.0,0.0192,0.0,0.25453,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-02-04,0,-0.960368134801146,0.0,0.01925,0.0,0.26737,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-02-05,0,0.03401081458110623,0.0,0.02076,0.0,0.27774,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-02-06,2,1.7044648109973481,0.0,0.02271,0.0,0.28325,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-02-07,1,1.1420680168199824,-4687650.609047444,0.02204,369605.4785654694,0.27953,200000,206631.63884681131,6631.638846811315,1.0331581942340566
2020-02-08,1,0.9613554518127285,-4687650.609047444,0.02179,369605.4785654694,0.27735,200000,204653.98625127674,4653.986251276743,1.0232699312563838
2020-02-09,1,0.7167076201645732,-4687650.609047444,0.02206,369605.4785654694,0.28257,200000,207848.9925138313,7848.992513831297,1.0392449625691564
2020-02-10,2,1.5655014220152084,0.0,0.02216,0.0,0.27338,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-11,2,1.339337736464757,0.0,0.02272,0.0,0.281,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-12,0,0.5331021173863894,0.0,0.02393,0.0,0.30427,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-13,-2,-1.39511905842399,0.0,0.02391,0.0,0.32709,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-14,0,0.4335284954196601,0.0,0.02639,0.0,0.33594,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-15,0,-0.2496234165251589,0.0,0.02364,0.0,0.30729,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-16,0,-0.6489802204493746,0.0,0.02223,0.0,0.29224,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-17,0,-0.6968408256817483,0.0,0.02179,0.0,0.28736,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-18,0,-0.6255277205006223,0.0,0.02262,0.0,0.29827,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-19,-2,-1.3857776363555219,0.0,0.0202,0.0,0.27466,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-20,-2,-1.3928890476601268,0.0,0.0198,0.0,0.2709,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-21,-1,-1.1084820986223778,5195119.806871891,0.02016,-381988.530551234,0.27418,200000,209467.23061307467,9467.230613074673,1.0473361530653733
2020-02-22,-2,-1.2319056298041569,0.0,0.02002,0.0,0.27468,200000,210385.54165131232,10385.54165131232,1.0519277082565617
2020-02-23,0,-0.35464432712774613,0.0,0.02133,0.0,0.28298,200000,210385.54165131232,10385.54165131232,1.0519277082565617
2020-02-24,-1,-1.0733939285419591,5291386.862457554,0.01988,-389026.5193256515,0.2704,200000,210385.54165131232,10385.54165131232,1.0519277082565617
2020-02-25,-1,-0.5351877561561427,5291386.862457554,0.01891,-389026.5193256515,0.25209,200000,198129.82082587585,-1870.1791741241468,0.9906491041293792
2020-02-26,-2,-1.6518158743746696,0.0,0.01636,0.0,0.22915,200000,212963.87948497979,12963.879484979785,1.064819397424899
2020-02-27,-2,-1.488094732890308,0.0,0.01701,0.0,0.2385,200000,212963.87948497979,12963.879484979785,1.064819397424899
2020-02-28,-1,-1.0527115467080725,6227014.020028649,0.0171,-449993.40634108055,0.23663,200000,212963.87948497979,12963.879484979785,1.064819397424899
2020-02-29,-1,-1.0363629253559352,6227014.020028649,0.01648,-449993.40634108055,0.22892,200000,205633.6816296723,5633.681629672297,1.0281684081483615
2020-03-01,-1,-0.8417414045222403,6227014.020028649,0.01643,-449993.40634108055,0.22696,200000,204440.34385224234,4440.3438522423385,1.0222017192612116
2020-03-02,-1,-0.3719978395245083,6227014.020028649,0.01759,-449993.40634108055,0.23958,200000,217342.59690350003,17342.59690350003,1.0867129845175
2020-03-03,-1,-0.22547389221408073,6227014.020028649,0.01723,-449993.40634108055,0.23428,200000,212715.90680268197,12715.906802681973,1.0635795340134098
2020-03-04,0,0.78446415062096,0.0,0.01774,0.0,0.23453,200000,208033.60435884522,8033.604358845216,1.0401680217942262
2020-03-05,0,0.5435643637848959,0.0,0.01789,0.0,0.23909,200000,208033.60435884522,8033.604358845216,1.0401680217942262
2020-03-06,0,0.6995531675674236,0.0,0.01833,0.0,0.24477,200000,208033.60435884522,8033.604358845216,1.0401680217942262
2020-03-07,-1,-1.1350602083290173,6122236.738047239,0.01699,-440338.67657024215,0.23622,200000,208033.60435884522,8033.604358845216,1.0401680217942262
2020-03-08,-1,-1.0753116442467623,6122236.738047239,0.01465,-440338.67657024215,0.20385,200000,179453.8074312359,-20546.19256876409,0.8972690371561796
2020-03-09,-1,-1.0476989886508135,6122236.738047239,0.01504,-440338.67657024215,0.20952,200000,184338.20005522761,-15661.799944772385,0.921691000276138
2020-03-10,-2,-1.3332767502525087,0.0,0.01508,0.0,0.21185,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-11,0,-0.9995148649448224,0.0,0.01489,0.0,0.20813,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-12,-2,-3.6402647623768822,0.0,0.00841,0.0,0.13549,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-13,-2,-2.1749067607722985,0.0,0.01029,0.0,0.15872,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-14,-2,-1.4344470324175203,0.0,0.00973,0.0,0.14588,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-15,-2,-1.203928973135957,0.0,0.01026,0.0,0.15308,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-16,0,-0.8003092989733227,0.0,0.00961,0.0,0.14102,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-17,0,-0.7308502333983983,0.0,0.01002,0.0,0.14694,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-18,0,-0.40314550027553836,0.0,0.01022,0.0,0.1476,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-19,0,0.01791660715745055,0.0,0.01163,0.0,0.1646,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-20,0,0.34646919672477566,0.0,0.01127,0.0,0.15695,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-21,0,0.1628491424413616,0.0,0.01123,0.0,0.15797,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-22,0,-0.18167784608950469,0.0,0.0103,0.0,0.14776,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-23,0,0.4370741668042175,0.0,0.01137,0.0,0.15854,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-24,0,0.29774317969245606,0.0,0.01151,0.0,0.16225,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-25,0,0.2255714748211197,0.0,0.01139,0.0,0.16168,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-26,0,-0.5427754242238403,0.0,0.01196,0.0,0.17593,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-27,-2,-1.489340628080608,0.0,0.01121,0.0,0.17269,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-28,-2,-1.3294616015408447,0.0,0.01139,0.0,0.17543,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-29,-1,-1.026528839970685,9802815.336796371,0.01066,-641958.5421443009,0.16278,200000,208996.02298049862,8996.022980498616,1.044980114902493
2020-03-30,-1,-0.46428649849037285,9802815.336796371,0.01145,-641958.5421443009,0.17112,200000,222094.18133805122,22094.181338051218,1.110470906690256
2020-03-31,-1,-0.47828440097702896,9802815.336796371,0.01157,-641958.5421443009,0.17353,200000,224817.63926503455,24817.63926503455,1.1240881963251728
2020-04-01,-1,-0.8342508840598423,9802815.336796371,0.01158,-641958.5421443009,0.17494,200000,225820.828962826,25820.828962825995,1.12910414481413
2020-04-02,-1,-0.5331100855463179,9802815.336796371,0.01196,-641958.5421443009,0.17828,200000,231690.04032157056,31690.04032157056,1.1584502016078528
2020-04-03,-1,-0.7878817104522393,9802815.336796371,0.01194,-641958.5421443009,0.17957,200000,232322.1105342008,32322.110534200794,1.1616105526710039
2020-04-04,-1,-0.9327859215136641,9802815.336796371,0.01197,-641958.5421443009,0.18114,200000,233624.06990547123,33624.06990547123,1.1681203495273562
2020-04-05,0,0.7637313721766361,0.0,0.01257,0.0,0.17925,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-06,0,0.4401576704723959,0.0,0.01375,0.0,0.19803,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-07,0,0.24788655142853847,0.0,0.0133,0.0,0.19285,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-08,0,-0.04822329167232829,0.0,0.01376,0.0,0.20192,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-09,0,-0.1065623783773528,0.0,0.01345,0.0,0.19829,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-10,0,-0.6374800888288331,0.0,0.01248,0.0,0.18758,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-11,0,-0.6691882420604045,0.0,0.0125,0.0,0.1885,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-12,0,-0.32089362901738616,0.0,0.01266,0.0,0.18939,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-13,0,-0.14342677342892457,0.0,0.01257,0.0,0.18763,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-14,0,-0.11066542582861501,0.0,0.01245,0.0,0.18613,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-15,0,0.378043282822584,0.0,0.01219,0.0,0.1805,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-16,0,0.8816085329503427,0.0,0.01302,0.0,0.19053,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-17,0,0.8070983159387345,0.0,0.01289,0.0,0.18863,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-18,0,0.871169461495458,0.0,0.01339,0.0,0.19544,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-19,0,0.5839015300719504,0.0,0.0129,0.0,0.18901,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-20,0,0.57412544537718,0.0,0.0124,0.0,0.18151,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-21,0,0.31445720882100686,0.0,0.01249,0.0,0.18341,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-22,1,1.0544742290094329,-7736737.398934291,0.01298,534050.4756337326,0.18804,200000,200845.7028763342,845.702876334195,1.004228514381671
2020-04-23,2,2.115235452401108,0.0,0.01361,0.0,0.1926,200000,203284.57726877296,3284.5772687729623,1.016422886343865
2020-04-24,2,2.5682484941244583,0.0,0.01392,0.0,0.19325,200000,203284.57726877296,3284.5772687729623,1.016422886343865
2020-04-25,2,2.1661959920180136,0.0,0.01396,0.0,0.19418,200000,203284.57726877296,3284.5772687729623,1.016422886343865
2020-04-26,2,2.212955852851776,0.0,0.01426,0.0,0.19618,200000,203284.57726877296,3284.5772687729623,1.016422886343865
