date,statusList,zscore,WAVESUSDT_position,WAVESUSDT_price,FETUSDT_position,FETUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.0446,0.0,0.03832,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.9459,0.0,0.03642,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.9526,0.0,0.03906,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.9458,0.0,0.04027,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.8872,0.0,0.03847,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.8949,0.0,0.03949,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.8853,0.0,0.0372,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.851,0.0,0.03686,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.8231,0.0,0.0374,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.8244,0.0,0.03619,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.8561,0.0,0.03779,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.8447,0.0,0.03987,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.86,0.0,0.04063,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.8637,0.0,0.03899,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.896,0.0,0.04001,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.8809,0.0,0.03962,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.9,0.0,0.0422,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8783,0.0,0.04109,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.8889,0.0,0.03771,200000,200000.0,0.0,1.0
2020-01-20,0,0.15399200027813878,0.0,0.8673,0.0,0.03734,200000,200000.0,0.0,1.0
2020-01-21,0,0.14474695266158435,0.0,0.8723,0.0,0.03802,200000,200000.0,0.0,1.0
2020-01-22,0,-0.19198824876999765,0.0,0.8862,0.0,0.03952,200000,200000.0,0.0,1.0
2020-01-23,0,0.7247140424028445,0.0,0.8726,0.0,0.03775,200000,200000.0,0.0,1.0
2020-01-24,0,-0.6268252533974986,0.0,0.8552,0.0,0.03893,200000,200000.0,0.0,1.0
2020-01-25,-2,-1.282279793279228,0.0,0.8512,0.0,0.03989,200000,200000.0,0.0,1.0
2020-01-26,0,0.0731845926345416,0.0,0.8718,0.0,0.03889,200000,200000.0,0.0,1.0
2020-01-27,0,0.0255725992386789,0.0,0.868,0.0,0.03892,200000,200000.0,0.0,1.0
