date,statusList,zscore,WAVESUSDT_position,WAVESUSDT_price,OMGUSDT_position,OMGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,1.0446,0.0,0.6214,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.9459,0.0,0.595,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.9526,0.0,0.6248,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.9458,0.0,0.6246,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.8872,0.0,0.6367,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.8949,0.0,0.6864,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.8853,0.0,0.6706,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.851,0.0,0.6603,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.8231,0.0,0.6373,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.8244,0.0,0.6559,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.8561,0.0,0.6701,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.8447,0.0,0.6943,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.86,0.0,0.6669,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.8637,0.0,0.735,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.896,0.0,0.7959,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.8809,0.0,0.7749,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.9,0.0,0.885,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.8783,0.0,0.8392,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.8889,0.0,0.7998,200000,200000.0,0.0,1.0
2020-01-20,0,-0.965802362467347,0.0,0.8673,0.0,0.7829,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.286711392343462,0.0,0.8723,0.0,0.838,200000,200000.0,0.0,1.0
2020-01-22,0,-0.9600952813489497,0.0,0.8862,0.0,0.8165,200000,200000.0,0.0,1.0
2020-01-23,0,-0.49851836780988207,0.0,0.8726,0.0,0.7638,200000,200000.0,0.0,1.0
2020-01-24,0,-0.7640470010738324,0.0,0.8552,0.0,0.7754,200000,200000.0,0.0,1.0
2020-01-25,0,-0.544789091807414,0.0,0.8512,0.0,0.7607,200000,200000.0,0.0,1.0
2020-01-26,0,-0.631070029010817,0.0,0.8718,0.0,0.7905,200000,200000.0,0.0,1.0
2020-01-27,0,-0.8459062217434276,0.0,0.868,0.0,0.8074,200000,200000.0,0.0,1.0
2020-01-28,0,-0.7202646363010012,0.0,0.8856,0.0,0.8205,200000,200000.0,0.0,1.0
2020-01-29,-1,-1.1579894487924998,114955.74203931486,0.8699,-119019.28112354202,0.8402,200000,200000.0,0.0,1.0
2020-01-30,-2,-1.6812881349365756,0.0,0.8696,0.0,0.888,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-01-31,-2,-1.584268445866249,0.0,0.8824,0.0,0.901,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-02-01,-2,-1.2772474348509757,0.0,0.9111,0.0,0.9168,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-02-02,-2,-1.3816477553668358,0.0,0.9594,0.0,0.968,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-02-03,0,-0.997529693070847,0.0,0.9809,0.0,0.9721,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-02-04,-2,-1.268392431937299,0.0,0.9643,0.0,0.9776,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-02-05,-2,-1.6256839262445308,0.0,0.9899,0.0,1.0358,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-02-06,-2,-1.8628560153165403,0.0,1.0364,0.0,1.1183,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-02-07,-1,-1.1507784442307218,94195.79137377157,1.092,-90851.26671980089,1.1322,200000,205723.60836031713,5723.608360317128,1.0286180418015856
2020-02-08,-2,-1.7167123771884039,0.0,1.058,0.0,1.1608,200000,211524.61149521166,11524.611495211662,1.0576230574760583
2020-02-09,0,-0.6382665050076798,0.0,1.11,0.0,1.1323,200000,211524.61149521166,11524.611495211662,1.0576230574760583
2020-02-10,2,2.772258458848864,0.0,1.4376,0.0,1.1236,200000,211524.61149521166,11524.611495211662,1.0576230574760583
2020-02-11,2,1.4882188593352255,0.0,1.4117,0.0,1.1979,200000,211524.61149521166,11524.611495211662,1.0576230574760583
2020-02-12,1,1.1392264760164528,-73835.7342555193,1.4324,84643.70207891623,1.2495,200000,211524.6114952117,11524.611495211691,1.0576230574760586
2020-02-13,1,0.5737573422555965,-73835.7342555193,1.4038,84643.70207891623,1.2846,200000,212383.90343847376,12383.90343847376,1.0619195171923688
2020-02-14,1,0.9873154525193194,-73835.7342555193,1.5529,84643.70207891623,1.371,200000,230706.02727559008,30706.02727559008,1.1535301363779504
2020-02-15,1,1.0393283730646623,-73835.7342555193,1.4686,84643.70207891623,1.2868,200000,217354.67516280504,17354.67516280504,1.0867733758140252
2020-02-16,2,1.2231229976235718,0.0,1.3809,0.0,1.182,200000,213435.5210713793,13435.521071379306,1.0671776053568964
2020-02-17,0,0.8896771014580231,0.0,1.3366,0.0,1.1726,200000,213435.5210713793,13435.521071379306,1.0671776053568964
2020-02-18,2,1.5428128660245897,0.0,1.4693,0.0,1.1974,200000,213435.5210713793,13435.521071379306,1.0671776053568964
2020-02-19,2,1.5311783102767047,0.0,1.3717,0.0,1.0986,200000,213435.5210713793,13435.521071379306,1.0671776053568964
2020-02-20,2,2.153249363026968,0.0,1.4854,0.0,1.081,200000,213435.5210713793,13435.521071379306,1.0671776053568964
2020-02-21,2,1.548740666482067,0.0,1.4459,0.0,1.0929,200000,213435.5210713793,13435.521071379306,1.0671776053568964
2020-02-22,1,1.1497610613241767,-75163.93896019837,1.4198,96612.13157313928,1.1046,200000,213435.5210713793,13435.521071379306,1.0671776053568964
2020-02-23,1,0.9277523673596894,-75163.93896019837,1.4439,96612.13157313928,1.1389,200000,218560.76811327875,18560.768113278755,1.0928038405663938
2020-02-24,1,0.963644672728407,-75163.93896019837,1.3735,96612.13157313928,1.0671,200000,206332.47576352936,6332.4757635293645,1.0316623788176469
2020-02-25,1,1.193006444025767,-75163.93896019837,1.3215,96612.13157313928,0.9893,200000,194907.52710120883,-5092.472898791166,0.9745376355060442
2020-02-26,2,1.2087847553307183,0.0,1.1562,0.0,0.856,200000,217640.0826705534,17640.082670553413,1.088200413352767
2020-02-27,1,1.1669161846305383,-89578.56547191035,1.2148,121573.05478189778,0.8951,200000,217640.0826705534,17640.082670553413,1.088200413352767
2020-02-28,1,1.0808085615144651,-89578.56547191035,1.1529,121573.05478189778,0.855,200000,207220.08997108805,7220.089971088048,1.0361004498554403
2020-02-29,2,1.3214646173165232,0.0,1.1317,0.0,0.8225,200000,219022.3076570034,19022.307657003403,1.095111538285017
2020-03-01,0,0.7776452842738023,0.0,1.1176,0.0,0.841,200000,219022.3076570034,19022.307657003403,1.095111538285017
2020-03-02,0,0.6581636606121762,0.0,1.1853,0.0,0.8949,200000,219022.3076570034,19022.307657003403,1.095111538285017
