date,statusList,zscore,XMRUSDT_position,XMRUSDT_price,HOTUSDT_position,HOTUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,45.82,0.0,0.0006275,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,45.5,0.0,0.0006035,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,50.93,0.0,0.0006794,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,50.37,0.0,0.0006796,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,53.69,0.0,0.0006708,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,58.91,0.0,0.000703,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,58.36,0.0,0.0006815,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,59.44,0.0,0.0006721,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,58.68,0.0,0.000671,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,58.42,0.0,0.0006865,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,58.25,0.0,0.00067,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,59.19,0.0,0.0006813,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,57.72,0.0,0.000674,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,62.55,0.0,0.0007056,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,68.47,0.0,0.0007118,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,65.63,0.0,0.0006959,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,68.95,0.0,0.0007304,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,67.0,0.0,0.0007145,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,65.17,0.0,0.0006752,200000,200000.0,0.0,1.0
2020-01-20,2,1.275667693217874,0.0,64.96,0.0,0.0006756,200000,200000.0,0.0,1.0
2020-01-21,2,1.5178963030911279,0.0,65.87,0.0,0.0006651,200000,200000.0,0.0,1.0
2020-01-22,1,1.1726036773695,-1538.4615384615386,65.0,149521531.10047847,0.0006688,200000,200000.0,0.0,1.0
2020-01-23,2,1.308295121578451,0.0,62.55,0.0,0.0006333,200000,201538.78358483623,1538.7835848362301,1.007693917924181
2020-01-24,1,1.0484389459368062,-1634.0099204218925,61.67,158791982.02398065,0.0006346,200000,201538.78358483623,1538.7835848362301,1.007693917924181
2020-01-25,2,1.2467342168633242,0.0,61.35,0.0,0.000621,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-01-26,2,1.4661854611949237,0.0,63.97,0.0,0.0006347,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-01-27,2,1.257717623115858,0.0,65.44,0.0,0.0006521,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-01-28,2,1.759109790384387,0.0,67.71,0.0,0.000648,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-01-29,2,1.9203441372982146,0.0,70.02,0.0,0.0006531,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-01-30,2,2.742951682721054,0.0,74.83,0.0,0.000638,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-01-31,2,1.9780777854608353,0.0,72.16,0.0,0.0006329,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-02-01,2,1.7068317129034578,0.0,73.22,0.0,0.0006448,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-02-02,2,1.34045295801782,0.0,74.89,0.0,0.0006719,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-02-03,2,1.7154486095543353,0.0,76.74,0.0,0.0006619,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-02-04,0,0.6593839891619322,0.0,75.17,0.0,0.000695,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-02-05,1,1.022622796143985,-1305.0839630384594,77.84,145980364.5393213,0.0006959,200000,203175.47136582737,3175.4713658273686,1.0158773568291368
2020-02-06,0,0.18546854138167287,0.0,78.3,0.0,0.00074,200000,197338.07591264095,-2661.924087359046,0.9866903795632048
2020-02-07,0,-0.31317736932252765,0.0,79.48,0.0,0.0007744,200000,197338.07591264095,-2661.924087359046,0.9866903795632048
