date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,CELRUSDT_position,CELRUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,0.00362,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,0.0034,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,0.00355,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,0.00355,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,0.00349,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,0.00356,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,0.00347,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,0.00339,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,0.00332,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,0.00327,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,0.00333,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,0.00346,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,0.00352,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,0.00344,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,0.00359,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,0.00351,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,0.00366,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,0.00367,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,0.00337,200000,200000.0,0.0,1.0
2020-01-20,2,1.7063564178896322,0.0,0.23314,0.0,0.00328,200000,200000.0,0.0,1.0
2020-01-21,2,1.7150100332371832,0.0,0.23726,0.0,0.00329,200000,200000.0,0.0,1.0
2020-01-22,2,1.5155561307513723,0.0,0.23733,0.0,0.0033,200000,200000.0,0.0,1.0
2020-01-23,1,1.0209848039934357,-442752.14734791464,0.22586,30864197.530864198,0.00324,200000,200000.0,0.0,1.0
2020-01-24,1,0.7789106628549965,-442752.14734791464,0.22222,30864197.530864198,0.00323,200000,198079.74020834494,-1920.2597916550585,0.9903987010417247
2020-01-25,0,-0.23216629535419775,0.0,0.21946,0.0,0.00338,200000,192845.39860265236,-7154.6013973476365,0.9642269930132619
2020-01-26,0,0.7181938634745649,0.0,0.23131,0.0,0.00336,200000,192845.39860265236,-7154.6013973476365,0.9642269930132619
2020-01-27,0,0.8600014943600395,0.0,0.23077,0.0,0.00331,200000,192845.39860265236,-7154.6013973476365,0.9642269930132619
2020-01-28,2,1.2409645539885341,0.0,0.23906,0.0,0.00334,200000,192845.39860265236,-7154.6013973476365,0.9642269930132619
2020-01-29,2,1.5586417408577913,0.0,0.23539,0.0,0.00321,200000,192845.39860265236,-7154.6013973476365,0.9642269930132619
2020-01-30,2,1.6939338261228554,0.0,0.24376,0.0,0.00326,200000,192845.39860265236,-7154.6013973476365,0.9642269930132619
2020-01-31,1,1.1770407365182918,-402667.24839775404,0.23946,29487064.00652177,0.00327,200000,192845.39860265236,-7154.6013973476365,0.9642269930132619
2020-02-01,1,1.0145228766193133,-402667.24839775404,0.24141,29487064.00652177,0.00331,200000,194810.08229728887,-5189.917702711129,0.9740504114864443
2020-02-02,2,1.2444252647086398,0.0,0.25093,0.0,0.0034,200000,193630.67362092674,-6369.32637907326,0.9681533681046337
2020-02-03,0,0.29045872010177937,0.0,0.25453,0.0,0.00359,200000,193630.67362092674,-6369.32637907326,0.9681533681046337
2020-02-04,0,0.46237377259460866,0.0,0.26737,0.0,0.00373,200000,193630.67362092674,-6369.32637907326,0.9681533681046337
2020-02-05,2,1.8127940119697965,0.0,0.27774,0.0,0.00364,200000,193630.67362092674,-6369.32637907326,0.9681533681046337
2020-02-06,0,-0.7719487136235803,0.0,0.28325,0.0,0.00411,200000,193630.67362092674,-6369.32637907326,0.9681533681046337
2020-02-07,-2,-1.596469431920141,0.0,0.27953,0.0,0.00419,200000,193630.67362092674,-6369.32637907326,0.9681533681046337
2020-02-08,-2,-1.4649071377291516,0.0,0.27735,0.0,0.00416,200000,193630.67362092674,-6369.32637907326,0.9681533681046337
2020-02-09,-2,-1.2827968047132856,0.0,0.28257,0.0,0.00423,200000,193630.67362092674,-6369.32637907326,0.9681533681046337
