date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,ETCUSDT_position,ETCUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,4.5035,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,4.2283,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,4.5768,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,4.7598,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,4.8784,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,5.0333,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,4.8344,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,4.9521,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,5.1848,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,5.36,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,5.5704,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,5.5765,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,5.4677,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,6.7895,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,7.9911,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,8.414,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,9.4792,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,8.2944,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,8.5268,200000,200000.0,0.0,1.0
2020-01-20,-2,-1.473539795378415,0.0,0.23314,0.0,8.6347,200000,200000.0,0.0,1.0
2020-01-21,-2,-1.3775600942391406,0.0,0.23726,0.0,8.943,200000,200000.0,0.0,1.0
2020-01-22,-2,-1.3881404582710266,0.0,0.23733,0.0,9.3457,200000,200000.0,0.0,1.0
2020-01-23,-1,-1.0772683364823288,442752.14734791464,0.22586,-11845.393918574762,8.4421,200000,200000.0,0.0,1.0
2020-01-24,-1,-1.096522267281116,442752.14734791464,0.22222,-11845.393918574762,8.6118,200000,200398.54553163575,398.54553163575474,1.0019927276581788
2020-01-25,-1,-0.9489283242534031,442752.14734791464,0.21946,-11845.393918574762,8.3966,200000,196627.4208336782,-3372.5791663218115,0.983137104168391
2020-01-26,-1,-1.0023681340474437,442752.14734791464,0.23131,-11845.393918574762,9.19,200000,211272.1693147482,11272.1693147482,1.056360846573741
2020-01-27,-2,-1.3605078522022351,0.0,0.23077,0.0,10.4161,200000,221208.89455178834,21208.89455178834,1.1060444727589418
2020-01-28,-2,-1.4252799161145009,0.0,0.23906,0.0,11.3697,200000,221208.89455178834,21208.89455178834,1.1060444727589418
2020-01-29,-2,-1.5563868613327596,0.0,0.23539,0.0,12.2231,200000,221208.89455178834,21208.89455178834,1.1060444727589418
2020-01-30,-2,-1.3591147309892917,0.0,0.24376,0.0,12.2842,200000,221208.89455178834,21208.89455178834,1.1060444727589418
2020-01-31,-1,-1.0575705384036058,461891.11866655876,0.23946,-9755.19908942443,11.338,200000,221208.89455178834,21208.89455178834,1.1060444727589418
2020-02-01,-1,-1.047090567540886,461891.11866655876,0.24141,-9755.19908942443,11.5282,200000,223965.02109999667,23965.021099996666,1.1198251054999833
2020-02-02,-1,-0.800346087706093,461891.11866655876,0.25093,-9755.19908942443,11.3658,200000,226777.98021757975,26777.980217579752,1.1338899010878987
2020-02-03,-1,-0.9061022891015614,461891.11866655876,0.25453,-9755.19908942443,11.7782,200000,232463.832349258,32463.83234925801,1.16231916174629
2020-02-04,-1,-0.2546416650097069,461891.11866655876,0.26737,-9755.19908942443,11.4111,200000,234813.38072720892,34813.38072720892,1.1740669036360445
2020-02-05,-1,-0.49498917989039015,461891.11866655876,0.27774,-9755.19908942443,12.3345,200000,248611.14246695564,48611.14246695564,1.2430557123347783
2020-02-06,0,-0.16446681064773927,0.0,0.28325,0.0,12.1132,200000,208544.91279950156,8544.912799501559,1.0427245639975078
2020-02-07,0,0.12211940822183132,0.0,0.27953,0.0,11.6967,200000,208544.91279950156,8544.912799501559,1.0427245639975078
2020-02-08,0,0.13395717936481183,0.0,0.27735,0.0,11.6984,200000,208544.91279950156,8544.912799501559,1.0427245639975078
2020-02-09,0,0.4011574428275396,0.0,0.28257,0.0,11.7025,200000,208544.91279950156,8544.912799501559,1.0427245639975078
2020-02-10,0,0.008880329265964767,0.0,0.27338,0.0,11.8387,200000,208544.91279950156,8544.912799501559,1.0427245639975078
2020-02-11,0,0.253247972542889,0.0,0.281,0.0,11.96,200000,208544.91279950156,8544.912799501559,1.0427245639975078
2020-02-12,1,1.0739050756563489,-342697.1321515456,0.30427,8541.74159933735,12.2074,200000,208544.91279950156,8544.912799501559,1.0427245639975078
2020-02-13,2,2.064664182317859,0.0,0.32709,0.0,12.055,200000,217667.02277493884,17667.022774938843,1.0883351138746942
