date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,ONGUSDT_position,ONGUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,0.0956,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,0.095,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,0.0995,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,0.0981,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,0.0998,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,0.1024,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,0.0997,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,0.1016,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,0.0991,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,0.0996,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,0.1039,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,0.105,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,0.1027,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,0.1132,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,0.1149,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,0.1116,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,0.1156,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,0.1128,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,0.1069,200000,200000.0,0.0,1.0
2020-01-20,2,2.00002072226774,0.0,0.23314,0.0,0.1043,200000,200000.0,0.0,1.0
2020-01-21,2,1.7154370536098014,0.0,0.23726,0.0,0.1062,200000,200000.0,0.0,1.0
2020-01-22,2,1.379540831835733,0.0,0.23733,0.0,0.107,200000,200000.0,0.0,1.0
2020-01-23,0,-0.24307394317441963,0.0,0.22586,0.0,0.1087,200000,200000.0,0.0,1.0
2020-01-24,0,0.376197827779746,0.0,0.22222,0.0,0.104,200000,200000.0,0.0,1.0
2020-01-25,0,0.015112702406850474,0.0,0.21946,0.0,0.1037,200000,200000.0,0.0,1.0
2020-01-26,1,1.1069835136805644,-432320.26285071985,0.23131,948766.6034155599,0.1054,200000,200000.0,0.0,1.0
2020-01-27,1,0.8728523283367795,-432320.26285071985,0.23077,948766.6034155599,0.1058,200000,200146.05369942688,146.05369942687685,1.0007302684971344
2020-01-28,1,1.1161906880157562,-432320.26285071985,0.23906,948766.6034155599,0.1083,200000,206101.9051869982,6101.905186998192,1.030509525934991
2020-01-29,0,-1.2296521206383673,0.0,0.23539,0.0,0.1157,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-01-30,-2,-1.9017271466867742,0.0,0.24376,0.0,0.1244,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-01-31,-2,-3.3091568909225266,0.0,0.23946,0.0,0.1429,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-01,-2,-2.365575201785761,0.0,0.24141,0.0,0.1404,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-02,-2,-1.7747043141189263,0.0,0.25093,0.0,0.1419,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-03,-2,-1.5694284424242222,0.0,0.25453,0.0,0.144,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-04,-2,-1.4937110401083111,0.0,0.26737,0.0,0.1529,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-05,-2,-1.3230795544755696,0.0,0.27774,0.0,0.1584,200000,191991.57065725068,-8008.429342749325,0.9599578532862534
2020-02-06,-1,-1.1678823047383433,338908.3330225078,0.28325,-596617.6838323515,0.1609,200000,191991.57065725065,-8008.429342749354,0.9599578532862533
2020-02-07,-1,-1.1717685567908633,338908.3330225078,0.27953,-596617.6838323515,0.1614,200000,191029.14050032312,-8970.85949967688,0.9551457025016156
2020-02-08,-1,-0.8921003378081546,338908.3330225078,0.27735,-596617.6838323515,0.1565,200000,187366.89368355554,-12633.106316444464,0.9368344684177776
2020-02-09,-1,-0.9319002902600597,338908.3330225078,0.28257,-596617.6838323515,0.1621,200000,192477.0542113942,-7522.945788605808,0.9623852710569709
2020-02-10,-1,-0.7892652075142753,338908.3330225078,0.27338,-596617.6838323515,0.1557,200000,185544.1334543903,-14455.866545609693,0.9277206672719516
2020-02-11,-1,-0.7453161498016023,338908.3330225078,0.281,-596617.6838323515,0.1607,200000,191109.7033711836,-8890.296628816403,0.955548516855918
2020-02-12,-1,-0.981689556454288,338908.3330225078,0.30427,-596617.6838323515,0.1808,200000,210988.1157256476,10988.1157256476,1.054940578628238
2020-02-13,-1,-0.9107298641341844,338908.3330225078,0.32709,-596617.6838323515,0.1948,200000,227074.65145887414,27074.65145887414,1.1353732572943707
2020-02-14,-2,-1.3142058186615846,0.0,0.33594,0.0,0.2128,200000,205098.94838119377,5098.948381193768,1.0254947419059688
2020-02-15,-2,-1.9075257492155624,0.0,0.30729,0.0,0.2142,200000,205098.94838119377,5098.948381193768,1.0254947419059688
2020-02-16,-2,-1.3008818618594735,0.0,0.29224,0.0,0.1902,200000,205098.94838119377,5098.948381193768,1.0254947419059688
2020-02-17,-1,-1.0408703791457232,356867.602277968,0.28736,-565634.1654197291,0.1813,200000,205098.94838119377,5098.948381193768,1.0254947419059688
2020-02-18,-1,-0.5748019471568416,356867.602277968,0.29827,-565634.1654197291,0.182,200000,209388.3178378402,9388.317837840208,1.046941589189201
2020-02-19,-1,-0.4612617233933526,356867.602277968,0.27466,-565634.1654197291,0.1671,200000,192534.72468330344,-7465.275316696556,0.9626736234165172
2020-02-20,-1,-0.23433617571346008,356867.602277968,0.2709,-565634.1654197291,0.1628,200000,188760.67558743342,-11239.32441256658,0.9438033779371671
2020-02-21,-1,-0.5992222576892703,356867.602277968,0.27418,-565634.1654197291,0.1687,200000,193268.44289888156,-6731.557101118437,0.9663422144944078
2020-02-22,0,0.4216456112629544,0.0,0.27468,0.0,0.16,200000,197576.02185463818,-2423.9781453618198,0.9878801092731909
2020-02-23,0,0.11518273233724655,0.0,0.28298,0.0,0.168,200000,197576.02185463818,-2423.9781453618198,0.9878801092731909
2020-02-24,0,0.7038724596363675,0.0,0.2704,0.0,0.1558,200000,197576.02185463818,-2423.9781453618198,0.9878801092731909
2020-02-25,1,1.1520098674897958,-391875.96067800827,0.25209,696671.4451856071,0.1418,200000,197576.02185463818,-2423.9781453618198,0.9878801092731909
2020-02-26,2,2.1253074350749026,0.0,0.22915,0.0,0.1209,200000,203146.82052106387,3146.82052106387,1.0157341026053193
2020-02-27,2,1.488191274553331,0.0,0.2385,0.0,0.1292,200000,203146.82052106387,3146.82052106387,1.0157341026053193
2020-02-28,2,1.2631654828579526,0.0,0.23663,0.0,0.1294,200000,203146.82052106387,3146.82052106387,1.0157341026053193
2020-02-29,1,1.1590826847522093,-443707.0166893759,0.22892,809995.2971334284,0.1254,200000,203146.82052106387,3146.82052106387,1.0157341026053193
2020-03-01,1,0.6745291631745903,-443707.0166893759,0.22696,809995.2971334284,0.1281,200000,204464.14207061293,4464.142070612928,1.0223207103530647
2020-03-02,1,0.684016062287653,-443707.0166893759,0.23958,809995.2971334284,0.135,200000,215652.6921714535,15652.692171453498,1.0782634608572674
2020-03-03,1,0.649186549631691,-443707.0166893759,0.23428,809995.2971334284,0.1319,200000,210790.05956188618,10790.059561886184,1.0539502978094308
2020-03-04,1,0.7348423718093217,-443707.0166893759,0.23453,809995.2971334284,0.1308,200000,210009.99148921174,10009.991489211738,1.0500499574460587
2020-03-05,1,0.478968865976802,-443707.0166893759,0.23909,809995.2971334284,0.135,200000,215435.27573327575,15435.275733275746,1.0771763786663788
2020-03-06,1,0.7554185877078115,-443707.0166893759,0.24477,809995.2971334284,0.1355,200000,218360.5292366381,18360.529236638104,1.0918026461831905
2020-03-07,1,1.113727424586857,-443707.0166893759,0.23622,809995.2971334284,0.128,200000,208491.86951544322,8491.86951544322,1.0424593475772161
2020-03-08,1,0.9242312825742145,-443707.0166893759,0.20385,809995.2971334284,0.1111,200000,180440.1528636532,-19559.847136346798,0.902200764318266
2020-03-09,1,0.782244553811423,-443707.0166893759,0.20952,809995.2971334284,0.1145,200000,185709.9556585356,-14290.04434146441,0.9285497782926779
2020-03-10,1,0.895869969527849,-443707.0166893759,0.21185,809995.2971334284,0.1149,200000,187067.7911262752,-12932.208873724798,0.935338955631376
2020-03-11,2,1.3411500925061808,0.0,0.20813,0.0,0.1106,200000,205910.08204166652,5910.082041666523,1.0295504102083326
2020-03-12,2,3.9872659663662526,0.0,0.13549,0.0,0.0554,200000,205910.08204166652,5910.082041666523,1.0295504102083326
2020-03-13,2,3.1324758863942472,0.0,0.15872,0.0,0.0616,200000,205910.08204166652,5910.082041666523,1.0295504102083326
2020-03-14,2,1.6182126122236054,0.0,0.14588,0.0,0.0637,200000,205910.08204166652,5910.082041666523,1.0295504102083326
2020-03-15,0,0.026743923950171385,0.0,0.15308,0.0,0.0796,200000,205910.08204166652,5910.082041666523,1.0295504102083326
2020-03-16,1,1.046527913291395,-730074.0392911165,0.14102,1596202.1863695078,0.0645,200000,205910.08204166652,5910.082041666523,1.0295504102083326
2020-03-17,1,0.9977123728069208,-730074.0392911165,0.14694,1596202.1863695078,0.0669,200000,214063.00560155674,14063.005601556739,1.0703150280077838
2020-03-18,1,0.9930135446356645,-730074.0392911165,0.1476,1596202.1863695078,0.0665,200000,213906.3735929411,13906.37359294109,1.0695318679647055
2020-03-19,1,0.4605941458236823,-730074.0392911165,0.1646,1596202.1863695078,0.0784,200000,245312.4382786872,45312.43827868719,1.226562191393436
2020-03-20,0,-0.41705954830790376,0.0,0.15695,0.0,0.0833,200000,187531.56038382725,-12468.439616172749,0.9376578019191363
2020-03-21,0,-0.264617126022767,0.0,0.15797,0.0,0.0818,200000,187531.56038382725,-12468.439616172749,0.9376578019191363
2020-03-22,0,0.1576410460180347,0.0,0.14776,0.0,0.0722,200000,187531.56038382725,-12468.439616172749,0.9376578019191363
