date,statusList,zscore,XRPUSDT_position,XRPUSDT_price,QTUMUSDT_position,QTUMUSDT_price,init,total_asset,pnl,return
2020-01-01,0,,0.0,0.19305,0.0,1.603,200000,200000.0,0.0,1.0
2020-01-02,0,,0.0,0.1875,0.0,1.533,200000,200000.0,0.0,1.0
2020-01-03,0,,0.0,0.19338,0.0,1.629,200000,200000.0,0.0,1.0
2020-01-04,0,,0.0,0.19305,0.0,1.642,200000,200000.0,0.0,1.0
2020-01-05,0,,0.0,0.19453,0.0,1.631,200000,200000.0,0.0,1.0
2020-01-06,0,,0.0,0.2231,0.0,1.747,200000,200000.0,0.0,1.0
2020-01-07,0,,0.0,0.21335,0.0,1.735,200000,200000.0,0.0,1.0
2020-01-08,0,,0.0,0.2075,0.0,1.683,200000,200000.0,0.0,1.0
2020-01-09,0,,0.0,0.20373,0.0,1.634,200000,200000.0,0.0,1.0
2020-01-10,0,,0.0,0.21284,0.0,1.734,200000,200000.0,0.0,1.0
2020-01-11,0,,0.0,0.21121,0.0,1.74,200000,200000.0,0.0,1.0
2020-01-12,0,,0.0,0.21539,0.0,1.754,200000,200000.0,0.0,1.0
2020-01-13,0,,0.0,0.21134,0.0,1.701,200000,200000.0,0.0,1.0
2020-01-14,0,,0.0,0.23464,0.0,1.915,200000,200000.0,0.0,1.0
2020-01-15,0,,0.0,0.23367,0.0,1.974,200000,200000.0,0.0,1.0
2020-01-16,0,,0.0,0.229,0.0,1.932,200000,200000.0,0.0,1.0
2020-01-17,0,,0.0,0.23921,0.0,2.092,200000,200000.0,0.0,1.0
2020-01-18,0,,0.0,0.24357,0.0,2.035,200000,200000.0,0.0,1.0
2020-01-19,0,,0.0,0.23558,0.0,1.931,200000,200000.0,0.0,1.0
2020-01-20,0,-0.0010406760997211592,0.0,0.23314,0.0,1.923,200000,200000.0,0.0,1.0
2020-01-21,0,0.12434484956314205,0.0,0.23726,0.0,1.95,200000,200000.0,0.0,1.0
2020-01-22,0,-0.7055536080563566,0.0,0.23733,0.0,1.994,200000,200000.0,0.0,1.0
2020-01-23,0,-0.5639216367066585,0.0,0.22586,0.0,1.89,200000,200000.0,0.0,1.0
2020-01-24,-2,-1.2124553418942114,0.0,0.22222,0.0,1.89,200000,200000.0,0.0,1.0
2020-01-25,-1,-1.1613852822575854,455663.9023056594,0.21946,-53561.86395286556,1.867,200000,200000.0,0.0,1.0
2020-01-26,-1,-0.43332371081321874,455663.9023056594,0.23131,-53561.86395286556,1.935,200000,209041.82399111695,9041.823991116951,1.0452091199555849
2020-01-27,-2,-1.688327470463159,0.0,0.23077,0.0,1.997,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-01-28,-2,-1.2195701084603134,0.0,0.23906,0.0,2.052,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-01-29,-2,-1.8805546946125058,0.0,0.23539,0.0,2.066,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-01-30,-2,-2.115378743862202,0.0,0.24376,0.0,2.176,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-01-31,-2,-1.6625130565366653,0.0,0.23946,0.0,2.125,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-01,-2,-2.044097934429017,0.0,0.24141,0.0,2.193,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-02,-2,-1.651449662242823,0.0,0.25093,0.0,2.262,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-03,-2,-1.3974727958213733,0.0,0.25453,0.0,2.286,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-04,0,-0.15644253343070072,0.0,0.26737,0.0,2.307,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-05,0,-0.6666045336712251,0.0,0.27774,0.0,2.442,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-06,-2,-1.2188941362676307,0.0,0.28325,0.0,2.544,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-07,-2,-1.6596371146362723,0.0,0.27953,0.0,2.572,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-08,-2,-1.8884289179220641,0.0,0.27735,0.0,2.6,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-09,-2,-2.0147325062259887,0.0,0.28257,0.0,2.697,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-10,-2,-1.7208256855541717,0.0,0.27338,0.0,2.597,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-11,-2,-1.7975801414157202,0.0,0.281,0.0,2.709,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-12,0,-0.7309271188871006,0.0,0.30427,0.0,2.805,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-13,0,0.7077265264021589,0.0,0.32709,0.0,2.849,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-14,0,-0.1285111757509943,0.0,0.33594,0.0,3.032,200000,201809.4835787955,1809.483578795509,1.0090474178939774
2020-02-15,0,0.8293427689152683,0.0,0.30729,0.0,2.69,200000,201809.4835787955,1809.483578795509,1.0090474178939774
